elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm
0.0026,0.2723,-0.0397,0.1721,-0.0626,-0.0033,0.0012
0.0100,0.2723,-0.0397,0.1721,-0.0626,0.0437,-0.0195
0.0200,0.2778,-0.0397,0.1776,-0.0626,0.0437,-0.0195
0.0301,0.2778,-0.0397,0.1776,-0.0626,0.0437,-0.0195
0.0405,0.2833,-0.0397,0.1776,-0.0626,0.0437,-0.0195
0.0500,0.2888,-0.0397,0.1831,-0.0626,-0.0306,0.0012
0.0601,0.2888,-0.0397,0.1831,-0.0626,-0.0306,0.0012
0.0702,0.2943,-0.0397,0.1886,-0.0626,-0.0080,-0.0043
0.0800,0.2998,-0.0397,0.1886,-0.0626,-0.0080,-0.0043
0.0902,0.2998,-0.0397,0.1886,-0.0626,0.0118,0.0012
0.1000,0.2998,-0.0397,0.1886,-0.0626,0.0118,0.0012
0.1101,0.3053,-0.0397,0.1940,-0.0626,-0.0150,-0.0043
0.1201,0.3107,-0.0397,0.1940,-0.0626,-0.0150,-0.0043
0.1300,0.3107,-0.0397,0.1940,-0.0626,0.0118,-0.0043
0.1400,0.3162,-0.0397,0.1940,-0.0626,0.0118,-0.0043
0.1502,0.3162,-0.0397,0.1940,-0.0626,0.0484,-0.0043
0.1600,0.3162,-0.0397,0.1940,-0.0626,0.0484,-0.0043
0.1704,0.3162,-0.0397,0.1995,-0.0626,0.0268,-0.0043
0.1800,0.3162,-0.0397,0.1995,-0.0626,0.0268,-0.0043
0.1901,0.3217,-0.0397,0.1995,-0.0626,0.0268,-0.0043
0.2000,0.3272,-0.0397,0.1995,-0.0626,0.0268,-0.0043
0.2103,0.3272,-0.0397,0.1995,-0.0626,0.0268,-0.0043
0.2201,0.3327,-0.0397,0.2050,-0.0626,0.0268,-0.0043
0.2300,0.3327,-0.0397,0.2050,-0.0626,0.0056,0.0012
0.2400,0.3327,-0.0397,0.2050,-0.0626,0.0056,0.0012
0.2503,0.3382,-0.0397,0.2050,-0.0626,-0.0080,-0.0043
0.2601,0.3382,-0.0397,0.2050,-0.0626,-0.0080,-0.0043
0.2700,0.3382,-0.0397,0.2105,-0.0626,-0.0508,0.0012
0.2800,0.3382,-0.0397,0.2105,-0.0626,-0.0508,0.0012
0.2900,0.3382,-0.0397,0.2105,-0.0626,-0.0033,-0.0043
0.3000,0.3437,-0.0397,0.2105,-0.0626,-0.0033,-0.0043
0.3105,0.3382,-0.2228,0.2105,-0.0626,-0.0033,-0.0195
0.3200,0.3382,-0.2228,0.2105,-0.0626,-0.0033,-0.0195
0.3300,0.3327,-0.2838,0.2105,-0.0626,-0.0150,-0.0043
0.3401,0.3327,-0.1617,0.2160,-0.0626,-0.0150,-0.0043
0.3504,0.3327,0.0214,0.2160,-0.0626,-0.0306,0.0012
0.3600,0.3327,0.1434,0.2160,-0.0626,-0.0306,0.0012
0.3700,0.3382,0.1434,0.2160,-0.0626,0.0212,0.0073
0.3800,0.3382,0.1434,0.2160,-0.0626,0.0212,0.0073
0.3900,0.3382,0.1434,0.2160,-0.0626,0.0056,-0.0244
0.4000,0.3382,-0.1617,0.2160,-0.0626,0.0056,-0.0244
0.4100,0.3327,-0.3448,0.2160,-0.0626,0.0268,-0.0043
0.4200,0.3272,-0.1617,0.2215,-0.0626,0.0268,-0.0043
0.4300,0.3272,-0.0397,0.2215,-0.0626,0.0268,-0.0043
0.4401,0.3327,0.3265,0.2215,-0.0626,0.0268,-0.0043
0.4500,0.3327,0.3265,0.2215,-0.0626,0.0268,-0.0043
0.4600,0.3382,0.4486,0.2215,-0.0626,0.0056,0.0012
0.4700,0.3492,0.3265,0.2215,-0.0626,0.0056,-0.0244
0.4800,0.3492,0.3265,0.2215,-0.0626,0.0056,-0.0244
0.4900,0.3492,0.0214,0.2215,-0.0626,-0.0080,-0.0043
0.5000,0.3492,0.0214,0.2215,-0.0626,-0.0080,-0.0043
0.5100,0.3492,-0.2228,0.2215,-0.0626,0.0268,-0.0244
0.5200,0.3492,-0.2228,0.2215,-0.0626,0.0268,-0.0244
0.5300,0.3492,-0.2228,0.2270,-0.0626,-0.0306,0.0012
0.5400,0.3437,-0.0397,0.2270,-0.0626,-0.0306,0.0012
0.5500,0.3437,0.1434,0.2270,-0.0626,0.0268,-0.0195
0.5600,0.3547,0.5096,0.2270,-0.0626,0.0268,-0.0195
0.5700,0.3602,0.4486,0.2270,-0.0626,-0.0188,0.0012
0.5800,0.3657,0.4486,0.2270,-0.0626,-0.0188,0.0012
0.5900,0.3657,0.4486,0.2325,0.6088,0.0056,0.0073
0.6000,0.3712,0.2655,0.2380,0.6088,0.0056,0.0073
0.6100,0.3767,-0.1617,0.2435,0.3647,0.0268,0.0012
0.6200,0.3712,-0.1617,0.2435,0.0595,0.0268,0.0012
0.6300,0.3712,-0.1007,0.2435,-0.0015,0.0578,0.0073
0.6400,0.3712,0.0824,0.2435,-0.0015,0.0578,0.0073
0.6500,0.3712,0.2045,0.2435,0.1816,0.0268,-0.0348
0.6600,0.3712,0.2045,0.2490,0.3036,0.0268,-0.0348
0.6702,0.3767,0.2045,0.2490,0.3036,-0.0244,0.0012
0.6800,0.3767,0.1434,0.2545,0.1205,-0.0244,0.0012
0.6900,0.3822,0.2045,0.2545,0.1816,-0.0244,0.0012
0.7000,0.3877,0.1434,0.2545,0.1816,-0.0244,0.0012
0.7101,0.3877,0.1434,0.2600,0.4257,-0.0244,0.0012
0.7200,0.3877,0.0214,0.2655,0.5478,0.0484,-0.0244
0.7300,0.3877,0.0214,0.2710,0.4257,0.0484,-0.0244
0.7400,0.3877,0.0214,0.2819,0.3036,0.0118,-0.0043
0.7500,0.3931,0.0824,0.2819,0.3036,0.0118,-0.0043
0.7600,0.3931,0.0824,0.2874,0.3036,0.0056,-0.0134
0.7705,0.3877,-0.0397,0.2929,0.2426,0.0118,0.0012
0.7800,0.3877,-0.0397,0.2929,0.2426,0.0118,0.0012
0.7900,0.3877,-0.0397,0.2984,0.3036,0.0118,0.0012
0.8000,0.3877,-0.0397,0.3039,0.1816,0.0056,-0.0195
0.8100,0.3877,-0.0397,0.3094,0.2426,0.0056,-0.0195
0.8200,0.3877,-0.0397,0.3094,0.2426,0.0056,0.0073
0.8300,0.3877,-0.0397,0.3149,0.3036,0.0056,0.0073
0.8400,0.3877,-0.0397,0.3204,0.3036,0.0056,-0.0244
0.8500,0.3877,-0.0397,0.3204,0.3036,0.0268,-0.0195
0.8600,0.3877,-0.0397,0.3259,0.3036,0.0268,-0.0195
0.8700,0.3877,-0.0397,0.3314,0.2426,0.0268,-0.0195
0.8807,0.3877,-0.0397,0.3369,0.4868,0.0531,-0.0244
0.8900,0.3877,-0.0397,0.3479,0.5478,0.0056,-0.0244
0.9000,0.3877,-0.0397,0.3533,0.4868,0.0056,-0.0244
0.9102,0.3877,-0.0397,0.3588,0.2426,0.0056,-0.0244
0.9200,0.3877,-0.0397,0.3588,0.2426,-0.0080,0.0012
0.9300,0.3877,-0.0397,0.3588,0.2426,0.0423,-0.0336
0.9400,0.3877,-0.0397,0.3588,-0.0626,0.0423,-0.0336
0.9501,0.3877,-0.0397,0.3588,-0.1846,0.0423,-0.0336
0.9600,0.3877,-0.0397,0.3533,-0.0626,0.0056,-0.0043
0.9701,0.3931,-0.0397,0.3588,0.1816,0.0268,0.0012
0.9802,0.3931,-0.0397,0.3643,0.3647,0.0268,0.0012
0.9900,0.3931,-0.0397,0.3643,0.3647,0.0790,0.0012
1.0001,0.3931,-0.0397,0.3643,0.2426,0.0790,0.0012
1.0101,0.3931,-0.0397,0.3698,-0.0015,-0.0080,-0.0043
1.0202,0.3931,-0.0397,0.3753,0.0595,-0.0080,-0.0043
1.0300,0.3931,-0.0397,0.3753,0.0595,-0.0080,-0.0043
1.0400,0.3931,-0.0397,0.3753,0.1205,-0.0080,-0.0043
1.0500,0.3931,-0.0397,0.3808,0.2426,-0.0080,-0.0043
1.0600,0.3931,-0.0397,0.3808,0.2426,0.0484,0.0073
1.0700,0.3931,-0.0397,0.3808,-0.0626,0.0484,0.0073
1.0800,0.3931,-0.0397,0.3808,-0.3067,0.0484,0.0073
1.0900,0.3931,-0.0397,0.3753,-0.3677,-0.0244,-0.0195
1.1000,0.3931,-0.0397,0.3698,-0.0626,-0.0244,-0.0195
1.1100,0.3931,-0.0397,0.3698,-0.0626,0.0056,0.0012
1.1202,0.3931,-0.0397,0.3698,-0.0626,0.0056,0.0012
1.1300,0.3931,-0.0397,0.3698,-0.0626,0.0056,0.0012
1.1400,0.3931,-0.0397,0.3698,-0.0626,0.0056,0.0012
1.1500,0.3931,-0.0397,0.3643,-0.0626,0.0268,-0.0043
1.1600,0.3986,-0.0397,0.3588,-0.0626,0.0268,-0.0043
1.1700,0.3986,-0.0397,0.3588,-0.0626,0.0165,-0.0244
1.1800,0.3986,-0.0397,0.3588,-0.0626,0.0165,-0.0244
1.1900,0.3986,-0.0397,0.3533,-0.0626,0.0165,-0.0244
1.2000,0.3986,-0.0397,0.3533,-0.0626,0.0212,0.0012
1.2100,0.3986,-0.0397,0.3533,-0.0626,0.0174,-0.0043
1.2200,0.3986,-0.0397,0.3479,-0.0626,0.0174,-0.0043
1.2300,0.3986,-0.0397,0.3479,-0.0626,0.0174,-0.0043
1.2400,0.3986,-0.0397,0.3479,-0.0626,0.0174,-0.0043
1.2500,0.3986,-0.0397,0.3479,-0.0626,0.0212,0.0012
1.2600,0.3986,-0.0397,0.3424,-0.0626,0.0212,0.0012
1.2700,0.3986,-0.0397,0.3424,-0.0626,0.0212,0.0012
1.2800,0.3986,-0.0397,0.3424,-0.0626,-0.0080,0.0073
1.2900,0.3986,-0.0397,0.3424,-0.0626,0.0212,-0.0244
1.3000,0.3986,-0.0397,0.3369,-0.0626,0.0212,-0.0244
1.3100,0.3986,-0.0397,0.3369,-0.0626,0.0212,-0.0244
1.3200,0.3986,-0.0397,0.3369,-0.0626,0.0212,-0.0244
1.3300,0.4041,-0.0397,0.3314,-0.0626,0.0212,-0.0244
1.3400,0.4041,-0.0397,0.3314,-0.0626,0.0367,-0.0195
1.3501,0.4041,-0.0397,0.3314,-0.0626,0.0367,-0.0195
1.3600,0.4041,-0.0397,0.3314,-0.0626,0.0367,-0.0195
1.3701,0.4041,-0.0397,0.3259,-0.0626,-0.0080,0.0183
1.3800,0.4041,-0.0397,0.3259,-0.0626,-0.0080,0.0183
1.3904,0.4041,-0.0397,0.3259,-0.0626,0.0056,0.0012
1.4006,0.4041,-0.0397,0.3259,-0.0626,0.0056,0.0012
1.4101,0.4041,-0.0397,0.3204,-1.2833,0.0056,0.0012
1.4201,0.4041,-0.0397,0.3204,-1.2833,0.0118,-0.0195
1.4300,0.4041,-0.0397,0.2929,-0.6729,0.0118,-0.0195
1.4400,0.4041,-0.0397,0.2819,-0.7339,0.0056,-0.0244
1.4500,0.4041,-0.0397,0.2764,-0.7950,0.0118,0.0012
1.4600,0.4096,-0.0397,0.2710,-0.7339,0.0118,0.0012
1.4700,0.4096,-0.0397,0.2600,-0.7339,0.0118,0.0012
1.4800,0.4096,-0.0397,0.2600,-0.7339,0.0118,0.0012
1.4901,0.4096,-0.0397,0.2545,-0.7950,0.0118,0.0012
1.5000,0.4096,-0.0397,0.2435,-0.6729,-0.0080,-0.0043
1.5100,0.4096,-0.0397,0.2380,-0.7950,0.0056,-0.0043
