elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm
0.0026,-0.3244,2.7020,0.0315,3.0981,-0.0033,-0.0012
0.0100,-0.2804,5.2655,0.0699,3.2812,0.0306,0.0336
0.0200,-0.2255,5.9369,0.0699,3.2812,-0.0033,-0.0012
0.0300,-0.1706,4.8993,0.1029,2.4268,-0.0103,-0.0012
0.0400,-0.1431,2.9462,0.1029,2.4268,-0.0103,-0.0012
0.0500,-0.1156,3.2513,0.1249,-0.1367,0.0343,0.0043
0.0602,-0.0882,2.6410,0.1139,-0.8691,0.0343,0.0043
0.0702,-0.0882,-0.8380,0.0919,-0.8081,-0.0118,-0.0183
0.0800,-0.1266,-3.7677,0.0754,-1.1133,-0.0118,-0.0183
0.0900,-0.1266,-3.7677,0.0754,-1.1133,-0.0437,0.0305
0.1000,-0.1541,-2.4860,0.0644,-0.5640,-0.0437,0.0305
0.1100,-0.1870,-1.8146,0.0589,-0.5029,-0.0268,0.0458
0.1200,-0.1925,-1.3263,0.0589,-0.3198,-0.0268,0.0458
0.1300,-0.1925,-0.8380,0.0589,-0.0146,-0.0268,0.0244
0.1401,-0.1815,-0.3497,0.0589,-0.5029,-0.0268,0.0244
0.1500,-0.1706,0.2606,0.0480,-1.1743,-0.0103,0.0244
0.1600,-0.1596,0.3827,0.0480,-1.1743,-0.0103,0.0244
0.1701,-0.1541,0.0775,0.0370,-1.0522,-0.0235,0.0244
0.1800,-0.1541,-0.1666,0.0370,-0.4419,-0.0235,0.0244
0.1900,-0.1541,-0.1666,0.0370,0.3516,-0.0071,0.0366
0.2003,-0.1706,-0.2277,0.0425,0.4126,-0.0071,0.0366
0.2100,-0.1706,0.7489,0.0370,0.5347,-0.0517,0.0244
0.2201,-0.1596,1.4813,0.0370,0.5347,-0.0517,0.0244
0.2300,-0.1541,1.1151,0.0370,0.5347,-0.0235,0.0244
0.2400,-0.1541,1.1151,0.0315,0.7178,-0.0235,0.0244
0.2500,-0.1486,1.4203,0.0205,0.5347,-0.0470,0.0244
0.2602,-0.1596,0.3217,0.0095,-0.1367,-0.0470,0.0244
0.2701,-0.1815,-0.1666,-0.0070,-0.3198,-0.0235,0.0244
0.2800,-0.2035,0.0775,-0.0235,1.0840,-0.0235,0.0244
0.2902,-0.2145,1.3593,-0.0180,1.6333,-0.0235,0.0244
0.3003,-0.2145,1.7865,-0.0180,1.6333,-0.0235,0.0244
0.3100,-0.2145,2.0306,-0.0070,1.3281,0.0174,0.0458
0.3208,-0.2035,2.1527,-0.0015,0.8398,0.0174,0.0458
0.3301,-0.2035,2.1527,-0.0015,0.4126,0.0174,0.0458
0.3406,-0.1761,1.5424,-0.0015,-0.0757,0.0174,0.0458
0.3500,-0.1596,1.2982,-0.0015,-0.1367,-0.0268,0.0043
0.3600,-0.1486,0.5048,-0.0015,-0.0146,-0.0268,0.0043
0.3701,-0.1486,-0.2887,-0.0015,-0.0146,-0.0268,0.0043
0.3800,-0.1486,-0.7770,0.0040,0.1685,-0.0268,0.0043
0.3907,-0.1541,-1.3263,0.0095,0.2295,0.0306,0.0195
0.4000,-0.1541,-1.0822,0.0150,-0.0146,0.0306,0.0195
0.4100,-0.1541,-0.9601,0.0150,-0.7471,0.0306,0.0195
0.4201,-0.1596,-1.0211,0.0095,-1.2354,0.0024,0.0244
0.4300,-0.1596,-0.5328,-0.0015,-1.0522,0.0024,0.0244
0.4401,-0.1541,-0.0446,-0.0015,-1.0522,-0.0437,0.0244
0.4504,-0.1541,-0.0446,-0.0015,-1.0522,-0.0009,0.0104
0.4600,-0.1376,0.3827,-0.0070,-0.6860,-0.0009,0.0104
0.4700,-0.1376,0.3827,-0.0125,-0.5640,-0.0118,0.0244
0.4800,-0.1431,-0.3497,-0.0180,-0.5029,-0.0118,0.0244
0.4902,-0.1541,-0.7159,-0.0235,-0.1978,-0.0009,0.0043
