time,fp_l_force_x,fp_l_force_y,fp_l_force_z,fp_l_cop_x,fp_l_cop_y,fp_l_cop_z,fp_r_force_x,fp_r_force_y,fp_r_force_z,fp_r_cop_x,fp_r_cop_y,fp_r_cop_z
40,61.47754,1065.225,143.6442,0.4902379,0,-1.354132,0,0,0,0,0,0
40.005,60.83861,1054.4,140.1694,0.4901922,0,-1.349526,0,0,0,0,0,0
40.01,60.60541,1041.506,136.2915,0.4901519,0,-1.344907,0,0,0,0,0,0
40.015,60.64717,1026.674,131.8974,0.4901269,0,-1.340243,0,0,0,0,0,0
40.02,60.79512,1010.149,126.8876,0.4901226,0,-1.335484,0,0,0,0,0,0
40.025,60.87108,992.2212,121.2103,0.490136,0,-1.33057,0,0,0,0,0,0
40.03,60.68687,973.1565,114.9114,0.4901565,0,-1.325458,0,0,0,0,0,0
40.035,60.05595,953.1509,108.1616,0.4901735,0,-1.320152,0,0,0,0,0,0
40.04,58.8348,932.3333,101.2394,0.4901827,0,-1.314702,0,0,0,0,0,0
40.045,56.97101,910.8047,94.47851,0.4901883,0,-1.309193,0,0,0,0,0,0
40.05,54.51813,888.6805,88.19617,0.4901992,0,-1.303708,0,0,0,0,0,0
40.055,51.60304,866.1138,82.62637,0.490224,0,-1.298312,0,0,0,0,0,0
40.06,48.37387,843.2916,77.87852,0.4902656,0,-1.293037,0,0,0,0,0,0
40.065,44.97098,820.4148,73.92984,0.4903194,0,-1.287883,0,0,0,0,0,0
40.07,41.53602,797.6718,70.64205,0.4903751,0,-1.282827,0,0,0,0,0,0
40.075,38.23517,775.2121,67.78952,0.4904215,0,-1.277821,0,0,0,0,0,0
40.08,35.26113,753.1256,65.09648,0.4904534,0,-1.272803,0,0,0,0,0,0
40.085,32.80061,731.4331,62.28644,0.4904783,0,-1.267704,0,0,0,0,0,0
40.09,30.98208,710.0936,59.13549,0.4905161,0,-1.262476,0,0,0,0,0,0
40.095,29.8297,689.0339,55.5111,0.4905907,0,-1.257118,0,0,0,0,0,0
40.1,29.24524,668.1984,51.3831,0.4907134,0,-1.251684,0,0,0,0,0,0
40.105,29.02869,647.6072,46.81072,0.49087,0,-1.246268,0,0,0,0,0,0
40.11,28.9365,627.4032,41.91521,0.491019,0,-1.240969,0,0,0,0,0,0
40.115,28.76358,607.88,36.83972,0.4911039,0,-1.235858,0,0,0,0,0,0
40.12,28.42116,589.4913,31.6972,0.4910727,0,-1.230953,0,0,0,0,0,0
40.125,27.97628,572.8359,26.52018,0.4908957,0,-1.226203,0,0,0,0,0,0
40.13,27.63051,558.6114,21.24096,0.4905744,0,-1.2215,0,0,0,0,0,0
40.135,27.64342,547.5406,15.7248,0.490141,0,-1.216719,0,0,0,0,0,0
40.14,28.23432,540.2804,9.846957,0.4896455,0,-1.211762,0,0,0,0,0,0
40.145,29.50792,537.3317,3.572106,0.489139,0,-1.20659,0,0,0,0,0,0
40.15,31.43796,538.9701,-3.004137,0.4886594,0,-1.201221,0,0,0,0,0,0
40.155,33.90925,545.2101,-9.664781,0.488226,0,-1.195701,0,0,0,0,0,0
40.16,36.78099,555.8043,-16.119,0.487845,0,-1.190077,0,0,0,0,0,0
40.165,39.92355,570.2732,-22.06323,0.4875202,0,-1.184374,0,0,0,0,0,0
40.17,43.20843,587.9619,-27.2365,0.4872608,0,-1.178608,0,0,0,0,0,0
40.175,46.47239,608.1218,-31.46152,0.4870797,0,-1.172799,0,0,0,0,0,0
40.18,49.49838,630.0015,-34.66841,0.4869849,0,-1.166987,0,0,0,0,0,0
40.185,52.04295,652.9235,-36.89948,0.4869743,0,-1.161235,0,0,0,0,0,0
