time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
95,3.16158186,-6.02415659,-5.94217007,-53.91004746,-8.69053252,-2.73121419,23.90078818,5.96345077,-7.25519515,-16.76950476,6.87136235,4.91412117
95.005,3.97739497,-6.65186764,-5.59281456,-56.32914958,-8.02009869,-2.69454962,23.82692546,6.55126324,-6.90493495,-18.27514205,7.66823858,4.16868241
95.01,4.881508,-7.37368159,-5.24661852,-58.68304401,-7.26655869,-2.22303364,23.80843095,7.23555338,-6.58460991,-19.73173902,8.10137749,3.28760409
95.015,5.63785133,-7.65801019,-4.96245347,-60.85690313,-6.99107681,-2.28584102,23.66297982,7.54488133,-6.17125493,-21.23609226,8.62983312,2.96821648
95.02,6.54729123,-8.33020506,-4.58018246,-63.01165254,-5.98802591,-2.06642422,23.56608823,8.15779177,-6.01707189,-22.60715295,9.71910143,2.18606413
95.025,7.34473631,-8.58253711,-4.30162806,-64.97978715,-5.71150622,-2.05015391,23.36634741,8.43343424,-5.64387515,-23.96643779,10.13407955,1.9278379
95.03,8.38161987,-9.23172477,-3.91684139,-66.93237848,-4.56099054,-1.58156107,23.27949389,9.01999096,-5.60560548,-25.11532421,11.21647007,1.23849514
95.035,9.28222798,-9.56466432,-3.64754122,-68.68213672,-3.90683049,-1.3832527,23.06163568,9.34293031,-5.42219112,-26.24676737,11.94706989,0.84516278
95.04,10.33729037,-9.97664919,-3.34659422,-70.33963667,-3.12014641,-0.87632518,22.90550201,9.71823308,-5.30479694,-27.2193921,12.58934227,0.57002616
95.045,11.23929327,-10.19105995,-3.10477992,-71.80199487,-2.49095678,-0.79899673,22.56638027,9.92372557,-5.15765876,-28.08757083,13.3520285,0.28647605
95.05,12.20400734,-10.41293293,-2.86763436,-73.13697802,-1.8169796,-0.64326375,22.22064777,10.1218553,-5.06707004,-28.82472605,14.0910201,0.09524099
95.055,13.21459952,-10.61348085,-2.65627179,-74.33082378,-1.15716089,-0.42736277,21.85773401,10.29393936,-5.00059227,-29.41508591,14.76681222,0.01460311
95.06,14.13417616,-10.71140814,-2.54555442,-75.34497296,-0.73859009,-0.41094661,21.36993407,10.36547052,-4.89786529,-29.90397762,15.23371068,-0.08343514
95.065,15.15061754,-10.84337975,-2.34441351,-76.22785073,0.05698273,-0.27523693,20.89000575,10.47032726,-4.90190835,-30.20588685,16.06450779,-0.11400351
95.07,16.0786894,-10.89446363,-2.27518385,-76.92375862,0.38315099,-0.26381701,20.28496208,10.49317791,-4.80827417,-30.35670029,16.37954562,-0.10680698
95.075,17.06328404,-10.94843402,-2.18284648,-77.47922134,1.02515308,-0.26171022,19.68766363,10.50339319,-4.8324593,-30.41541794,17.0099102,-0.09308447
95.08,17.99281325,-10.96812536,-2.14935992,-77.84692764,1.39648918,-0.26787481,18.98241945,10.4843138,-4.79065861,-30.27326725,17.33542342,-0.02020054
