time,insole_l_force_x,insole_l_force_y,insole_l_force_z,insole_l_cop_x,insole_l_cop_z,insole_r_force_x,insole_r_force_y,insole_r_force_z,insole_r_cop_x,insole_r_cop_z
120,0,0,0,0,0,0,0,0,0,0
120.005,0,0,0,0,0,0,0,0,0,0
120.01,0,0,0,0,0,0,0,0,0,0
120.015,0,0,0,0,0,0,0,0,0,0
120.02,0,0,0,0,0,0,0,0,0,0
120.025,0,0,0,0,0,0,0,0,0,0
120.03,0,0,0,0,0,0,0,0,0,0
120.035,0,0,0,0,0,0,0,0,0,0
120.04,0,0,0,0,0,0,0,0,0,0
120.045,0,0,0,0,0,0,0,0,0,0
120.05,0,0,0,0,0,0,0,0,0,0
120.055,0,0,0,0,0,0,0,0,0,0
120.06,0,0,0,0,0,3.47635253633526,53.9745385930062,13.8652285357579,0.0449463620295856,0.0887550762991105
120.065,0,0,0,0,0,47.3877077811507,181.590445096369,0.0680697512489132,0.00551064721065031,0.0426924156806286
120.07,0,0,0,0,0,101.554470264092,358.980244659752,-22.343726767591,0.00251222594797351,0.031388357192988
120.075,0,0,0,0,0,154.809406035331,570.556813421306,-50.9759925974575,0.00619283614518151,0.0254862820880684
120.08,0,0,0,0,0,194.882801250105,791.740487721483,-81.3442989361783,0.012784498435978,0.0213812797024019
120.085,0,0,0,0,0,212.562689333743,995.581140466977,-107.638888931407,0.0210698741076609,0.0181219500825849
120.09,0,0,0,0,0,204.76486229624,1160.66858405597,-124.042411261325,0.0303573423314698,0.0154441836323445
120.095,0,0,0,0,0,175.066712028325,1277.06961584238,-126.38041671721,0.0400706117168774,0.0133543236446957
120.1,0,0,0,0,0,131.62223710767,1347.94278829059,-113.690196213051,0.0496851310978734,0.0119642510279901
120.105,0,0,0,0,0,83.7235893361708,1386.59131779738,-89.1532795376694,0.0588160349322471,0.0113547015732379
120.11,0,0,0,0,0,38.7526409247283,1410.74316640204,-59.8522028715956,0.067336934671651,0.0114425740313162
120.115,0,0,0,0,0,0.742849661582623,1436.68103631669,-35.0938209639015,0.0754153035176597,0.0119235751490681
120.12,0,0,0,0,0,-29.2462722606341,1475.30867194179,-23.5985997000306,0.0833217710431624,0.0123722234013126
120.125,0,0,0,0,0,-51.638084768429,1530.99868015246,-30.4466664763204,0.0911201371942192,0.0124520333429532
120.13,0,0,0,0,0,-66.8348985345025,1602.81888352083,-54.9453696736847,0.09850204019039,0.0120664010797995
120.135,0,0,0,0,0,-74.6143857146757,1686.95527477159,-90.3632771491672,0.104945819960636,0.0113291548427592
120.14,0,0,0,0,0,-74.6859264125979,1779.03769949161,-125.839175368163,0.110076895249929,0.0104052515206536
120.145,0,0,0,0,0,-67.8968091904594,1875.50822455801,-149.951450318635,0.113986982537215,0.00935486172407438
120.15,0,0,0,0,0,-57.1359673074744,1973.80509120096,-154.724864686778,0.117317669163538,0.00806990051461737
120.155,0,0,0,0,0,-47.1283258860643,2071.6979012725,-138.563999279124,0.12105633631181,0.0063254787526982
120.16,0,0,0,0,0,-42.9670466949376,2166.32350530848,-106.912758599101,0.126134041454659,0.00391022448173808
120.165,0,0,0,0,0,-47.9799101668686,2253.43439725605,-70.3059548726468,0.133019798604358,0.000768784847413329
120.17,0,0,0,0,0,-61.9385248391975,2327.19900930518,-40.5397561647595,0.141499961909349,-0.00291116858786403
120.175,0,0,0,0,0,-80.5177148840224,2380.72542552421,-26.4870725577028,0.150718549698058,-0.00670246263625854
120.18,0,0,0,0,0,-96.4112988320439,2407.32166838981,-31.2026693705543,0.159426017393054,-0.0100270031219429
120.185,0,0,0,0,0,-101.836474101479,2402.22450039888,-51.3878285519428,0.166328058526119,-0.0122925453691319
120.19,0,0,0,0,0,-91.5651210636637,2364.25564526793,-79.2725138864299,0.170440635334708,-0.0130434244494523
120.195,0,0,0,0,0,-65.3083587208411,2296.67411028179,-106.001835378571,0.171407845908878,-0.0120993154743578
120.2,0,0,0,0,0,-28.3987964143819,2206.67230411689,-125.065825689531,0.169711521203282,-0.00965356787271437
120.205,0,0,0,0,0,9.70209244683752,2103.50949156581,-134.398280351649,0.166707148860141,-0.00629089354912354
120.21,0,0,0,0,0,38.6322467437667,1996.00276779861,-136.402706295831,0.16432959691973,-0.00287318444742266
120.215,0,0,0,0,0,50.7883664105816,1890.47109218257,-136.068196914388,0.16448680933878,-0.000288908472160926
120.22,0,0,0,0,0,43.8377600341786,1789.9276611703,-138.145364974712,0.168331786181024,0.000855802375164333
120.225,0,0,0,0,0,21.093313129069,1694.53813441488,-144.755478122092,0.175783410012103,0.000460985282871862
120.23,0,0,0,0,0,-10.1463236733146,1602.84286222584,-154.54487820539,0.185568063779562,-0.001044476273414
120.235,0,0,0,0,0,-41.3351708438236,1513.09522760758,-163.634437447013,0.195708783659907,-0.00288432603390196
120.24,0,0,0,0,0,-65.3566137577436,1424.23722694625,-167.649280433032,0.204208841177669,-0.00422509780652908
120.245,0,0,0,0,0,-78.3428317071811,1336.31773986174,-163.688272057926,0.209643162163925,-0.00445202725903174
120.25,0,0,0,0,0,-80.3148141345677,1250.34120903905,-151.396905609443,0.211517062917274,-0.00335164516263234
120.255,0,0,0,0,0,-74.687605331243,1167.70391535466,-132.949395399362,0.210396678373309,-0.00118399364159485
120.26,0,0,0,0,0,-66.910680370206,1089.40886360922,-112.224608693516,0.207798802019134,0.00135971474444135
120.265,0,0,0,0,0,-62.6650513443729,1015.41986781829,-93.6065854758345,0.205841063675055,0.00331169573011098
120.27,0,0,0,0,0,-66.1153731315414,944.502927137028,-80.7717867335559,0.206671429893274,0.00367910632480128
120.275,0,0,0,0,0,-78.7077172557965,874.680237453509,-75.7236382966071,0.211795172092497,0.00173265112606866
120.28,0,0,0,0,0,-98.8545810030712,804.096370237137,-78.2627554295826,0.221545898077557,-0.00275953230944145
120.285,0,0,0,0,0,-122.541119970999,731.819448466897,-86.0122326863785,0.234907384659664,-0.00942576492395214
120.29,0,0,0,0,0,-144.567040030909,658.167085789353,-95.0185321747701,0.249764769610281,-0.0173311822236078
120.295,0,0,0,0,0,-159.943022582225,584.437612663381,-100.815755429636,0.263432078684114,-0.0251268864620282
120.3,0,0,0,0,0,-164.987810557393,512.272188681361,-99.7047985792564,0.273207091299207,-0.0312378768609739
120.305,0,0,0,0,0,-157.886328382533,443.043723458936,-89.9029748147752,0.276681840034831,-0.0339957473782955
120.31,0,0,0,0,0,-138.746815887382,377.582631766159,-72.2014646361538,0.271579388226567,-0.0315960917744846
120.315,0,0,0,0,0,-109.357987627638,316.291538771695,-49.8623540035489,0.254977564637492,-0.0217314726190464
120.32,0,0,0,0,0,-72.8481861854289,259.465815179979,-27.698334789276,0.221639529577054,-0.000638028038010913
120.325,0,0,0,0,0,-33.3251116833056,207.566867585368,-10.5669572457476,0.160327633091248,0.0392474920690965
120.33,0,0,0,0,0,4.55447703652404,161.297260712347,-1.7755072465899,0.0431910683694458,0.116227079774287
120.335,0,0,0,0,0,36.1746370887584,121.469797849355,-1.99082376867569,-0.217782303944131,0.287810727456814
120.34,0,0,0,0,0,0,0,0,0,0
120.345,0,0,0,0,0,0,0,0,0,0
120.35,0,0,0,0,0,0,0,0,0,0
120.355,0,0,0,0,0,0,0,0,0,0
120.36,0,0,0,0,0,0,0,0,0,0
