time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
185,0.0111875,4.56644772,-13.56831011,-2.77095639,4.99123348,4.41752034,20.70773169,-8.38907573,-15.00939394,0.06685866,-4.56470371,5.41912441
185.005,-0.04307626,4.58633876,-13.56162955,-2.77305118,5.00439089,4.41294728,20.90492372,-8.31991407,-15.10014427,0.35405163,-4.58691943,5.42488902
185.01,-0.08775695,4.58519542,-13.56201135,-2.77144835,5.02955344,4.40075768,21.100925,-8.24260867,-15.19985801,0.61775491,-4.64917473,5.42814582
185.015,-0.03690914,4.39443549,-13.47539452,-2.82061584,5.20935368,4.31144906,21.33333632,-8.02814023,-15.4803062,0.85420591,-5.30574253,5.33252493
185.02,-0.10519436,4.38209244,-13.45414603,-2.82033637,5.21973003,4.30821296,21.5240792,-7.96315556,-15.52239565,0.95339442,-5.31912745,5.30402791
185.025,-0.10514072,4.28016765,-13.39795745,-2.87059214,5.31189443,4.24940188,21.78013724,-7.83638273,-15.63376928,0.92379218,-5.49857984,5.13512803
185.03,-0.20172597,4.27077436,-13.3949527,-2.8844214,5.31480624,4.2486284,21.90907791,-7.80959394,-15.62622288,0.94718096,-5.50340271,5.13092544
185.035,-0.26896824,4.21079108,-13.28388823,-2.8348295,5.35956003,4.24481154,22.18531447,-7.7224339,-15.61569457,0.72681989,-5.57485795,5.05475914
185.04,-0.19243693,4.01890411,-13.07440178,-2.90244208,5.55981171,4.02772158,22.45668532,-7.56905268,-15.65643777,0.6006023,-5.95759185,4.30094504
185.045,-0.2909095,3.98351088,-13.0031144,-2.90352477,5.57219505,4.03179757,22.65838308,-7.54115542,-15.57685084,0.31452095,-5.98577397,4.25231226
185.05,-0.37543057,3.94276885,-12.91629455,-2.90811671,5.6135516,4.02060813,22.86899537,-7.52659274,-15.47204716,-0.0366776,-6.00625401,4.1653988
185.055,-0.46189193,3.89707118,-12.8127039,-2.91723061,5.66955872,4.00202574,23.06628758,-7.5244397,-15.33968195,-0.43334013,-6.02102278,4.0549399
185.06,-0.55382333,3.85137795,-12.68923407,-2.92706663,5.73124465,3.98340082,23.25872016,-7.53315406,-15.17558467,-0.88389587,-6.03386088,3.93192966
185.065,-0.63774859,3.81132668,-12.55250449,-2.92592914,5.81674963,3.94971023,23.44919909,-7.56609941,-14.97087631,-1.36910981,-6.03542455,3.75764767
185.07,-0.71788005,3.78736872,-12.38239266,-2.93474945,5.92299733,3.9009817,23.63510401,-7.62454846,-14.71859764,-1.89176565,-6.03031221,3.51251894
185.075,-0.7157896,3.85513082,-12.13512276,-2.96656062,6.0165326,3.63417336,23.86891705,-7.77893415,-14.24884218,-2.39387301,-6.24262234,2.41569843
185.08,-0.84695378,3.79464622,-12.01143802,-2.97492401,6.04153275,3.65684449,23.97799149,-7.81888512,-14.00788755,-2.95644923,-6.28112038,2.39395916
185.085,-0.9646097,3.7613389,-11.84309127,-2.96458288,6.10666948,3.67778511,24.10670395,-7.8928555,-13.70555088,-3.55770055,-6.29799256,2.33165995
