time,fp_l_force_x,fp_l_force_y,fp_l_force_z,fp_l_cop_x,fp_l_cop_y,fp_l_cop_z,fp_r_force_x,fp_r_force_y,fp_r_force_z,fp_r_cop_x,fp_r_cop_y,fp_r_cop_z
185,74.86906,968.2737,-19.49418,0.4227934,0,-1.262081,0,0,0,0,0,0
185.005,75.18346,963.091,-20.2246,0.4229045,0,-1.26056,0,0,0,0,0,0
185.01,75.2943,957.4129,-20.98394,0.4230361,0,-1.259013,0,0,0,0,0,0
185.015,75.16107,951.408,-21.7864,0.4231826,0,-1.257409,0,0,0,0,0,0
185.02,74.80647,945.2757,-22.65407,0.4233401,0,-1.255717,0,0,0,0,0,0
185.025,74.28856,939.2157,-23.59788,0.4235056,0,-1.253924,0,0,0,0,0,0
185.03,73.66293,933.3923,-24.6042,0.4236748,0,-1.252051,0,0,0,0,0,0
185.035,72.96571,927.9037,-25.63964,0.4238425,0,-1.250152,0,0,0,0,0,0
185.04,72.22759,922.7707,-26.671,0.4240042,0,-1.248291,0,0,0,0,0,0
185.045,71.50042,917.948,-27.68441,0.4241583,0,-1.246517,0,0,0,0,0,0
185.05,70.86701,913.3514,-28.68913,0.4243073,0,-1.24484,0,0,0,0,0,0
185.055,70.41873,908.8904,-29.70504,0.4244558,0,-1.243232,0,0,0,0,0,0
185.06,70.21129,904.494,-30.74356,0.424606,0,-1.241646,0,0,0,0,0,0
185.065,70.22641,900.1216,-31.79332,0.4247548,0,-1.240042,0,0,0,0,0,0
185.07,70.36611,895.7589,-32.81891,0.4248938,0,-1.238409,0,0,0,0,0,0
185.075,70.48923,891.4031,-33.77383,0.4250139,0,-1.236765,0,0,0,0,0,0
185.08,70.47561,887.0497,-34.62294,0.4251114,0,-1.235143,0,0,0,0,0,0
185.085,70.28464,882.6889,-35.365,0.4251913,0,-1.233565,0,0,0,0,0,0
185.09,69.97417,878.3144,-36.04156,0.425267,0,-1.232035,0,0,0,0,0,0
185.095,69.66645,873.9418,-36.72434,0.425354,0,-1.230535,0,0,0,0,0,0
185.1,69.48004,869.6241,-37.48526,0.4254633,0,-1.229042,0,0,0,0,0,0
185.105,69.4682,865.4525,-38.36507,0.4255953,0,-1.227542,0,0,0,0,0,0
185.11,69.5995,861.5377,-39.36107,0.4257401,0,-1.226032,0,0,0,0,0,0
185.115,69.78887,857.9745,-40.44266,0.4258814,0,-1.224517,0,0,0,0,0,0
185.12,69.95807,854.8032,-41.58274,0.4260032,0,-1.222995,0,0,0,0,0,0
185.125,70.09001,851.9892,-42.78256,0.4260964,0,-1.221454,0,0,0,0,0,0
185.13,70.24782,849.4328,-44.07344,0.4261626,0,-1.219879,0,0,0,0,0,0
185.135,70.54845,847.0116,-45.49589,0.4262133,0,-1.218265,0,0,0,0,0,0
185.14,71.10456,844.639,-47.07346,0.426266,0,-1.216628,0,0,0,0,0,0
