time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
155,51.946478815668,-8.73528963806888,-23.3163908448363,-92.4468379397998,6.2688080699279,5.89571282511972,-0.0136925739546213,-13.7519411948381,-18.0909900237904,-5.92329177002572,-23.8206241163297,1.78074402575622
155.005,51.9294117469844,-8.67903766844667,-23.2947892425427,-90.8231997975239,5.68875921575273,6.04452921782717,0.121661969465259,-13.7000615632856,-17.8102247011676,-6.33103821149675,-23.9238639707462,1.50302492661722
155.01,51.8844110271263,-8.61638667431007,-23.2505212819623,-89.146978780069,5.0860931968083,6.2343168362913,0.29178673628989,-13.6285776415611,-17.4245481705778,-6.79387211485543,-23.9396852301242,1.27628696547388
155.015,51.8113135060377,-8.54652901994323,-23.1850154982435,-87.4180009448299,4.45935030343654,6.4615412145572,0.493300506280483,-13.5390356663812,-16.9390113248185,-7.30286122351575,-23.8809373889013,1.10235563466874
155.02,51.7099515045554,-8.46882210374916,-23.0996395668904,-85.6363304126516,3.80693815419621,6.72231290165286,0.722577329259509,-13.4329233027363,-16.3604355688616,-7.84881497422622,-23.7608195670339,0.982160838265839
155.025,51.5801586243569,-8.38279868119657,-22.9957149004969,-83.8023521981468,3.12721226835981,7.012483329121,0.975772682830647,-13.3116590281235,-15.6972699086059,-8.42242437857849,-23.5925181431731,0.915713178560444
155.03,51.4217769167043,-8.28817327567778,-22.8745373218845,-81.9168543909053,2.41856350490993,7.32774236823929,1.24885106436364,-13.1765866614559,-14.9594130665261,-9.01440131040018,-23.388847226631,0.902101453790728
155.035,51.2346655048752,-8.18484441491837,-22.7374024351057,-79.9811076152804,1.67951126808986,7.66371551119611,1.53761489557566,-13.0289747189624,-14.1580052411276,-9.61561459323441,-23.161901295178,0.939511893392461
155.04,51.0187106774484,-8.07289250495699,-22.5856340869541,-77.9969396263025,0.908801135315852,8.01605863424756,1.83773463747759,-12.8700201256577,-13.3051948494066,-10.2172204324988,-22.9227290625042,1.02526899827863
155.045,50.7738373869914,-7.95257324384781,-22.4206141328437,-75.9668028865089,0.105505303321861,8.38054835348959,2.14478002419183,-12.7008556760582,-12.4138861645386,-10.8107849426839,-22.6810371465779,1.15589717038244
155.05,50.5000220049948,-7.82430658260165,-22.2438116013946,-73.8938330172649,-0.73087601514682,8.75316606592988,2.45425232636076,-12.5225605246685,-11.497474169865,-11.3883967750976,-22.4449313998322,1.32720163319067
155.055,50.1973061031718,-7.68866136032246,-22.0568093007425,-71.7818961305508,-1.60031436630019,9.13017388179036,2.76161755018685,-12.3361728982492,-10.5695731838188,-11.9427681491879,-22.2207028498658,1.53436649013573
155.06,49.8658109575319,-7.54633587197879,-21.8613259341973,-69.6356232230767,-2.50215635693428,9.50818080106454,3.06234046915943,-12.1427041605702,-9.64374586226017,-12.4673229223309,-22.0126641047438,1.77206716856687
155.065,49.5057524088429,-7.3981347674407,-21.659231898684,-67.4604300515765,-3.43503303580258,9.88419767111202,3.35191937504954,-11.9431533282799,-8.73323905392829,-12.9562706901111,-21.8230408235863,2.03459398166466
155.07,49.1174556646064,-7.24494282431216,-21.4525571282396,-65.2625212015806,-4.3967780573928,10.2556796845542,3.62592142519469,-11.7385211350269,-7.85073267682839,-13.4046662816077,-21.6519214684812,2.31598313564184
155.075,48.7013695961578,-7.08769627797894,-21.2434896147026,-63.0488774050496,-5.38435741753474,10.6205554385726,3.8800184560919,-11.529822770875,-7.00810731002642,-13.8084543915095,-21.4972670692239,2.61015123822389
155.08,48.2580800716628,-6.92735252215598,-21.0343635828059,-60.8272255460648,-6.39381356035294,10.9772418767749,4.11002312969198,-11.3180984856974,-6.21623557360218,-14.1644994621582,-21.3549811824944,2.91102924513769
155.085,47.7883218723472,-6.76485910339038,-20.8276367074519,-58.6059912076722,-7.42022657713523,11.3246447697643,4.31192527847904,-11.1044213382386,-5.48480162102869,-14.4706012828791,-21.2190386491121,3.2126918255925
155.09,47.292988765098,-6.6011230148119,-20.6258562230099,-56.3942340450392,-8.45769503935791,11.6621447543266,4.48192831731231,-10.8899014951948,-4.82215221864778,-14.7254971001124,-21.0816701867618,3.50947833782891
155.095,46.7731413486181,-6.43698134006654,-20.4316142699645,-54.2015667075165,-9.49933872302952,11.989569334775,4.61648559198394,-10.6756866336019,-4.23518196497571,-14.9288513189884,-20.9335983429371,3.79610197394897
155.1,46.230012350692,-6.27317430155144,-20.2474933324704,-52.0380584616996,-10.537325087238,12.3071516424733,4.71233653387199,-10.4629581703262,-3.72925423848788,-15.081234114961,-20.7643189162625,4.0677441425974
155.105,45.6650091279224,-6.11032172372787,-20.0760031199006,-49.9141250755617,-11.5629208701517,12.6154771389096,4.76654248442351,-10.2529232292016,-3.3081584860281,-15.1840904543794,-20.5624206748795,4.32013178501675
