time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
102.79,46.7667743,-13.12616994,-16.51468565,-88.45138482,17.32642981,7.50068627,-2.14765594,2.18109374,-3.61272303,-5.07682205,3.41376534,7.81844122
102.795,47.35738888,-13.12877255,-16.58854033,-87.64211533,17.40338607,7.58806143,-2.49062559,2.14951539,-3.58914743,-4.8693456,3.41686394,7.83291828
102.8,47.61344302,-12.70471701,-17.11123586,-86.49679425,17.75832961,8.61255221,-2.89301339,1.53879903,-3.56549513,-4.65670937,3.34593688,7.80881826
102.805,48.1837418,-12.67574556,-17.15083069,-85.59628824,17.76404024,8.70078683,-3.26643045,1.50465489,-3.53310966,-4.44319598,3.34847406,7.8188991
102.81,48.68616646,-12.28300751,-17.35287264,-84.49634547,17.74008747,9.2799521,-3.60505767,1.14437839,-3.66191134,-4.18441387,3.21410096,7.74251782
102.815,46.73030301,-10.43104586,-18.02156577,-82.69243882,17.34876014,9.63217174,-6.07804043,-0.40172232,-4.62908668,-3.92723967,3.28079833,8.00114854
102.82,47.22488657,-10.48116925,-18.03048593,-81.735304,17.30993973,9.69890341,-6.41496759,-0.3595987,-4.61893631,-3.80166577,3.31858634,8.01482225
102.825,47.89902502,-10.16910736,-18.15514942,-80.65322423,16.91757902,10.51909987,-6.52040176,-0.63933181,-4.65704793,-3.57463762,3.28950341,7.97901657
102.83,48.37229345,-10.14558974,-18.13924311,-79.68632828,16.80321788,10.72087493,-6.83364195,-0.6448941,-4.53967834,-3.3789977,3.33944972,7.98756843
102.835,48.92332586,-10.03408037,-18.2815493,-78.6539964,16.35726617,11.66531477,-6.89982312,-0.832411,-4.48584547,-3.27628949,3.35916108,7.83909853
102.84,49.32287485,-9.99135259,-18.20416087,-77.72603633,16.1283489,11.90166354,-7.19632413,-0.82833608,-4.34618769,-3.11159649,3.41048641,7.82495082
102.845,49.76866077,-9.93617601,-18.23400269,-76.79565118,15.47036413,12.63964358,-7.30286362,-0.91785094,-4.2995996,-3.04859849,3.44994166,7.65833696
102.85,50.08957669,-9.86958786,-18.11423235,-75.93507808,15.19526846,12.88380064,-7.57610343,-0.92427125,-4.10574241,-2.91628847,3.51607012,7.63663527
102.855,50.42487131,-9.84163257,-18.06362514,-75.1053324,14.44402208,13.50469359,-7.71013475,-0.96914728,-4.02331113,-2.88648722,3.60068512,7.48190599
102.86,50.60358197,-9.87362476,-17.92218543,-74.36711688,14.37218595,13.55773744,-7.95360598,-0.92134047,-4.00076367,-2.90396351,3.63728488,7.47212348
102.865,50.93878233,-9.78447734,-17.84947767,-73.62264019,13.21372255,14.47876685,-7.97668631,-1.02450209,-3.71822456,-2.9016101,3.76917112,7.22239267
102.87,51.15139417,-9.77759526,-17.69955757,-72.98023319,12.58974672,14.97944172,-8.07377208,-1.03862918,-3.50039122,-2.96829298,3.84682214,7.0410473
102.875,51.2711605,-9.71267521,-17.48501029,-72.39283952,12.01188394,15.29487819,-8.24703069,-1.04337177,-3.32044669,-3.0182897,3.94694075,6.95414058
102.88,51.37535019,-9.68625801,-17.29718675,-71.86863963,11.28054759,15.73234212,-8.32388431,-1.05663732,-3.16232829,-3.18754318,4.02975118,6.80378075
102.885,51.35812471,-9.6247923,-17.04577003,-71.40016724,11.16439834,15.7909035,-8.48709712,-1.04416276,-3.06697391,-3.35741118,4.05281383,6.79507775
102.89,51.39923464,-9.51952836,-16.80601224,-71.00220421,9.99537071,16.35362661,-8.5382194,-1.10210223,-2.85574585,-3.59258559,4.20266923,6.64103376
102.895,51.3875166,-9.46197662,-16.58903276,-70.6538154,9.39137436,16.74168365,-8.53869954,-1.15077175,-2.64587775,-3.89900269,4.22193832,6.50610077
102.9,51.2614088,-9.35081115,-16.28749964,-70.36730006,9.24564137,16.81406247,-8.63242492,-1.16423794,-2.52422448,-4.23216778,4.21776654,6.49148789
102.905,51.17003594,-9.25733689,-16.04936891,-70.12611391,8.39122179,17.24138094,-8.59112536,-1.2298317,-2.36400878,-4.63648965,4.23066728,6.3803021
102.91,50.96664201,-9.1222234,-15.71454991,-69.94238268,8.3107555,17.28536039,-8.64583898,-1.25601005,-2.25027001,-5.03936967,4.20044269,6.37454463
102.915,50.80602702,-9.01062346,-15.50747962,-69.77980733,7.52860327,17.72304388,-8.48976993,-1.36322913,-2.10381488,-5.64468758,4.07805695,6.29602375
102.92,50.53184899,-8.84849712,-15.16517431,-69.68581954,7.46939591,17.76364024,-8.48886689,-1.39311412,-1.98288405,-6.18332612,4.01222073,6.29288569
102.925,50.28381382,-8.72126342,-14.96229815,-69.59194863,7.00388897,18.07930702,-8.25755466,-1.51867905,-1.91654824,-6.92684137,3.70765906,6.29673311
102.93,49.93720536,-8.53416047,-14.60708528,-69.55970053,6.97648942,18.112184,-8.19873484,-1.5509969,-1.79687104,-7.58089941,3.61051484,6.29645264
102.935,49.59379589,-8.39635428,-14.3790783,-69.51501431,6.89413928,18.23729499,-7.90032968,-1.65373967,-1.83847411,-8.52846736,3.24534981,6.32757475
102.94,49.22174006,-8.21765278,-14.16653873,-69.47470755,6.8804137,18.40746631,-7.60891602,-1.79559726,-1.77943338,-9.40300351,2.72655272,6.42937337
102.945,48.79391814,-8.04746206,-13.90668979,-69.46890956,6.96392822,18.46448187,-7.30422502,-1.87859813,-1.79055098,-10.42309029,2.37781525,6.46105482
102.95,48.31309762,-7.8592553,-13.60651877,-69.46024429,7.06087306,18.49275914,-7.00855422,-1.94002784,-1.78983491,-11.46826014,2.04013576,6.49454944
102.955,47.84828539,-7.66384903,-13.47047838,-69.40408606,7.52091333,18.53807588,-6.51840232,-2.13180532,-1.8308521,-12.62042095,1.13079616,6.67737026
102.96,47.32711829,-7.47445272,-13.27181615,-69.36429499,7.91020571,18.53696443,-6.04586192,-2.25734773,-1.88724632,-13.86935415,0.45341624,6.76086354
102.965,46.77850431,-7.30030441,-13.037787,-69.33966543,8.23859594,18.50948177,-5.53422897,-2.34432736,-2.00887703,-15.24232362,-0.15924933,6.82201517
102.97,46.18660467,-7.09816598,-12.86896089,-69.23560404,8.90104041,18.41056359,-4.97009664,-2.48334441,-2.09215221,-16.60921535,-1.13291045,6.93537634
102.975,45.5808023,-6.90941926,-12.68476517,-69.13531855,9.50312068,18.30492316,-4.34383208,-2.59959517,-2.21686599,-18.11086606,-2.0155241,6.9730841
102.98,44.94741589,-6.72283616,-12.50660436,-69.00792826,10.17088972,18.1654299,-3.66797409,-2.71387318,-2.3516694,-19.69951142,-2.96182452,6.96460977
102.985,44.28608279,-6.55385892,-12.34165906,-68.85194041,10.87711491,18.00051363,-2.94697995,-2.81359768,-2.51676207,-21.35926224,-3.94594303,6.93143633
102.99,43.60738393,-6.38758019,-12.17478193,-68.66845684,11.63006158,17.80762032,-2.16985769,-2.90885984,-2.6879624,-23.1079904,-4.95905285,6.83838963
102.995,42.91095202,-6.23441724,-12.01232206,-68.45222717,12.4110091,17.59331671,-1.34249943,-2.99181044,-2.87201417,-24.94209148,-5.97876223,6.69676005
103,42.20444717,-6.08890423,-11.85408115,-68.20484123,13.23623557,17.34085381,-0.45682947,-3.06659101,-3.04332822,-26.8529339,-7.0184091,6.42091795
103.005,41.52569464,-6.00856921,-11.68868713,-67.94301333,13.99423109,17.05956934,0.51174177,-3.07319116,-3.22208713,-28.84775375,-8.09857869,5.75925934
103.01,40.77199424,-5.87910123,-11.52916398,-67.63171945,14.87951023,16.80800723,1.47150278,-3.14011293,-3.43708382,-30.92796565,-9.00992669,5.60821779
103.015,40.02194633,-5.78627719,-11.38832488,-67.29048806,15.71837733,16.52289128,2.49323056,-3.18007897,-3.66506124,-33.08494203,-9.84406475,5.24466859
103.02,39.34317561,-5.74360015,-11.2348206,-66.93986949,16.4613661,16.19695384,3.63411038,-3.16344901,-3.87955113,-35.32780509,-10.70089321,4.4367647
103.025,38.47417401,-5.70505455,-11.02161234,-66.60339875,16.79602504,16.12301571,4.56026433,-3.13755452,-4.21105197,-37.61747775,-11.0520996,4.35847123
103.03,37.77172457,-5.60757503,-10.9480788,-66.12342186,18.17710574,15.63426161,5.84620484,-3.21844311,-4.3947631,-40.05052557,-11.7218451,3.75168292
103.035,37.11891379,-5.56800705,-10.82454316,-65.70103193,18.89719275,15.28354122,7.15060952,-3.22404803,-4.61133284,-42.5368548,-12.12889714,2.90802192
103.04,36.2287567,-5.5778026,-10.6198005,-65.27017565,19.17432911,15.20850733,8.18066608,-3.17713393,-4.96741482,-45.00931048,-12.29058216,2.73517288
103.045,35.60092512,-5.50772188,-10.54335683,-64.76003664,20.36781461,14.72819599,9.62943741,-3.24029982,-5.17308504,-47.66681112,-12.20128678,1.83352748
