time,hip_flexion_l_power,hip_adduction_l_power,hip_rotation_l_power,knee_angle_l_power,ankle_angle_l_power,subtalar_angle_l_power,hip_flexion_r_power,hip_adduction_r_power,hip_rotation_r_power,knee_angle_r_power,ankle_angle_r_power,subtalar_angle_r_power
102.79,0.0481649174277591,0,-0,0.0535075537871191,0,0,0.111756991447108,-0,-0,0.0228419492019785,0,-0
102.795,0.0478795729164699,0,-0,0.0461573753874624,0,0,0.111218295346432,-0,-0,0.0209099250149814,0,-0
102.8,0.048000109990536,0,-0,0.039345804964775,0,0,0.110079019913292,-0,-0,0.0189983493462944,0,-0
102.805,0.0479785789051504,0,-0,0.0338874032707751,0,0,0.107983818709255,-0,-0,0.0168905549614033,0,-0
102.81,0.0468889894265236,0,-0,0.0293205241745173,0,0,0.104678703569791,-0,-0,0.0145900224512096,-0,-0
102.815,0.0451117917608167,0,-0,0.0252333537602268,0,0,0.100400904035086,-0,-0,0.0121871419687924,-0,-0
102.82,0.043098872664381,0,-0,0.0211710993750908,0,0,0.0954101582489535,-0,-0,0.00978051396823124,-0,-0
102.825,0.0408417740945721,0,-0,0.0171933792896081,0,0,0.0898127369864145,-0,-0,0.00744484658998592,-0,-0
102.83,0.0380415436438724,0,-0,0.0138752672319875,0,0,0.0831303617453629,-0,-0,0.00548726256715176,-0,-0
102.835,0.0349222909771648,0,-0,0.0108630171342652,0,0,0.0759740007783286,-0,0,0.00377207309043094,-0,-0
102.84,0.0316072021038405,0,-0,0.00801852780449666,0,0,0.0686709460994588,-0,0,0.00228536802885619,-0,-0
102.845,0.0284377605664291,0,-0,0.00580291873283665,0,0,0.0614967240446828,-0,0,0.00120232991484191,-0,-0
102.85,0.0269025451205757,0,0,0.00625411515857511,0,0,0.0552592884831636,-0,0,0.000885967024487023,-0,-0
102.855,0.0250073816847972,0,0,0.00653906826976075,0,0,0.0489355049373746,-0,0,0.000492782028282699,-0,-0
102.86,0.0227450450236537,0,0,0.00665811876616242,0,0,0.0425917141687969,-0,0,1.83266904221823e-05,-0,-0
102.865,0.0201152059863976,0,0,0.00661655711131024,0,0,0.0362798844569376,-0,0,-0.000542667999390625,-0,-0
102.87,0.0159565295258284,0,0,0.00646296877006045,0,0,0.0290278548481113,-0,0,-0.00060250165330321,-0,-0
102.875,0.011615637201554,0,0,0.00617795155415901,0,0,0.0220307001902823,-0,0,0.00019385640329719,-0,-0
102.88,0.00762383270788073,0,0,0.00576953281555429,0,0,0.0156590872767387,-0,0,0.0018324728905569,-0,-0
102.885,0.00408538982938746,0,0,0.00526317845713721,0,0,0.00989122845955526,-0,0,0.00438225297079913,-0,-0
102.89,0.001030504572156,0,0,0.00374813326318846,0,0,0.00464117802547138,-0,0,0.00800200457453786,-0,-0
102.895,-0.00104563637067237,0,0,0.00239131602056147,0,0,2.92085659259648e-05,-0,0,0.0127065537257105,-0,-0
102.9,-0.00201884153732373,0,0,0.00127469507889894,0,0,-0.00397908156258711,-0,0,0.01855306397933,0,-0
102.905,-0.00180061883954017,0,0,0.000390532554614146,0,0,-0.00742407507676992,-0,0,0.0256028763008958,0,-0
102.91,-0.000323120447191245,0,0,-0.000276664117601389,0,0,-0.0103404382210172,-0,0,0.0339185875398811,0,0
102.915,0.00125413420749595,0,0,-0.00093337354153137,0,0,-0.0134058166685442,-0,0,0.0420301721970469,0,0
102.92,0.00342876831795278,0,0,-0.00137930722044981,0,0,-0.0164243519420601,-0,0,0.0509748138254445,0,0
102.925,0.00631357274192753,0,0,-0.00164674198239113,0,0,-0.0193603635715493,-0,0,0.0609670558732398,0,0
102.93,0.00980127164500286,0,0,-0.00190739604199205,0,0,-0.0222967965506803,-0,0,0.0717071693511758,0,0
102.935,0.013503508693119,0,0,-0.00245224591446647,0,0,-0.025511178873599,-0,0,0.0819828101453944,0,0
102.94,0.0177278281130211,0,0,-0.002927056371763,-0,0,-0.0287734702011054,-0,0,0.0931552356965718,0,0
102.945,0.0224366263500228,0,0,-0.00348561584987217,-0,0,-0.0320754091315351,-0,0,0.10529030270366,0,0
102.95,0.0274295768178121,0,0,-0.00423658356848969,-0,0,-0.0354528689254612,-0,-0,0.118182210972299,0,0
102.955,0.0297409877118071,0,0,-0.00467679167855236,-0,-0,-0.0399713515520077,-0,-0,0.126618928691447,0,0
102.96,0.0319865387253622,0,0,-0.005388427389044,-0,-0,-0.0446955593332719,-0,-0,0.135404651335963,0,-0
102.965,0.0341526373766892,0,0,-0.0063528790014065,-0,-0,-0.0495881474855741,-0,-0,0.144586865119158,0,-0
102.97,0.0435913032870795,0,0,-0.00831031900206903,-0,-0,-0.053876260110206,-0,-0,0.164638790393359,0,-0
102.975,0.0671592934652216,0,0,-0.0123293049634579,-0,-0,-0.0566787331787906,-0,-0,0.206369104075372,0,-0
102.98,0.0918113707698118,0,0,-0.0173332245294198,-0,-0,-0.0591044366536188,-0,-0,0.252287483070637,0,-0
102.985,0.117192574145412,0,0,-0.0233846492543677,-0,-0,-0.0610720521300168,-0,-0,0.302452413245394,0,-0
102.99,0.136977770954369,0,0,-0.0287630915254232,-0,-0,-0.0596978820948957,-0,-0,0.336357207072893,0,-0
102.995,0.154057879880198,0,0,-0.0339347054466239,-0,-0,-0.0560283526743975,-0,-0,0.363050179424331,0,-0
103,0.170803585901206,0,0,-0.0395311883453877,-0,-0,-0.051132378039857,-0,-0,0.390843556164631,0,-0
103.005,0.186965900587557,0,0,-0.0455031053253286,-0,-0,-0.0450177598886953,-0,-0,0.419432985293142,0,-0
103.01,0.196182291183373,0,0,-0.05063325455811,-0,-0,-0.0402092046153455,-0,-0,0.439391052815105,0,-0
103.015,0.20481606120022,0,0,-0.0559132150477734,-0,-0,-0.0344127616770826,-0,-0,0.45916548359925,0,-0
103.02,0.212915322208704,0,0,-0.0613486129965539,-0,-0,-0.0276623847700839,-0,-0,0.478549262943935,0,-0
103.025,0.218402593669633,0,0,-0.0656521806842882,-0,-0,-0.0199529967634083,-0,-0,0.494412147337373,0,-0
103.03,0.22018799665653,0,0,-0.0677685844646203,-0,-0,-0.0113236248343705,-0,-0,0.504529153067629,0,-0
103.035,0.221835639911292,0,0,-0.0696487831112064,-0,-0,-0.00197654802258893,-0,-0,0.513123547801175,0,-0
103.04,0.223500768844552,0,0,-0.0713347682180549,-0,-0,0.00796166216022688,-0,-0,0.520006571168923,0,-0
103.045,0.22351779634981,0,0,-0.0715342033160833,-0,-0,0.023832738466651,-0,-0,0.51230231563894,-0,-0
103.05,0.222786776400464,0,0,-0.070601316872119,-0,-0,0.0435752868307249,-0,-0,0.494482360803948,-0,-0
103.055,0.222522137537479,0,0,-0.0692874790896955,-0,-0,0.0637700500622126,-0,-0,0.47404577579669,-0,-0
103.06,0.222831655632263,0,0,-0.067586016006334,-0,-0,0.0841654149252715,-0,-0,0.451155521336449,-0,-0
103.065,0.223392587027825,0,0,-0.0622191504080179,-0,-0,0.100057346164042,-0,-0,0.436230100323539,-0,-0
103.07,0.224473341887764,0,0,-0.0543772040308731,-0,-0,0.113561411457521,-0,-0,0.423963172663942,-0,-0
103.075,0.226281641556662,0,0,-0.0453128290407498,-0,-0,0.12653666348425,-0,-0,0.409832046525213,-0,-0
103.08,0.228812174022319,0,0,-0.0348689241938776,-0,-0,0.138847728940554,-0,-0,0.393978466726459,-0,-0
103.085,0.232123246870381,0,0,-0.0225003713466437,-0,-0,0.149620648382096,-0,-0,0.361564384410741,-0,-0
103.09,0.236087903376017,0,0,-0.00824268499492767,-0,-0,0.159353139076418,-0,-0,0.324969322972753,-0,-0
103.095,0.240598676237456,0,0,0.00802019414396107,-0,-0,0.168160907607898,-0,-0,0.288334555239638,-0,-0
103.1,0.245546888418964,0,0,0.0264844106422867,-0,-0,0.175995904887961,-0,-0,0.252158481361557,-0,-0
103.105,0.251774961363445,0,0,0.0275416774530437,0,-0,0.173087575760825,-0,-0,0.245922831509948,-0,-0
103.11,0.258248563952803,0,0,0.0281278726913311,0,-0,0.169344734427317,-0,-0,0.238648171715377,-0,0
103.115,0.264789538374868,0,0,0.0287199035797738,0,-0,0.165071412260441,-0,-0,0.229463983791492,-0,0
103.12,0.271230471324614,0,0,0.0293684152487621,0,-0,0.160333066377897,-0,-0,0.218207805720314,-0,0
103.125,0.285940845327621,0,0,0.0736908589797363,0,-0,0.161420979543202,-0,-0,0.184222747685759,-0,0
103.13,0.303706805157157,0,0,0.139087429825007,0,-0,0.163868200096028,-0,-0,0.145460123066311,-0,0
103.135,0.321248795202444,0,0,0.210492220403899,0,-0,0.16534109414212,-0,-0,0.110429489682373,-0,0
103.14,0.338254264146878,0,0,0.287488609798713,0,-0,0.165818007352977,-0,-0,0.0795368933043851,-0,0
103.145,0.346436787046778,0,0,0.332976742900719,0,-0,0.157034235042127,-0,-0,0.0643120340297102,-0,0
103.15,0.352217164569866,0,0,0.375117178413077,0,-0,0.147006519621814,-0,-0,0.0501561453489818,-0,0
103.155,0.356417700404457,-0,0,0.418073999546311,0,-0,0.136921165863996,-0,-0,0.0353965257794536,-0,0
103.16,0.356714613957089,-0,0,0.460092512922343,0,-0,0.126495927725742,-0,-0,0.0205341631782348,-0,0
103.165,0.348935440976406,-0,-0,0.498194002525073,0,-0,0.115264787063633,0,-0,0.005415756320085,-0,0
103.17,0.339257744114288,-0,-0,0.534687858100616,0,-0,0.104173127847645,0,-0,-0.0109426680384593,-0,0
103.175,0.327676765027721,-0,-0,0.568657580392681,0,-0,0.0932310030179047,0,-0,-0.0280619322712266,-0,0
103.18,0.316733392058288,-0,-0,0.583570687415219,0,-0,0.0836433465208512,0,-0,-0.0451899737704907,-0,0
103.185,0.305660265725426,-0,-0,0.582264234717332,0,-0,0.0747967036448317,0,-0,-0.0615767728483953,-0,0
103.19,0.292405735038243,-0,-0,0.57655059876553,0,-0,0.0656447674658007,0,-0,-0.0767385352998378,-0,0
103.195,0.276990560154475,-0,-0,0.565985758232105,0,-0,0.0561847374389578,0,-0,-0.0901167006092779,-0,0
103.2,0.256410958924922,-0,-0,0.551010961592473,0,-0,0.0461110422154754,0,-0,-0.102827451489673,0,0
103.205,0.227246382187419,-0,-0,0.532347796035375,0,-0,0.0352738551179738,0,-0,-0.117799428071012,0,0
103.21,0.198063338985379,-0,-0,0.50732884116438,0,-0,0.0246442457539323,0,-0,-0.131045232434029,0,0
103.215,0.169187867863481,-0,-0,0.475633057149764,0,-0,0.01425898255099,0,-0,-0.1422084521305,0,0
103.22,0.144304595325464,-0,-0,0.423913898845844,0,-0,0.0042174573431938,0,-0,-0.139743331644532,0,0
103.225,0.121100829195382,-0,-0,0.360994798251542,0,-0,-0.00580089134547807,0,-0,-0.126042546638313,0,0
103.23,0.0973260656444141,-0,-0,0.296908019485068,0,-0,-0.0158617374079666,0,-0,-0.10837124501887,0,0
103.235,0.0732036192479495,-0,-0,0.232519581126931,0,-0,-0.0259020147293019,0,-0,-0.0873805226675014,0,0
103.24,0.0487691363976555,-0,-0,0.166804911580152,0,-0,-0.0368881991057594,0,-0,-0.0516788664089622,0,0
103.245,0.0246200618356956,-0,-0,0.103913628805643,0,-0,-0.0484509285200025,0,0,-0.012180623113666,0,0
103.25,0.00101846539163546,-0,-0,0.0453592397892038,0,-0,-0.0603832721934535,0,0,0.0283264540473781,0,0
103.255,-0.0217408727691879,-0,-0,-0.00770498527534395,0,-0,-0.0726994519629278,0,0,0.0737495679337638,0,0
103.26,-0.0426303656159312,-0,-0,-0.0540714414773892,0,-0,-0.0858216049494191,0,0,0.139485190798648,0,0
103.265,-0.0614884692176864,-0,-0,-0.0926503824977035,0,-0,-0.0991147361137051,0,0,0.202227401566171,0,0
103.27,-0.0782054815236241,-0,-0,-0.122518755477581,0,-0,-0.112420236816498,0,0,0.260599530025898,0,0
103.275,-0.0923031441007092,0,-0,-0.143160053129259,0,-0,-0.123182639555069,0,0,0.295015583390897,0,0
103.28,-0.103524483780194,0,-0,-0.154168222409944,0,-0,-0.130765575161253,0,0,0.306594844614054,0,0
103.285,-0.112201789983685,0,0,-0.154968080950556,0,-0,-0.137278706609101,0,0,0.313848284070906,0,0
103.29,-0.118380760467695,0,0,-0.145408299289902,0,-0,-0.14267152223365,0,0,0.316781593499383,0,0
103.295,-0.123076953975924,0,0,-0.127350730957611,-0,-0,-0.143248907320824,0,0,0.303917115833497,0,0
103.3,-0.125771707417617,0,0,-0.10001841299913,-0,-0,-0.141877235873231,0,0,0.286909737052253,0,0
103.305,-0.126451965802681,0,0,-0.0637089094140508,-0,-0,-0.139146995830044,0,0,0.267981422096803,0,-0
103.31,-0.125077684496911,0,0,-0.0190848476458923,-0,-0,-0.134720869938636,-0,0,0.247549351315645,0,-0
103.315,-0.117902199868575,0,0,0.0347394090706227,-0,-0,-0.118896159834733,-0,0,0.224352585790601,0,-0
103.32,-0.108674137746763,0,0,0.0950264413462902,-0,-0,-0.101972619171868,-0,0,0.201089750092694,0,-0
103.325,-0.0975918954882952,0,0,0.160550724239831,-0,-0,-0.084290446741469,-0,0,0.178230791270911,0,-0
103.33,-0.0838159919110324,0,0,0.223983224117882,-0,-0,-0.0625348719372071,-0,0,0.148430845019903,0,-0
103.335,-0.0652890004316956,0,0,0.271101246655927,-0,-0,-0.0300047184076394,-0,0,0.10068765186542,0,-0
103.34,-0.0452180170505492,0,0,0.318202379121587,-0,-0,0.00183315944681321,-0,0,0.0604971967781047,-0,-0
103.345,-0.0238274057756822,0,0,0.364411528031955,-0,-0,0.0325095213053541,-0,0,0.0275965186801335,-0,-0
103.35,-0.014089671597732,0,0,0.390881123792286,-0,-0,0.045110429475675,-0,0,0.0134044515635953,-0,-0
103.355,-0.0136189265892458,0,0,0.401268183596536,-0,-0,0.044997666173758,-0,0,0.00986966685149203,-0,-0
103.36,-0.0132591072128858,0,0,0.408582011856013,-0,-0,0.0446609973009821,-0,0,0.00699059078669787,-0,-0
103.365,-0.0130121213093306,-0,0,0.41279521022402,-0,0,0.0441117631421073,-0,0,0.00472567998875169,-0,-0
103.37,0.00139782697580888,-0,0,0.401252084865148,-0,0,0.0633344645922334,-0,0,-0.00421367792249773,-0,-0
103.375,0.0277616525913583,-0,0,0.376915250574604,-0,0,0.0962193131275735,0,0,-0.015249932235612,-0,-0
103.38,0.0544134280580767,-0,0,0.35073211102702,-0,0,0.12576948004855,0,0,-0.022416062749633,-0,-0
103.385,0.0811712896119376,-0,0,0.323213331001756,-0,0,0.152060715476264,0,0,-0.0267341838918185,-0,-0
103.39,0.105748058495338,-0,0,0.28898675631476,-0,0,0.171548275107263,0,0,-0.0266885589937983,-0,-0
103.395,0.127469754160452,-0,0,0.247847468259869,-0,0,0.184215661195702,0,0,-0.0238032839328841,-0,-0
103.4,0.148791598234947,-0,-0,0.207887692046291,-0,0,0.195168365394847,0,0,-0.0218970098230806,-0,-0
103.405,0.169561802540892,-0,-0,0.16967539283647,-0,0,0.204714012508973,0,0,-0.0210668542018694,-0,-0
103.41,0.182275114213692,-0,-0,0.141451482535826,-0,0,0.208225015783358,0,0,-0.021651175205645,-0,-0
103.415,0.192924473601036,-0,-0,0.116316324979719,-0,0,0.210558615197499,0,0,-0.0234952937386057,-0,-0
103.42,0.202802212391857,-0,-0,0.0930087714860446,-0,0,0.212944188408562,0,0,-0.0266143318923415,-0,-0
103.425,0.211804642479837,-0,-0,0.0717551548075065,-0,0,0.215617402051747,0,0,-0.0310466344308836,-0,-0
103.43,0.216775855299712,-0,-0,0.0566795067776467,-0,0,0.215230948024247,0,0,-0.0361968635978766,-0,-0
103.435,0.218010644233691,-0,-0,0.0465136109639926,-0,0,0.21247389695043,0,0,-0.0418211844623129,-0,-0
103.44,0.218349799037141,-0,-0,0.0372613634228869,-0,0,0.210801700427241,0,0,-0.0482994182650299,-0,-0
103.445,0.217719722901937,-0,-0,0.0289606113810025,-0,0,0.210199849057724,0,0,-0.0555098343727862,-0,-0
103.45,0.216044472981377,-0,-0,0.0216410868517336,-0,0,0.210623521595186,-0,0,-0.0633273474261387,-0,-0
103.455,0.211229637231364,-0,-0,0.0159729822649587,-0,0,0.209774530021677,-0,0,-0.0708229841392816,-0,-0
103.46,0.201191826044138,-0,-0,0.0121568672094794,-0,0,0.204926469234257,-0,0,-0.0765169641799869,0,-0
103.465,0.190516373496175,-0,-0,0.00851125633315717,-0,0,0.200767540945267,-0,0,-0.0818052029699013,0,-0
103.47,0.179198482677042,-0,-0,0.00507845640003264,-0,0,0.197098959655429,-0,0,-0.0865492850883175,0,-0
103.475,0.167930064250272,-0,-0,0.0022238451128127,-0,0,0.186429374628932,-0,0,-0.0843229468887715,0,-0
103.48,0.156337690067535,-0,-0,-0.00135881497674554,-0,0,0.171025632628713,-0,0,-0.0759443517495077,0,-0
103.485,0.143947118210972,-0,-0,-0.0060579958271395,-0,0,0.155395659857995,-0,-0,-0.0651709951385349,0,-0
103.49,0.130772206304792,0,-0,-0.0117293368518568,0,0,0.139432539661914,-0,-0,-0.0520999583291793,0,-0
103.495,0.118306268874541,0,-0,-0.0153032512601641,0,0,0.130212244869871,-0,-0,-0.0428229284709736,0,-0
103.5,0.105023586062189,0,-0,-0.0171046234487492,0,0,0.122258638768348,-0,-0,-0.0335515859311959,0,-0
103.505,0.0905821574763328,0,-0,-0.0175805985472056,0,0,0.113972472043348,-0,-0,-0.0231846325416215,0,-0
103.51,0.0749956410092577,0,-0,-0.0163444439713207,0,0,0.106459825947465,-0,-0,-0.0124901854282765,0,-0
103.515,0.0582255608190738,0,-0,-0.0109564786844465,0,0,0.105458838783019,-0,-0,-0.00478574767902917,0,-0
103.52,0.040573140114591,0,-0,-0.00364849185752589,0,0,0.104018545961729,-0,-0,0.00322557225441167,0,-0
103.525,0.022129077775484,0,-0,0.00542636893992768,0,0,0.102087189732519,-0,-0,0.0113407618630631,0,-0
103.53,0.00298816892672163,0,-0,0.013737250050819,0,0,0.0995861402164473,-0,-0,0.0172409165392994,0,-0
103.535,-0.0164632030122922,0,-0,0.0164361629444159,0,0,0.0964224187360951,-0,-0,0.0173415845005183,0,-0
103.54,-0.0359081352454095,0,-0,0.019453805306558,0,0,0.0926302473105347,-0,-0,0.0173353885082892,0,-0
103.545,-0.0552121635014141,0,-0,0.0227617010933052,0,0,0.0881655732214686,-0,-0,0.0171857463099817,0,-0
103.55,-0.0737761804043511,0,-0,0.0306156324210691,0,0,0.0842001704400614,-0,-0,0.0213954839490553,0,-0
103.555,-0.0911077650259015,0,-0,0.0432438573859192,0,0,0.0804233803633721,-0,-0,0.0287159884637713,0,-0
103.56,-0.107424303710454,0,-0,0.0561713792800212,0,0,0.0754262995731837,-0,-0,0.0337099816935044,0,-0
103.565,-0.122603738935868,0,-0,0.0691300691612855,0,0,0.0691112265392238,-0,-0,0.0358494446598338,0,-0
103.57,-0.136531362375947,0,0,0.0818468741796052,0,0,0.0613881904036947,-0,-0,0.0346004855402384,0,-0
103.575,-0.145801474697221,0,0,0.0898603262114754,0,0,0.0514839817184698,-0,-0,0.0273977018350551,0,-0
