time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
42.265,10.52417187,-2.07132492,-10.80203559,-39.39379233,18.69484251,9.95261881,20.71359551,-5.98593185,-19.79754368,-20.03072962,-18.82787616,-2.27510821
42.27,10.64954059,-1.95561357,-10.72922473,-40.20323506,19.30921691,9.94430561,20.27655693,-6.03625742,-19.48252851,-19.10111564,-19.42689033,-2.09950908
42.275,10.75181206,-1.85510994,-10.68449141,-41.06271715,19.94092479,9.98817626,19.79062609,-6.06589524,-19.17372263,-18.14923378,-20.01385331,-1.99372646
42.28,10.91434469,-1.7097143,-10.59990765,-41.96486757,20.2223814,9.98291529,19.33556325,-6.14011819,-18.82425696,-17.22508426,-20.23111319,-1.89910898
42.285,10.86693384,-1.77542622,-10.57256532,-42.85602916,21.26628827,10.34423468,18.65384955,-6.02359848,-18.53414383,-16.20110195,-21.32444068,-2.10684178
42.29,10.98846453,-1.59801988,-10.51799586,-43.75718709,21.84840204,10.31927697,18.18582555,-6.13786961,-18.19400565,-15.32107574,-21.89612036,-1.94757036
42.295,11.07261929,-1.50250053,-10.45983319,-44.66676602,22.49198817,10.38802722,17.66427286,-6.18201322,-17.86330986,-14.45058189,-22.52480929,-1.90061266
42.3,11.14121712,-1.42073158,-10.39406073,-45.57873779,23.15446473,10.49895559,17.12606799,-6.21655946,-17.55010506,-13.62120577,-23.18291213,-1.89963508
42.305,11.20219369,-1.32744452,-10.32259471,-46.46279495,23.79690726,10.60145576,16.60407002,-6.26872152,-17.23351403,-12.85934582,-23.80748418,-1.88889394
42.31,11.33395432,-1.19445784,-10.23222372,-47.36167404,24.09495725,10.59601168,16.15524843,-6.36237787,-16.9111441,-12.2009937,-24.04151577,-1.79632634
42.315,11.40290906,-1.0553594,-10.17054574,-48.21959671,24.76333063,10.60126351,15.68211894,-6.46887625,-16.62128456,-11.58909361,-24.62691099,-1.65012073
42.32,11.40795431,-1.03823464,-10.12439301,-49.07334876,25.65985929,10.7596622,15.14535674,-6.46362273,-16.41209106,-11.02223493,-25.39439306,-1.61717145
42.325,11.50765966,-0.94600796,-10.03208046,-49.93801565,25.90748389,10.77724895,14.71605479,-6.52743738,-16.12879243,-10.60695664,-25.55375577,-1.55462315
42.33,11.50424529,-0.90554624,-9.9689415,-50.74854377,26.84057799,10.89886744,14.21481747,-6.54380588,-15.93044419,-10.20543341,-26.19539703,-1.44297157
42.335,11.51706596,-0.90957853,-9.89994691,-51.579401,27.48151902,11.06255421,13.7275795,-6.52240011,-15.74012207,-9.90332407,-26.54063948,-1.38662099
42.34,11.5805547,-0.85808891,-9.87688707,-52.40043582,27.65841599,11.06855781,13.32962759,-6.57448526,-15.55027164,-9.74582869,-26.61247403,-1.3293215
42.345,11.56991897,-0.9130132,-9.77700452,-53.1993637,28.67295048,11.23789081,12.83790684,-6.4876423,-15.39546848,-9.54971959,-26.93024623,-1.12212097
42.35,11.57022976,-0.96481066,-9.71379577,-54.00516231,29.28216512,11.41384578,12.3836989,-6.42193879,-15.26721212,-9.48767474,-26.98418168,-0.95683598
42.355,11.62418829,-0.95143445,-9.6602599,-54.79578355,29.59151136,11.43387867,12.00087209,-6.41343072,-15.09807919,-9.49949758,-26.97726751,-0.85697753
42.36,11.6619124,-0.97299868,-9.59452803,-55.59688156,30.05082959,11.44562231,11.61654187,-6.3650811,-14.95112369,-9.5898295,-26.90691889,-0.72881872
42.365,11.67829777,-1.04513769,-9.57320801,-56.39406583,30.64785634,11.4837757,11.22512115,-6.28303362,-14.85790626,-9.74521361,-26.70623664,-0.55860719
42.37,11.6614797,-1.20859396,-9.55212994,-57.21043101,31.48320496,11.63792558,10.80409469,-6.1129778,-14.83700598,-9.95958223,-26.20703314,-0.2291694
42.375,11.65970829,-1.19509662,-9.56809351,-57.9403446,31.57214818,11.64795643,10.43275263,-6.10746562,-14.7550901,-10.17276517,-26.15975707,-0.17510584
42.38,11.65451485,-1.48108161,-9.47662007,-58.8434171,32.51587265,12.13476874,9.9941532,-5.8395245,-14.83521801,-10.54450765,-24.99125413,0.86870161
42.385,11.72144204,-1.56284205,-9.4688448,-59.70057255,32.85410229,12.06620546,9.66527958,-5.7407183,-14.7172908,-10.89070274,-24.47007178,0.89164183
42.39,11.72962423,-1.7193321,-9.45703471,-60.54046872,33.31948849,12.05459689,9.30157718,-5.5731393,-14.65279194,-11.31033112,-23.58572373,1.0644976
42.395,11.77687823,-1.88662093,-9.44925682,-61.42308766,33.72315819,12.10806453,8.96286145,-5.39894136,-14.61390282,-11.74309838,-22.59254596,1.41384286
42.4,11.82769943,-2.04615569,-9.42928152,-62.31559532,34.0583389,12.15399031,8.63732698,-5.23016629,-14.56912116,-12.21735298,-21.50609119,1.80454249
42.405,11.91202548,-2.21521585,-9.42898471,-63.25718581,34.32293602,12.15841905,8.33390709,-5.06385042,-14.51410207,-12.71364276,-20.34573114,2.11265203
42.41,12.01142178,-2.38078144,-9.42616046,-64.2134623,34.5103099,12.141963,8.05464583,-4.89993691,-14.44312976,-13.23866884,-19.19760487,2.36961513
42.415,12.13446201,-2.52967243,-9.4134983,-65.21416694,34.59828391,12.10458757,7.79616419,-4.75051521,-14.34495011,-13.78685007,-18.28318181,2.43934462
42.42,12.32214669,-2.72192605,-9.40409258,-66.22802442,34.77126161,12.07836141,7.60218636,-4.58446748,-14.33546065,-14.3854965,-16.38706884,3.42040626
42.425,12.43697648,-2.91504667,-9.39444492,-67.26758972,34.70972649,11.98579289,7.33059542,-4.3924295,-14.19599616,-14.94440415,-15.06566231,3.33730205
42.43,12.60833268,-3.13671994,-9.37674131,-68.35389601,34.62168876,11.87513445,7.10805529,-4.18578144,-14.0618613,-15.52888873,-13.59578898,3.41436304
42.435,12.90982918,-3.29070526,-9.35490971,-69.47538419,34.45327145,11.6887984,7.02669527,-4.06108556,-13.98344751,-16.18300947,-11.9309777,4.08513466
