time,hip_angle_l,hip_angle_l_velocity,hip_angle_l_velocity_filt,hip_angle_l_torque_estimated,hip_angle_l_torque_desired,hip_angle_l_torque_measured,hip_angle_l_torque_interaction,knee_angle_l,knee_angle_l_velocity,knee_angle_l_velocity_filt,knee_angle_l_torque_estimated,knee_angle_l_torque_desired,knee_angle_l_torque_measured,knee_angle_l_torque_interaction,thigh_imu_l_accel_x,thigh_imu_l_accel_y,thigh_imu_l_accel_z,thigh_imu_l_gyro_x,thigh_imu_l_gyro_y,thigh_imu_l_gyro_z,shank_imu_l_accel_x,shank_imu_l_accel_y,shank_imu_l_accel_z,shank_imu_l_gyro_x,shank_imu_l_gyro_y,shank_imu_l_gyro_z,foot_imu_l_accel_x,foot_imu_l_accel_y,foot_imu_l_accel_z,foot_imu_l_gyro_x,foot_imu_l_gyro_y,foot_imu_l_gyro_z,insole_l_force_y,insole_l_cop_x,insole_l_cop_z,hip_angle_r,hip_angle_r_velocity,hip_angle_r_velocity_filt,hip_angle_r_torque_estimated,hip_angle_r_torque_desired,hip_angle_r_torque_measured,hip_angle_r_torque_interaction,knee_angle_r,knee_angle_r_velocity,knee_angle_r_velocity_filt,knee_angle_r_torque_estimated,knee_angle_r_torque_desired,knee_angle_r_torque_measured,knee_angle_r_torque_interaction,thigh_imu_r_accel_x,thigh_imu_r_accel_y,thigh_imu_r_accel_z,thigh_imu_r_gyro_x,thigh_imu_r_gyro_y,thigh_imu_r_gyro_z,shank_imu_r_accel_x,shank_imu_r_accel_y,shank_imu_r_accel_z,shank_imu_r_gyro_x,shank_imu_r_gyro_y,shank_imu_r_gyro_z,foot_imu_r_accel_x,foot_imu_r_accel_y,foot_imu_r_accel_z,foot_imu_r_gyro_x,foot_imu_r_gyro_y,foot_imu_r_gyro_z,insole_r_force_y,insole_r_cop_x,insole_r_cop_z
71.65,-13.2153587341309,-11.1211175918579,-16.6283796671081,0.197591669450028,4.23174830641191,4.5230770111084,4.53790773865866,-29.0006592559814,-90.7626724243164,-95.0978240512437,0.308458759664477,0.251190259340192,-0.909890115261078,-0.864809428574615,2.5852073779294,6.74484580885605,1.30318678542101,21.5669428087258,13.7569683173583,47.6095683496437,-3.90310529972836,6.61406948392394,-0.331084707220008,-9.70051337000153,-7.48537601252739,-138.630719380868,-1.49688732624054,8.97653388977051,1.30768072605133,-5.70499992370605,8.11999988555908,-19.7049999237061,869,-0.0807845443487167,-0.178477823734283,-26.0595939254761,30.49338722229,34.448142561091,0.244036666859715,1.18823761426542,-0.356043964624405,-0.375909096780759,-6.43446426987648,86.4577255249023,109.562154824637,-0.198626471601101,-1.83548425571044,-0.241758242249489,-0.233789305816069,3.86388162466048,4.91329315899184,-0.575622133788143,26.0713475904051,5.67041723887576,-55.1590757624321,0.919209525614303,8.91568947002716,0.55526056471478,-18.735283562256,1.86281081578492,146.077023436592,-19.8203646761478,5.45163953867995,7.95522892526484,120.167383077946,40.3576800434266,34.0868241631144,0,0,0
71.655,-13.2153587341309,-11.1211175918579,-15.0127348058082,0.195537398515473,4.1310671731654,4.5230770111084,4.54308638666376,-29.0006592559814,-90.7626724243164,-93.9842814678335,0.321699841840464,0.385183412488119,-0.909890115261078,-0.862038325874893,2.65409070810437,6.88526182805888,0.892536163224055,21.4851724737602,14.8886697532814,46.1507855738584,-4.16804118501672,6.68825153180468,-0.116486640136437,-10.0603028438499,-1.28718462213926,-139.229278232816,-1.49688732624054,8.97653388977051,1.30768072605133,-5.70499992370605,8.11999988555908,-19.7049999237061,869,-0.0807845443487167,-0.178477823734283,-26.0595939254761,30.49338722229,34.0792625589242,0.237470204478523,1.48741509650602,-0.356043964624405,-0.380034833516241,-6.43446426987648,86.4577255249023,102.314605781205,-0.19475767445294,-1.95142359673965,-0.241758242249489,-0.214028327683129,4.19505148127093,4.9212412355505,-0.782272124313055,25.7965992649209,6.28533015781665,-53.2685456180287,1.29541848272376,8.88919588149833,0.833443244267559,-20.6290845200579,10.5500912025242,141.694133482439,-19.8241717954405,4.96939933290229,8.21094313282907,113.101543502417,35.2113006738303,28.5602609289701,0,0,0
71.66,-13.2153587341309,-11.1211175918579,-13.3970129026477,0.193483029623219,4.03038123894931,4.5230770111084,4.54608550955659,-29.0006592559814,-90.7626724243164,-92.8706857852586,0.334941555416105,0.519182955085912,-0.909890115261078,-0.86611597034913,2.72297732297393,7.0256845429853,0.481865959193985,21.4033982395846,16.0204251542722,44.691933236165,-4.4329897037458,6.76243711704881,0.0981216600341148,-10.4201094742227,4.9113023283743,-139.827865626981,-1.49688732624054,8.97653388977051,1.30768072605133,-5.70499992370605,8.11999988555908,-19.7049999237061,869,-0.0807845443487167,-0.178477823734283,-26.0595939254761,30.49338722229,33.710364966752,0.230903428976242,1.7866068449944,-0.356043964624405,-0.386621558008172,-6.43446426987648,86.4577255249023,95.0667111391352,-0.190888692821581,-2.06736846632454,-0.241758242249489,-0.178028861469847,4.52623712968227,4.92918969111238,-0.988931968921728,25.5218378380908,6.90027239881747,-51.3779253238879,1.67164537931904,8.86270102962543,1.11163918893309,-22.5229757835658,19.2377858413442,137.311034530625,-19.8279790962754,4.48713613154951,8.46666953409925,106.035366993048,30.0646758996577,23.0334341612206,0,0,0
71.665,-13.2751571881814,-10.0742037901393,-12.530586593137,0.184745424361187,3.91985064191262,4.51024948919809,4.52832842906862,-29.6863404495474,-90.2392157408845,-92.238759875355,0.353131670151611,0.695259719965379,-0.826511217408362,-0.796345157606751,2.76100652746573,7.14396306267919,0.458239133803364,20.7578179177343,16.1177885098238,43.2844844696198,-4.52201305493142,6.75723260633763,0.342517432401022,-10.0267068448837,4.14712802986606,-139.40476373238,-1.57639053144139,9.01846955078748,1.32995910032345,-6.11994023512675,8.03701184066914,-19.5900935338138,884.868046408925,-0.0686241023276856,-0.180965522258286,-25.8124293940618,30.8859800827478,33.2748495125084,0.22275163350424,2.03845276124345,-0.312751074100337,-0.348573014082144,-5.97202836851954,77.558957036186,90.6402015605185,-0.186394297099518,-2.1353219203869,-0.331550903775204,-0.235659067072137,4.6603152359185,4.92270434647866,-1.15773698380723,25.7077429273234,7.23992758738441,-50.5727105685784,2.01824136127681,9.01685655070893,1.59597834508405,-24.2742568632008,37.6600461803194,125.299235652584,-19.670671475352,4.02735056316371,7.97596880013821,89.6494098332533,29.7953487191976,18.2056899505831,0,0,0
71.67,-13.3417473850884,-8.908384417249,-11.7491774106328,0.175248646531649,3.80819656907772,4.49596505286277,4.50797357838028,-30.4498994147396,-89.6563062965616,-91.6614815546864,0.371884513703265,0.876122614404827,-0.73366237517573,-0.716960808795763,2.79553469047804,7.25973396219108,0.478549817928263,20.0481977192967,16.0977285748857,41.8827965158154,-4.59106938095606,6.7430151274502,0.590307778724716,-9.54777589823497,2.59248307215818,-138.865652980917,-1.66492349058078,9.065168148082,1.35476779066672,-6.58200831833785,7.94459824339669,-19.462136394281,902.538341597583,-0.0550825109686316,-0.18373576669334,-25.5371925994555,31.3231625533856,32.8317481980957,0.21441946716776,2.28493715551453,-0.264541096928842,-0.306109107535038,-5.45707027776088,67.6494910591585,86.5337522355037,-0.18182866314023,-2.19783079881431,-0.431541967202023,-0.304464195734719,4.77202399860542,4.9145800728287,-1.32225352521887,25.9459546547141,7.54834908705871,-49.8906727806808,2.36149192298751,9.19152843418302,2.10374544820639,-26.0094412353522,57.1883928426244,112.420757422281,-19.4950650698304,3.5700923347511,7.40050451730771,72.2045625875578,30.079698219467,13.4570521363187,0,0,0
71.675,-13.4083344068,-7.74262063368604,-10.9678054877692,0.165752321533402,3.69654782020205,4.48168129764686,4.48649835845448,-31.2134219714364,-89.0734246468908,-91.0842307601631,0.390636463070123,1.0569768848268,-0.640817960219573,-0.637480744970827,2.83006120709692,7.37549934144264,0.498859533586437,19.3386113574125,16.0776695964578,40.4811753981713,-4.66012241419385,6.72879832648949,0.838086309754384,-9.06886778827072,1.03791224400197,-138.326567935669,-1.75345222823633,9.11186451866485,1.37957529806653,-7.04405436893007,7.8521890526471,-19.3341853560804,920.207794220191,-0.0415415653081928,-0.186505879035869,-25.2619689288619,31.7603241780158,32.3886680119166,0.206087698130837,2.53140979676279,-0.216333418535583,-0.263868823633507,-4.94213674155547,57.7404975914757,82.4274987167699,-0.177263246882352,-2.26033669665435,-0.531528262792517,-0.374925395895938,4.88372743472535,4.90645618656542,-1.48676222205004,26.1841550235445,7.85675588038647,-49.2086675141348,2.70472611761058,9.36619198884329,2.61148833966064,-27.7445428693588,76.7158083421093,99.5428932716193,-19.319467037683,3.11285590961087,6.8250676741245,54.7605471579621,30.364034161206,8.70864074956792,0,0,0
71.68,-13.474924603707,-6.57680126079575,-10.1863963052651,0.156255543703864,3.58489374736716,4.46739686131154,4.46396214016709,-31.9769809366287,-88.4905152025679,-90.5069524394945,0.409389306621777,1.23783977926625,-0.547969117986941,-0.557878439446802,2.86458937010923,7.49127024095454,0.519170217711335,18.6289911589749,16.0576096615197,39.079487444367,-4.72917874021849,6.71458084760206,1.08587665607808,-8.589936841622,-0.516732713705917,-137.787457184206,-1.84198518737572,9.15856311595938,1.4043839884098,-7.50612245214118,7.75977545537466,-19.2062282165477,937.878089408848,-0.0279999739491388,-0.189276123470924,-24.9867321342556,32.1975066486535,31.9455666975039,0.197755531794357,2.77789419103386,-0.168123441364088,-0.221584375063852,-4.42717865079681,47.8310316144483,78.3210493917551,-0.172697612923065,-2.32284557508176,-0.631519326219336,-0.447705189045047,4.99543619741227,4.89833191291546,-1.65127876346168,26.4223667509352,8.16517738006077,-48.5266297262371,3.04797667932128,9.54086387231737,3.11925544278297,-29.4797272415102,96.2441550044143,86.6644150413165,-19.1438606321613,2.65559768119826,6.24960339129401,37.3156999122665,30.6483836614754,3.96000293530354,0,0,0
71.685,-13.5415116254186,-5.41103747723279,-9.40502438240148,0.146759218705617,3.47324499849149,4.45311310609564,4.44047130153849,-32.7405034933255,-87.9076335528971,-89.9297016449712,0.428141255988635,1.41869404968822,-0.455124703030784,-0.478072493346679,2.89911588672811,7.6070356202061,0.53947993336951,17.9194047970907,16.0375506830918,37.6778663267229,-4.79823177345628,6.70036404664135,1.33365518710775,-8.11102873165774,-2.07130354186213,-137.248372138958,-1.93051392503127,9.20525948654223,1.42919149580961,-7.9681685027334,7.66736626462507,-19.0782771783471,955.547542031456,-0.0144590282887,-0.192046235813453,-24.7115084636621,32.6346682732837,31.5024865113248,0.189423762757434,3.02436683228213,-0.11991576297083,-0.179024838423819,-3.9122451145914,37.9220381467655,74.2147958730213,-0.168132196665187,-2.3853514729218,-0.73150562180983,-0.523395675604657,5.10713963353221,4.89020802665219,-1.81578746029286,26.6605671197656,8.47358417338853,-47.8446244596912,3.39121087394435,9.71552742697764,3.62699833423722,-31.2148288755169,115.771570503899,73.7865508906546,-18.9682626000139,2.19836125605803,5.67416654811079,19.8716844826708,30.9327196032144,-0.788408451447293,0,0,0
71.69,-13.5661392157095,-4.6286936304935,-8.55289766798372,0.136379428471486,3.36062191728627,4.4527473449707,4.43009456737116,-33.7915968284812,-85.6352296281183,-89.1081452455561,0.462796529285623,1.75863230454815,-0.35363155953358,-0.389241231356472,2.90786586774101,7.67554889784189,0.59506107418719,16.3507198979626,14.667793393229,35.7548144473179,-4.91274410428804,6.70262195591366,1.452744104288,-6.65830817088229,-8.92172252144707,-135.570758839964,-1.87500821286969,9.16689369631938,1.36075073834236,-5.5756664262296,7.27957249755363,-18.4601517811197,1021.81109343324,0.013193768873097,-0.188245435014637,-24.1829582544746,37.5370630048287,32.3520135198176,0.185235326400632,3.26425031664037,0.0564999183583339,-0.00777948811476322,-3.68701997220848,27.3215305098544,66.5952508959883,-0.167574768100057,-2.40066684594459,-0.886197024875041,-0.657237562939131,5.40890297415896,5.58481831712386,-1.50798724627267,26.4336039187845,8.19339002923818,-48.3936324504853,2.79170622802739,9.24280402371117,3.58493892581282,-30.2849274938072,125.438739688306,59.5280539548847,-19.2563971780814,1.41425769836542,4.20946351535925,-5.82050323775105,41.0161776904247,-6.87494968295238,0,0,0
71.695,-13.5896629722709,-3.85646374753797,-7.69895332712357,0.125976930087542,3.24797874342728,4.4527473449707,4.41947817919433,-34.8501956402552,-83.3185388886683,-88.2802090784177,0.497868021309167,2.10273440386065,-0.251916107541978,-0.299564636080232,2.91593805332443,7.74281711103699,0.651566373271071,14.7595359907796,13.2626351620424,33.8181542847132,-5.02844543098362,6.70531268444146,1.56844543098358,-5.18006842412569,-15.9109729195952,-133.863308885284,-1.81572021571473,9.12629448233522,1.28986291077595,-3.10826834570456,6.88403546042015,-17.8291756128915,1089.34837948113,0.0412160503245475,-0.184272146838474,-23.6477768830157,42.5565572119636,33.2354666617348,0.181155975342854,3.50394890935515,0.236276073477331,0.167465335826942,-3.4694189371231,16.7033696994057,58.8837549540359,-0.167122690492577,-2.41474137594316,-1.04231842311083,-0.796397721931828,5.71564602632863,6.29786137699197,-1.18779055146398,26.1944280496463,7.89774207988687,-48.9749626879739,2.16745720957682,8.7530914316508,3.52843362672894,-29.2850394853269,134.846323874406,45.2339738868091,-19.5567038274533,0.62160295170178,2.72146362717509,-31.7281828266561,51.3566480181063,-12.9963570355928,0,0,0
