time,hip_flexion_l_power,hip_adduction_l_power,hip_rotation_l_power,knee_angle_l_power,ankle_angle_l_power,subtalar_angle_l_power,hip_flexion_r_power,hip_adduction_r_power,hip_rotation_r_power,knee_angle_r_power,ankle_angle_r_power,subtalar_angle_r_power
78.83,0.158201632868071,-0.00286705262791505,-0.0257091253260388,-0.0129665703465757,-0.0282545076971942,0.00123343148857448,NaN,NaN,NaN,NaN,NaN,NaN
78.835,0.135344149743548,-0.0014643225226711,-0.0249157048164268,-0.0675635287211396,-0.0254674180812789,0.0012580234261968,NaN,NaN,NaN,NaN,NaN,NaN
78.84,0.112181771059983,-0.000109380703056642,-0.0241615316370553,-0.122137222851874,-0.0229145000234453,0.00127105709739105,NaN,NaN,NaN,NaN,NaN,NaN
78.845,0.0893608318538231,0.00114156638237597,-0.0232950234043383,-0.175092707114533,-0.0204555671249054,0.00126128193030211,NaN,NaN,NaN,NaN,NaN,NaN
78.85,0.0675722864308235,0.00224772225586792,-0.0223284738746376,-0.224896413493948,-0.0181357409925002,0.00122696795091025,NaN,NaN,NaN,NaN,NaN,NaN
78.855,0.0476411101608459,0.00317826834104378,-0.0212732423244198,-0.270358255765434,-0.0159977138319331,0.00116706473615426,NaN,NaN,NaN,NaN,NaN,NaN
78.86,0.0303521445586142,0.00391378554908842,-0.0201398405857575,-0.309864991681647,-0.0140818018734761,0.00108140114384696,NaN,NaN,NaN,NaN,NaN,NaN
78.865,0.0160754775208449,0.00444675113170297,-0.0189381885744835,-0.342945059506594,-0.0124252378721863,0.000970907161101814,NaN,NaN,NaN,NaN,NaN,NaN
78.87,0.00501071674994621,0.00478108176390818,-0.0176780029114855,-0.369182644227988,-0.0110605825695087,0.000837834664206435,NaN,NaN,NaN,NaN,NaN,NaN
78.875,-0.00280853057038982,0.00493078659576249,-0.0163692692233599,-0.388152604872648,-0.0100132976203238,0.000685943106212949,NaN,NaN,NaN,NaN,NaN,NaN
78.88,-0.00766327425180546,0.00491788312946995,-0.0150227371789333,-0.399885622137871,-0.00929869372857974,0.000520608151325798,NaN,NaN,NaN,NaN,NaN,NaN
78.885,-0.00978539104878783,0.00476980389945208,-0.0136503696345528,-0.404254919501033,-0.00891862348191792,0.000348808040487384,NaN,NaN,NaN,NaN,NaN,NaN
78.89,-0.00958780284343428,0.004516573512313,-0.0122656749084769,-0.401370412537766,-0.00885840556232368,0.000178945604758915,NaN,NaN,NaN,NaN,NaN,NaN
78.895,-0.00763752619762139,0.00418805624580202,-0.0108838555879907,-0.391653798723742,-0.00908452656637152,2.04742654269659e-05,NaN,NaN,NaN,NaN,NaN,NaN
78.9,-0.0045403770986686,0.0038115601154167,-0.00952171942646289,-0.375698970344884,-0.00954365603996478,-0.000116685932582268,NaN,NaN,NaN,NaN,NaN,NaN
78.905,-0.000884023035757786,0.00341003442672534,-0.0081973181297269,-0.354027978523661,-0.0101634252728377,-0.000222932299027808,NaN,NaN,NaN,NaN,NaN,NaN
78.91,0.00273394520454959,0.00300101937756027,-0.00692930743930675,-0.327738245057993,-0.0108552658584067,-0.00028992561005934,NaN,NaN,NaN,NaN,NaN,NaN
78.915,0.00587656331402222,0.00259640764659467,-0.00573605492721814,-0.297762513179983,-0.0115193940117216,-0.000311631684707381,NaN,NaN,NaN,NaN,NaN,NaN
78.92,0.00822870481265593,0.00220297175868574,-0.00463455710788081,-0.265070535913334,-0.0120517829770304,-0.000285365903750161,NaN,NaN,NaN,NaN,NaN,NaN
78.925,0.00960921630910029,0.00182351161126082,-0.00363926061054661,-0.230636385129783,-0.012352715903978,-0.000212729238681155,NaN,NaN,NaN,NaN,NaN,NaN
78.93,0.00992252312956588,0.00145839774699329,-0.00276090843875921,-0.19514719894099,-0.0123362851131863,-0.000100316065138241,NaN,NaN,NaN,NaN,NaN,NaN
78.935,0.00923554854333785,0.0011072391934752,-0.00200554705243944,-0.159646097619842,-0.0119400293750866,3.99208621766186e-05,NaN,NaN,NaN,NaN,NaN,NaN
78.94,0.00776253777915605,0.000770397153488204,-0.00137382927149819,-0.125166550815771,-0.0111338026986656,0.00019074301234997,NaN,NaN,NaN,NaN,NaN,NaN
78.945,0.00575368911149656,0.000450099222461452,-0.000860729562331097,-0.0923910763403885,-0.00992696242395877,0.000330196713708853,NaN,NaN,NaN,NaN,NaN,NaN
78.95,0.00353299820675501,0.000150978839359201,-0.000455752128161384,-0.0619227215988917,-0.00837305735398643,0.000432695913195858,NaN,NaN,NaN,NaN,NaN,NaN
78.955,0.001347679916885,-0.00012003858027786,-0.00014366099799221,-0.034098164171512,-0.00657138325185939,0.000470576905590598,NaN,NaN,NaN,NaN,NaN,NaN
78.96,-0.000555996773452174,-0.00035447222898966,9.42997812636535e-05,-0.00919876277611297,-0.00466503715151609,0.000416028495625247,NaN,NaN,NaN,NaN,NaN,NaN
78.965,-0.00198377613470433,-0.000543509730543615,0.000278791321646066,0.0126135919024493,-0.0028354177526532,0.0002432492498334,NaN,NaN,NaN,NaN,NaN,NaN
78.97,-0.0028308556058355,-0.000679498698294491,0.000430523311700845,0.03119560204264,-0.00129345373774433,-6.93568332560656e-05,NaN,NaN,NaN,NaN,NaN,NaN
78.975,-0.00304541423630801,-0.000757437251936493,0.000568351014062502,0.0464308030151428,-0.000268158719880002,-0.000537157578903167,NaN,NaN,NaN,NaN,NaN,NaN
78.98,-0.0026433359727243,-0.000776189075895914,0.0007075412232294,0.0584766292481667,6.6248512671278e-06,-0.00116765464849515,NaN,NaN,NaN,NaN,NaN,NaN
78.985,-0.00172702802906294,-0.000739188772914875,0.000858415234259025,0.067504119106305,-0.000693749735662994,-0.00195941833816114,NaN,NaN,NaN,NaN,NaN,NaN
78.99,-0.00045539313857551,-0.0006544839856791,0.00102554080552514,0.0740383754519137,-0.00257105906690561,-0.0029017359471426,NaN,NaN,NaN,NaN,NaN,NaN
78.995,0.00105071965927636,-0.000534069769042449,0.00120758308571512,0.0788108889093955,-0.00579196750573217,-0.0039750477324957,NaN,NaN,NaN,NaN,NaN,NaN
79,0.00264847298274654,-0.000392590380404791,0.00139784349389934,0.0813944391536249,-0.0104781551224388,-0.00515216490768778,NaN,NaN,NaN,NaN,NaN,NaN
79.005,0.00416169415753736,-0.00024559374837781,0.00158542613950109,0.0818906879186249,-0.0166995190138636,-0.00640018063248599,NaN,NaN,NaN,NaN,NaN,NaN
79.01,0.00524729074480191,-0.000107604912614202,0.00175688638147654,0.0803020421300393,-0.0244708553588168,-0.00768290740105362,NaN,NaN,NaN,NaN,NaN,NaN
79.015,0.00568282223781559,9.67832101400351e-06,0.00189814876927056,0.0766455430728136,-0.0337521070823511,-0.00896361240393621,NaN,NaN,NaN,NaN,NaN,NaN
79.02,0.00554751789391579,9.87789034837826e-05,0.00199644316614933,0.0709569143999219,-0.0444519502102073,-0.0102077845324662,NaN,NaN,NaN,NaN,NaN,NaN
79.025,0.00485254303836537,0.000157199123918412,0.00204200539512305,0.0632083464040773,-0.0564342247809963,-0.0113856581782431,NaN,NaN,NaN,NaN,NaN,NaN
79.03,0.00365430636032529,0.000187423537248625,0.00202932343396173,0.0528220934229734,-0.0695265195920812,-0.0124742417038578,NaN,NaN,NaN,NaN,NaN,NaN
79.035,0.00204747466255582,0.000196169642271002,0.00195777670991488,0.0397256134410292,-0.0835301091626621,-0.0134586502959431,NaN,NaN,NaN,NaN,NaN,NaN
79.04,0.000153401498467584,0.000193012426900404,0.00183160341883118,0.024554540111258,-0.0982304190330677,-0.0143326179622283,NaN,NaN,NaN,NaN,NaN,NaN
79.045,-0.00189853610108967,0.000188608415448648,0.00165922440715717,0.00744020912037574,-0.113407253431629,-0.0150981527860088,NaN,NaN,NaN,NaN,NaN,NaN
79.05,-0.00405274940864483,0.00019280386704741,0.00145203664265544,-0.0104715177385076,-0.128844140065224,-0.0157643924706112,NaN,NaN,NaN,NaN,NaN,NaN
79.055,-0.00617563602754727,0.000212920684628639,0.00122285154096899,-0.0290763179370084,-0.144336307640896,-0.016345802605897,NaN,NaN,NaN,NaN,NaN,NaN
79.06,-0.00809199501141966,0.000252472145042258,0.000984184975498511,-0.0487826087156769,-0.159696988577067,-0.0168599280110525,NaN,NaN,NaN,NaN,NaN,NaN
79.065,-0.00969556250398461,0.000310477610348021,0.000746604275254563,-0.0691197856889435,-0.174761910094296,-0.0173249503986052,NaN,NaN,NaN,NaN,NaN,NaN
79.07,-0.0108905360776524,0.000381436919450905,0.000517306567678227,-0.089733673174418,-0.189391984016344,-0.0177573192143576,NaN,NaN,NaN,NaN,NaN,NaN
79.075,-0.0115643394115543,0.000455911058287723,0.000299050969874657,-0.109843765449943,-0.203474317993715,-0.0181697063163369,NaN,NaN,NaN,NaN,NaN,NaN
79.08,-0.0115880815664798,0.000521555886197581,8.95056861415428e-05,-0.128578319065933,-0.2169217441848,-0.01856949227746,NaN,NaN,NaN,NaN,NaN,NaN
79.085,-0.010810801984658,0.000564386516661448,-0.000118988271562612,-0.145139863458,-0.229671097777703,-0.0189579287046588,NaN,NaN,NaN,NaN,NaN,NaN
79.09,-0.00903087440673156,0.000570021525841139,-0.000339282408465462,-0.158711246437588,-0.241680484176563,-0.0193300453370985,NaN,NaN,NaN,NaN,NaN,NaN
79.095,-0.00605269552588152,0.000524671022930953,-0.000588989833599227,-0.168446840253987,-0.252925760240785,-0.0196752920114109,NaN,NaN,NaN,NaN,NaN,NaN
79.1,-0.00162781310629411,0.000415685804601183,-0.000889841429078119,-0.173526833043208,-0.263396432510772,-0.0199788327514553,NaN,NaN,NaN,NaN,NaN,NaN
79.105,0.00453244643807572,0.000231565228813071,-0.00126690268537349,-0.173071237496006,-0.273091153780475,-0.0202233497587538,NaN,NaN,NaN,NaN,NaN,NaN
79.11,0.0128076589604908,-3.85858993898545e-05,-0.00174770218992121,-0.165771805763967,-0.282012986183324,-0.0203911742537188,NaN,NaN,NaN,NaN,NaN,NaN
