time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
45,27.7882522390212,-5.41879841441901,-5.18770295110661,-52.1955248458903,-8.82253933132844,-3.09865274430912,-4.58976763856815,3.0700916945575,-5.06195002337978,-1.75966821710738,-2.81259077545452,-7.28587614596271
45.005,27.9185691723028,-5.50294110658133,-5.17857415549372,-50.5179679782615,-8.84846976656678,-3.21390165537307,-5.13249502086237,3.2887962657947,-4.77250909014034,-1.2790349434967,-2.77204704481992,-7.45475006537602
45.01,28.0249572156717,-5.5971213049232,-5.15757862513136,-48.7761423448853,-8.8680617668848,-3.34103542150603,-5.64234520366348,3.51648853960732,-4.45465542669637,-0.84603812384115,-2.72137466968774,-7.6504936370311
45.015,28.1068287776542,-5.70146573520966,-5.12679241919862,-46.972532580096,-8.87800996479049,-3.47148121870719,-6.11880804109457,3.75342133923283,-4.10935882567329,-0.462718416394711,-2.66003477746347,-7.87335515765892
45.02,28.1636196439942,-5.81612222512868,-5.08866246622187,-45.1102950487055,-8.87541392272411,-3.59629801753362,-6.56177744942841,3.99982099069434,-3.73788064244303,-0.130679630874954,-2.58742853860418,-8.1231729848806
45.025,28.1948241583937,-5.94122732864478,-5.04595073232768,-43.1933196869187,-8.85784084745556,-3.70640053447345,-6.97155156002008,4.25586248917062,-3.34174283575798,0.14892943707601,-2.50290529839736,-8.3993841267543
45.03,28.2000291077225,-6.07686979695243,-5.00166853167203,-41.2262758952606,-8.823377756957,-3.79279231913114,-7.3488251085638,4.52164150063219,-2.92269493357591,0.37542586940751,-2.40577369769729,-8.70103739762396
45.035,28.1789452001795,-6.22305156170451,-4.95900223047494,-39.2146403595797,-8.7706724449523,-3.84680257054091,-7.69467415457533,4.79714427692798,-2.48268034902778,0.548595739954186,-2.29531536660116,-9.02681012482361
45.04,28.131435094092,-6.37964804818889,-4.92123190620224,-37.164705136867,-8.69896277825008,-3.86032095764079,-8.01053340237375,5.08221671828169,-2.02380337011374,0.668689164795493,-2.17080076447661,-9.37502743689662
45.045,28.0575370432917,-6.5463697140933,-4.8916448158315,-35.0835648673637,-8.6080940445381,-3.82602453542398,-8.2981665622075,5.37653392091755,-1.54829799097811,0.736407120371644,-2.03150675003756,-9.74368326066235
