time,left,right
135,1,1
135.005,1,1
135.01,1,1
135.015,1,1
135.02,1,1
135.025,1,1
135.03,1,1
135.035,1,1
135.04,1,1
135.045,1,1
135.05,1,1
135.055,1,1
135.06,1,1
135.065,1,1
135.07,1,1
135.075,1,1
135.08,1,1
135.085,1,1
135.09,1,1
135.095,1,1
135.1,1,1
135.105,1,1
135.11,1,1
135.115,1,1
135.12,1,1
135.125,1,1
135.13,1,1
135.135,1,1
135.14,1,1
135.145,1,1
135.15,1,1
135.155,1,1
135.16,1,1
135.165,1,1
135.17,1,1
135.175,1,1
135.18,1,1
135.185,1,1
135.19,1,1
135.195,1,1
135.2,1,1
135.205,1,1
135.21,1,1
135.215,1,1
135.22,1,1
135.225,1,1
135.23,1,1
135.235,1,1
135.24,1,1
135.245,1,1
135.25,1,1
135.255,1,1
135.26,1,1
135.265,1,1
135.27,1,1
135.275,1,1
135.28,1,1
135.285,1,1
135.29,1,1
135.295,1,1
135.3,1,1
135.305,1,1
135.31,1,1
135.315,1,1
135.32,1,1
135.325,1,1
135.33,1,1
135.335,1,1
135.34,1,1
135.345,1,1
135.35,1,1
135.355,1,1
135.36,1,1
135.365,1,1
135.37,1,1
135.375,1,1
135.38,1,1
135.385,1,1
135.39,1,1
135.395,1,1
135.4,1,1
135.405,1,1
135.41,1,1
135.415,1,1
135.42,1,1
135.425,1,1
135.43,1,1
135.435,1,1
135.44,1,1
135.445,1,1
135.45,1,1
135.455,1,1
135.46,1,1
135.465,1,1
135.47,1,1
135.475,1,1
135.48,1,1
135.485,1,1
135.49,1,1
135.495,1,1
135.5,1,1
135.505,1,1
135.51,1,1
135.515,1,1
135.52,1,1
135.525,1,1
135.53,1,1
135.535,1,1
135.54,1,1
135.545,1,1
135.55,1,1
135.555,1,1
135.56,1,1
135.565,1,1
135.57,1,1
135.575,1,1
135.58,1,1
135.585,1,1
135.59,1,1
135.595,1,1
135.6,1,1
135.605,1,1
135.61,1,1
135.615,1,1
135.62,1,1
135.625,1,1
135.63,1,1
135.635,1,1
135.64,1,1
135.645,1,1
135.65,1,1
135.655,1,1
135.66,1,1
135.665,1,1
135.67,1,1
135.675,1,1
135.68,1,1
135.685,1,1
135.69,1,1
135.695,1,1
135.7,1,1
135.705,1,1
135.71,1,1
135.715,1,1
135.72,1,1
135.725,1,1
135.73,1,1
135.735,1,1
135.74,1,1
135.745,1,1
135.75,1,1
135.755,1,1
135.76,1,1
135.765,1,1
135.77,1,1
135.775,1,1
135.78,1,1
135.785,1,1
135.79,1,1
135.795,1,1
135.8,1,1
135.805,1,1
135.81,1,1
135.815,1,1
135.82,1,1
135.825,1,1
135.83,1,1
135.835,1,1
135.84,1,1
135.845,1,1
135.85,1,1
135.855,1,1
135.86,1,1
135.865,1,1
135.87,1,1
135.875,1,1
135.88,1,1
135.885,1,1
135.89,1,1
135.895,1,1
135.9,1,1
135.905,1,1
135.91,1,1
135.915,1,1
135.92,1,1
135.925,1,1
135.93,1,1
135.935,1,1
135.94,1,1
135.945,1,1
135.95,1,1
135.955,1,1
135.96,1,1
135.965,1,1
135.97,1,1
135.975,1,1
135.98,1,1
135.985,1,1
135.99,1,1
135.995,1,1
136,1,1
136.005,1,1
136.01,1,1
136.015,1,1
136.02,1,1
136.025,1,1
136.03,1,1
136.035,1,1
136.04,1,1
136.045,1,1
136.05,1,1
136.055,1,1
136.06,1,1
136.065,1,1
136.07,1,1
136.075,1,1
136.08,1,1
136.085,1,1
136.09,1,1
136.095,1,1
136.1,1,1
136.105,1,1
136.11,1,1
136.115,1,1
136.12,1,1
136.125,1,1
136.13,1,1
136.135,1,1
136.14,1,1
136.145,1,1
136.15,1,1
136.155,1,1
136.16,1,1
136.165,1,1
136.17,1,1
136.175,1,1
136.18,1,1
136.185,1,1
136.19,1,1
136.195,1,1
136.2,1,1
136.205,1,1
136.21,1,1
136.215,1,1
136.22,1,1
136.225,1,1
136.23,1,1
136.235,1,1
136.24,1,1
136.245,1,1
136.25,1,1
136.255,1,1
136.26,1,1
136.265,1,1
136.27,1,1
136.275,1,1
136.28,1,1
136.285,1,1
136.29,1,1
136.295,1,1
136.3,1,1
136.305,1,1
136.31,1,1
136.315,1,1
136.32,1,1
136.325,1,1
136.33,1,1
136.335,1,1
136.34,1,1
136.345,1,1
136.35,1,1
136.355,1,1
136.36,1,1
136.365,1,1
136.37,1,1
136.375,1,1
136.38,1,1
136.385,1,1
136.39,1,1
136.395,1,1
136.4,1,1
136.405,1,1
136.41,1,1
136.415,1,1
136.42,1,1
136.425,1,1
136.43,1,1
136.435,1,1
136.44,1,1
136.445,1,1
136.45,1,1
136.455,1,1
136.46,1,1
136.465,1,1
136.47,1,1
136.475,1,1
136.48,1,1
136.485,1,1
136.49,1,1
136.495,1,1
136.5,1,1
136.505,1,1
136.51,1,1
136.515,1,1
136.52,1,1
136.525,1,1
136.53,1,1
136.535,1,1
136.54,1,1
136.545,1,1
136.55,1,1
136.555,1,1
136.56,1,1
136.565,1,1
136.57,1,1
136.575,1,1
136.58,1,1
136.585,1,1
136.59,1,1
136.595,1,1
136.6,1,1
136.605,1,1
136.61,1,1
136.615,1,1
136.62,1,1
136.625,1,1
136.63,1,1
136.635,1,1
136.64,1,1
136.645,1,1
136.65,1,1
136.655,1,1
136.66,1,1
136.665,1,1
136.67,1,1
136.675,1,1
136.68,1,1
136.685,1,1
136.69,1,1
136.695,1,1
136.7,1,1
136.705,1,1
136.71,1,1
136.715,1,1
136.72,1,1
136.725,1,1
136.73,1,1
136.735,1,1
136.74,1,1
136.745,1,1
136.75,1,1
136.755,1,1
136.76,1,1
136.765,1,1
136.77,1,1
136.775,1,1
136.78,1,1
136.785,1,1
136.79,1,1
136.795,1,1
136.8,1,1
136.805,1,1
136.81,1,1
136.815,1,1
136.82,1,1
136.825,1,1
136.83,1,1
136.835,1,1
136.84,1,1
136.845,1,1
136.85,1,1
136.855,1,1
136.86,1,1
136.865,1,1
136.87,1,1
136.875,1,1
136.88,1,1
136.885,1,1
136.89,1,1
136.895,1,1
136.9,1,1
136.905,1,1
136.91,1,1
136.915,1,1
136.92,1,1
136.925,1,1
136.93,1,1
136.935,1,1
136.94,1,1
136.945,1,1
136.95,1,1
136.955,1,1
136.96,1,1
136.965,1,1
136.97,1,1
136.975,1,1
136.98,1,1
136.985,1,1
136.99,1,1
136.995,1,1
137,1,1
137.005,1,1
137.01,1,1
137.015,1,1
137.02,1,1
137.025,1,1
137.03,1,1
137.035,1,1
137.04,1,1
137.045,1,1
137.05,1,1
137.055,1,1
137.06,1,1
137.065,1,1
137.07,1,1
137.075,1,1
137.08,1,1
137.085,1,1
137.09,1,1
137.095,1,1
137.1,1,1
137.105,1,1
137.11,1,1
137.115,1,1
137.12,1,1
137.125,1,1
137.13,1,1
137.135,1,1
137.14,1,1
137.145,1,1
137.15,1,1
137.155,1,1
137.16,1,1
137.165,1,1
137.17,1,1
137.175,1,1
137.18,1,1
137.185,1,1
137.19,1,1
137.195,1,1
137.2,1,1
137.205,1,1
137.21,1,1
137.215,1,1
137.22,1,1
137.225,1,1
137.23,1,1
137.235,1,1
137.24,1,1
137.245,1,1
137.25,1,1
137.255,1,1
137.26,1,1
137.265,1,1
137.27,1,1
137.275,1,1
137.28,1,1
137.285,1,1
137.29,1,1
137.295,1,1
137.3,1,1
137.305,1,1
137.31,1,1
137.315,1,1
137.32,1,1
137.325,1,1
137.33,1,1
137.335,1,1
137.34,1,1
137.345,1,1
137.35,1,1
137.355,1,1
137.36,1,1
137.365,1,1
137.37,1,1
137.375,1,1
137.38,1,1
137.385,1,1
137.39,1,1
137.395,1,1
137.4,1,1
137.405,1,1
137.41,1,1
137.415,1,1
137.42,1,1
137.425,1,1
137.43,1,1
137.435,1,1
137.44,1,1
137.445,1,1
137.45,1,1
137.455,1,1
137.46,1,1
137.465,1,1
137.47,1,1
137.475,1,1
137.48,1,1
137.485,1,1
137.49,1,1
137.495,1,1
137.5,1,1
137.505,1,1
137.51,1,1
137.515,1,1
137.52,1,1
137.525,1,1
137.53,1,1
137.535,1,1
137.54,1,1
137.545,1,1
137.55,1,1
137.555,1,1
137.56,1,1
137.565,1,1
137.57,1,1
137.575,1,1
137.58,1,1
137.585,1,1
137.59,1,1
137.595,1,1
137.6,1,1
137.605,1,1
137.61,1,1
137.615,1,1
137.62,1,1
137.625,1,1
137.63,1,1
137.635,1,1
137.64,1,1
137.645,1,1
137.65,1,1
137.655,1,1
137.66,1,1
137.665,1,1
137.67,1,1
137.675,1,1
137.68,1,1
137.685,1,1
137.69,1,1
137.695,1,1
137.7,1,1
137.705,1,1
137.71,1,1
137.715,1,1
137.72,1,1
137.725,1,1
137.73,1,1
137.735,1,1
137.74,1,1
137.745,1,1
137.75,1,1
137.755,1,1
137.76,1,1
137.765,1,1
137.77,1,1
137.775,1,1
137.78,1,1
137.785,1,1
137.79,1,1
137.795,1,1
137.8,1,1
137.805,1,1
137.81,1,1
137.815,1,1
137.82,1,1
137.825,1,1
137.83,1,1
137.835,1,1
137.84,1,1
137.845,1,1
137.85,1,1
137.855,1,1
137.86,1,1
137.865,1,1
137.87,1,1
137.875,1,1
137.88,1,1
137.885,1,1
137.89,1,1
137.895,1,1
137.9,1,1
137.905,1,1
137.91,1,1
137.915,1,1
137.92,1,1
137.925,1,1
137.93,1,1
137.935,1,1
137.94,1,1
137.945,1,1
137.95,1,1
137.955,1,1
137.96,1,1
137.965,1,1
137.97,1,1
137.975,1,1
137.98,1,1
137.985,1,1
137.99,1,1
137.995,1,1
138,1,1
138.005,1,1
138.01,1,1
138.015,1,1
138.02,1,1
138.025,1,1
138.03,1,1
138.035,1,1
138.04,1,1
138.045,1,1
138.05,1,1
138.055,1,1
138.06,1,1
138.065,1,1
138.07,1,1
138.075,1,1
138.08,1,1
138.085,1,1
138.09,1,1
138.095,1,1
138.1,1,1
138.105,1,1
138.11,1,1
138.115,1,1
138.12,1,1
138.125,1,1
138.13,1,1
138.135,1,1
138.14,1,1
138.145,1,1
138.15,1,1
138.155,1,1
138.16,1,1
138.165,1,1
138.17,1,1
138.175,1,1
138.18,1,1
138.185,1,1
138.19,1,1
138.195,1,1
138.2,1,1
138.205,1,1
138.21,1,1
138.215,1,1
138.22,1,1
138.225,1,1
138.23,1,1
138.235,1,1
138.24,1,1
138.245,1,1
138.25,1,1
138.255,1,1
138.26,1,1
138.265,1,1
138.27,1,1
138.275,1,1
138.28,1,1
138.285,1,1
138.29,1,1
138.295,1,1
138.3,1,1
138.305,1,1
138.31,1,1
138.315,1,1
138.32,1,1
138.325,1,1
138.33,1,1
138.335,1,1
138.34,1,1
138.345,1,1
138.35,1,1
138.355,1,1
138.36,1,1
138.365,1,1
138.37,1,1
138.375,1,1
138.38,1,1
138.385,1,1
138.39,1,1
138.395,1,1
138.4,1,1
138.405,1,1
138.41,1,1
138.415,1,1
138.42,1,1
138.425,1,1
138.43,1,1
138.435,1,1
138.44,1,1
138.445,1,1
138.45,1,1
138.455,1,1
138.46,1,1
138.465,1,1
138.47,1,1
138.475,1,1
138.48,1,1
138.485,1,1
138.49,1,1
138.495,1,1
138.5,1,1
138.505,1,1
