time,left,right
170,1,1
170.005,1,1
170.01,1,1
170.015,1,1
170.02,1,1
170.025,1,1
170.03,1,1
170.035,1,1
170.04,1,1
170.045,1,1
170.05,1,1
170.055,1,1
170.06,1,1
170.065,1,1
170.07,1,1
170.075,1,1
170.08,1,1
170.085,1,1
170.09,1,1
170.095,1,1
170.1,1,1
170.105,1,1
170.11,1,1
170.115,1,1
170.12,1,1
170.125,1,1
170.13,1,1
170.135,1,1
170.14,1,1
170.145,1,1
170.15,1,1
170.155,1,1
170.16,1,1
170.165,1,1
170.17,1,1
170.175,1,1
170.18,1,1
170.185,1,1
170.19,1,1
170.195,1,1
170.2,1,1
170.205,1,1
170.21,1,1
170.215,1,1
170.22,1,1
170.225,1,1
170.23,1,1
170.235,1,1
170.24,1,1
170.245,1,1
170.25,1,1
170.255,1,1
170.26,1,1
170.265,1,1
170.27,1,1
170.275,1,1
170.28,1,1
170.285,1,1
170.29,1,1
170.295,1,1
170.3,1,1
170.305,1,1
170.31,1,1
170.315,1,1
170.32,1,1
170.325,1,1
170.33,1,1
170.335,1,1
170.34,1,1
170.345,1,1
170.35,1,1
170.355,1,1
170.36,1,1
170.365,1,1
170.37,1,1
170.375,1,1
170.38,1,1
170.385,1,1
170.39,1,1
170.395,1,1
170.4,1,1
170.405,1,1
170.41,1,1
170.415,1,1
170.42,1,1
170.425,1,1
170.43,1,1
170.435,1,1
170.44,1,1
170.445,1,1
170.45,1,1
170.455,1,1
170.46,1,1
170.465,1,1
170.47,1,1
170.475,1,1
170.48,1,1
170.485,1,1
170.49,1,1
170.495,1,1
170.5,1,1
170.505,1,1
170.51,1,1
170.515,1,1
170.52,1,1
170.525,1,1
170.53,1,1
170.535,1,1
170.54,1,1
170.545,1,1
170.55,1,1
170.555,1,1
170.56,1,1
170.565,1,1
170.57,1,1
170.575,1,1
170.58,1,1
170.585,1,1
170.59,1,1
170.595,1,1
170.6,1,1
170.605,1,1
170.61,1,1
170.615,1,1
170.62,1,1
170.625,1,1
170.63,1,1
170.635,1,1
170.64,1,1
170.645,1,1
170.65,1,1
170.655,1,1
170.66,1,1
170.665,1,1
170.67,1,1
170.675,1,1
170.68,1,1
170.685,1,1
170.69,1,1
170.695,1,1
170.7,1,1
170.705,1,1
170.71,1,1
170.715,1,1
170.72,1,1
170.725,1,1
170.73,1,1
170.735,1,1
170.74,1,1
170.745,1,1
170.75,1,1
170.755,1,1
170.76,1,1
170.765,1,1
170.77,1,1
170.775,1,1
170.78,1,1
170.785,1,1
170.79,1,1
170.795,1,1
170.8,1,1
170.805,1,1
170.81,1,1
170.815,1,1
170.82,1,1
170.825,1,1
170.83,1,1
170.835,1,1
170.84,1,1
170.845,1,1
170.85,1,1
170.855,1,1
170.86,1,1
170.865,1,1
170.87,1,1
170.875,1,1
170.88,1,1
170.885,1,1
170.89,1,1
170.895,1,1
170.9,1,1
170.905,1,1
170.91,1,1
170.915,1,1
170.92,1,1
170.925,1,1
170.93,1,1
170.935,1,1
170.94,1,1
170.945,1,1
170.95,1,1
170.955,1,1
170.96,1,1
170.965,1,1
170.97,1,1
170.975,1,1
170.98,1,1
170.985,1,1
170.99,1,1
170.995,1,1
171,1,1
171.005,1,1
171.01,1,1
171.015,1,1
171.02,1,1
171.025,1,1
171.03,1,1
171.035,1,1
171.04,1,1
171.045,1,1
171.05,1,1
171.055,1,1
171.06,1,1
171.065,1,1
171.07,1,1
171.075,1,1
171.08,1,1
171.085,1,1
171.09,1,1
171.095,1,1
171.1,1,1
171.105,1,1
171.11,1,1
171.115,1,1
171.12,1,1
171.125,1,1
171.13,1,1
171.135,1,1
171.14,1,1
171.145,1,1
171.15,1,1
171.155,1,1
171.16,1,1
171.165,1,1
171.17,1,1
171.175,1,1
171.18,1,1
171.185,1,1
171.19,1,1
171.195,1,1
171.2,1,1
171.205,1,1
171.21,1,1
171.215,1,1
171.22,1,1
171.225,1,1
171.23,1,1
171.235,1,1
171.24,1,1
171.245,1,1
171.25,1,1
171.255,1,1
171.26,1,1
171.265,1,1
171.27,1,1
171.275,1,1
171.28,1,1
171.285,1,1
171.29,1,1
171.295,1,1
171.3,1,1
