time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
170,2.18511938,-0.17039283,3.50307394,-19.74209693,-16.61169678,-1.75099303,39.9840564,-0.08556193,-3.93985743,-33.10005083,-6.91741848,-11.82110072
170.005,2.08591991,-0.0293946,3.58969135,-19.84372975,-16.49175756,-1.64167028,39.91144644,-0.18155182,-4.2243772,-31.6770124,-6.93939506,-11.80928794
170.01,1.8814629,-0.29662629,3.96048663,-19.94742831,-15.82514978,-0.75955613,39.65544869,-0.07891291,-4.87415533,-30.20061644,-7.26840323,-11.87894854
170.015,1.62785298,-0.23259908,4.02681227,-19.91983902,-15.55788083,-0.51385808,39.56363805,-0.1318178,-5.14624692,-28.9581409,-7.30259839,-11.82094824
170.02,1.40492424,-0.18511762,4.06329323,-19.93393573,-15.35165311,-0.39018125,39.5691304,-0.17437963,-5.47199208,-27.87020566,-7.31286975,-11.73891562
170.025,1.01504057,-0.41660134,4.14299764,-19.95226287,-14.49554211,0.37744177,39.39309413,-0.07612171,-6.04529222,-26.82573756,-7.32160552,-11.32911898
170.03,0.70057202,-0.37214688,4.16372832,-19.88623582,-14.27428126,0.44745176,39.45154665,-0.10689339,-6.3000061,-25.96466863,-7.29762511,-11.22337161
170.035,0.25013149,-0.48616586,4.14693182,-19.85249082,-13.4213786,0.84357385,39.40385708,-0.04310451,-6.66385447,-25.21066008,-7.16717307,-10.68823507
170.04,-0.09210434,-0.45874849,4.12173454,-19.77197312,-13.20841677,0.86977647,39.53249083,-0.08918385,-6.8775382,-24.57298976,-7.1282361,-10.59100758
170.045,-0.69587685,-0.56943785,4.04725215,-19.69861393,-12.21451181,1.33612696,39.44568373,-0.03001431,-7.14192869,-24.03918784,-6.75475437,-9.77557819
170.05,-1.12123078,-0.5438063,4.03638467,-19.59416192,-11.71059284,1.24128314,39.60372632,-0.04372824,-7.21924721,-23.60798017,-6.71192275,-9.60309402
