time,fp_l_force_x,fp_l_force_y,fp_l_force_z,fp_l_cop_x,fp_l_cop_y,fp_l_cop_z,fp_r_force_x,fp_r_force_y,fp_r_force_z,fp_r_cop_x,fp_r_cop_y,fp_r_cop_z
170,0,0,0,0,0,0,0,0,0,0,0,0
170.005,0,0,0,0,0,0,0,0,0,0,0,0
170.01,0,0,0,0,0,0,0,0,0,0,0,0
170.015,0,0,0,0,0,0,0,0,0,0,0,0
170.02,20.44243,91.33813,57.11283,0.5176445,0,-1.085801,0,0,0,0,0,0
170.025,24.26705,165.9369,77.06727,0.5125545,0,-1.10454,0,0,0,0,0,0
170.03,27.46569,255.0294,86.28973,0.5090149,0,-1.111792,0,0,0,0,0,0
170.035,31.70929,353.1511,80.54812,0.5063631,0,-1.112069,0,0,0,0,0,0
170.04,39.11746,455.2076,59.31234,0.5044824,0,-1.107083,0,0,0,0,0,0
170.045,51.0669,557.5919,25.97391,0.503346,0,-1.098139,0,0,0,0,0,0
170.05,67.13861,658.3832,-13.46891,0.5028725,0,-1.086706,0,0,0,0,0,0
170.055,84.93323,756.8335,-52.62081,0.5028887,0,-1.074362,0,0,0,0,0,0
170.06,100.9989,852.6627,-86.74892,0.5031691,0,-1.062492,0,0,0,0,0,0
170.065,112.364,945.5377,-113.8542,0.5035184,0,-1.052001,0,0,0,0,0,0
170.07,117.7431,1034.79,-134.5304,0.5038443,0,-1.043219,0,0,0,0,0,0
170.075,117.7396,1119.283,-150.9864,0.5041715,0,-1.036009,0,0,0,0,0,0
170.08,114.063,1197.411,-165.8656,0.5045838,0,-1.029968,0,0,0,0,0,0
170.085,108.3831,1267.275,-181.3506,0.5051413,0,-1.024612,0,0,0,0,0,0
170.09,101.5573,1327.009,-198.7272,0.5058321,0,-1.019487,0,0,0,0,0,0
170.095,93.60893,1375.125,-218.3341,0.5065903,0,-1.014234,0,0,0,0,0,0
170.1,84.30883,1410.769,-239.7465,0.5073505,0,-1.008627,0,0,0,0,0,0
170.105,73.83941,1433.836,-262.0656,0.5080874,0,-1.002585,0,0,0,0,0,0
170.11,63.04014,1444.902,-284.2146,0.508808,0,-0.9961702,0,0,0,0,0,0
170.115,53.09363,1444.995,-305.1552,0.5095141,0,-0.9895509,0,0,0,0,0,0
170.12,44.95255,1435.244,-323.9842,0.5101742,0,-0.9829544,0,0,0,0,0,0
170.125,38.97909,1416.547,-339.9518,0.5107336,0,-0.9766039,0,0,0,0,0,0
170.13,35.04656,1389.428,-352.4743,0.5111499,0,-0.970653,0,0,0,0,0,0
170.135,32.9394,1354.114,-361.1656,0.5114198,0,-0.9651378,0,0,0,0,0,0
170.14,32.6425,1310.756,-365.8496,0.5115748,0,-0.9599728,0,0,0,0,0,0
170.145,34.25341,1259.648,-366.5132,0.5116521,0,-0.9549974,0,0,0,0,0,0
170.15,37.64304,1201.348,-363.2231,0.5116671,0,-0.9500519,0,0,0,0,0,0
170.155,42.24167,1136.692,-356.0835,0.5116095,0,-0.9450412,0,0,0,0,0,0
170.16,47.19226,1066.772,-345.2876,0.5114587,0,-0.9399547,0,0,0,0,0,0
170.165,51.74248,992.8729,-331.2126,0.5112047,0,-0.9348414,0,0,0,0,0,0
170.17,55.51597,916.3711,-314.4453,0.5108621,0,-0.9297708,0,0,0,0,0,0
170.175,58.42606,838.5875,-295.6771,0.5104702,0,-0.9248188,0,0,0,0,0,0
170.18,60.3357,760.6605,-275.5356,0.5100761,0,-0.9200956,0,0,0,0,0,0
170.185,60.80278,683.4779,-254.4775,0.5097059,0,-0.9157847,0,0,0,0,0,0
170.19,59.18029,607.6762,-232.808,0.5093417,0,-0.9121366,0,0,0,0,0,0
170.195,55.04223,533.6967,-210.7748,0.5089222,0,-0.9093886,0,0,0,0,0,0
170.2,48.62397,461.8882,-188.6277,0.5083714,0,-0.9076514,0,0,0,0,0,0
170.205,40.92162,392.6343,-166.5944,0.5076423,0,-0.9068251,0,0,0,0,0,0
170.21,33.32862,326.4699,-144.8217,0.506743,0,-0.9065889,-25.92375,90.56753,-28.49224,0.7496197,0,-1.414603
170.215,27.0233,264.1518,-123.3692,0.5057173,0,-0.9064418,-37.58576,174.4549,-33.26368,0.7287079,0,-1.427492
170.22,22.49693,206.6549,-102.2959,0.5045705,0,-0.9057486,-43.26297,278.9457,-31.84638,0.7190079,0,-1.436723
170.225,19.49478,155.075,-81.79052,0.5031695,0,-0.9037767,-40.55601,394.3756,-22.25824,0.7136064,0,-1.444557
170.23,17.33887,110.4454,-62.26135,0.501174,0,-0.8997535,-29.34036,507.9536,-3.937843,0.7103538,0,-1.451725
170.235,15.36188,73.51825,-44.33063,0.4980558,0,-0.8930226,-12.37952,606.9324,22.00717,0.7083398,0,-1.458502
170.24,0,0,0,0,0,0,5.117743,682.0283,53.01481,0.7070887,0,-1.46493
170.245,0,0,0,0,0,0,17.0194,729.8787,85.68217,0.7063279,0,-1.470848
170.25,0,0,0,0,0,0,18.36111,753.6268,116.5828,0.7059184,0,-1.475904
170.255,0,0,0,0,0,0,7.129412,761.471,143.0323,0.7058253,0,-1.479617
170.26,0,0,0,0,0,0,-15.07574,763.8745,163.5839,0.7060774,0,-1.481568
170.265,0,0,0,0,0,0,-43.79248,770.5843,178.1619,0.7066946,0,-1.481651
170.27,0,0,0,0,0,0,-73.45691,788.4445,187.8661,0.7076058,0,-1.480234
170.275,0,0,0,0,0,0,-99.29285,820.4362,194.5466,0.7086206,0,-1.478055
170.28,0,0,0,0,0,0,-118.4831,865.8666,200.2747,0.7094956,0,-1.475913
170.285,0,0,0,0,0,0,-130.2767,921.3386,206.8356,0.7100476,0,-1.474387
170.29,0,0,0,0,0,0,-135.3112,982.0693,215.3608,0.7102275,0,-1.473756
170.295,0,0,0,0,0,0,-134.7649,1043.177,226.181,0.7101124,0,-1.474041
170.3,0,0,0,0,0,0,-129.8502,1100.641,238.903,0.7098412,0,-1.475088
170.305,0,0,0,0,0,0,-121.7761,1151.783,252.6354,0.7095344,0,-1.476622
170.31,0,0,0,0,0,0,-111.9485,1195.279,266.2544,0.7092359,0,-1.478283
170.315,0,0,0,0,0,0,-102.0525,1230.899,278.6216,0.7088977,0,-1.479677
170.32,0,0,0,0,0,0,-93.816,1259.178,288.7278,0.7084106,0,-1.480437
170.325,0,0,0,0,0,0,-88.52965,1281.176,295.7927,0.7076618,0,-1.480285
170.33,0,0,0,0,0,0,-86.60384,1298.344,299.3588,0.7065934,0,-1.479078
170.335,0,0,0,0,0,0,-87.43434,1312.433,299.3754,0.7052381,0,-1.47682
170.34,0,0,0,0,0,0,-89.66254,1325.35,296.238,0.7037202,0,-1.473639
170.345,0,0,0,0,0,0,-91.69772,1338.918,290.7439,0.7022205,0,-1.469749
170.35,0,0,0,0,0,0,-92.25744,1354.553,283.9539,0.7009145,0,-1.465394
170.355,0,0,0,0,0,0,-90.72149,1373.003,276.9826,0.6999108,0,-1.46081
170.36,0,0,0,0,0,0,-87.22068,1394.25,270.7665,0.6992181,0,-1.456188
170.365,0,0,0,0,0,0,-82.49373,1417.635,265.8656,0.6987593,0,-1.451644
