time,left,right
91.62,0,1
91.625,0,1
91.63,0,1
91.635,0,1
91.64,0,1
91.645,0,1
91.65,0,1
91.655,0,1
91.66,0,1
91.665,0,1
91.67,0,1
91.675,0,1
91.68,0,1
91.685,0,1
91.69,0,1
91.695,0,1
91.7,0,1
91.705,0,1
91.71,0,1
91.715,0,1
91.72,0,1
91.725,0,1
91.73,0,1
91.735,0,1
91.74,0,1
91.745,0,1
91.75,0,1
91.755,0,1
91.76,0,1
91.765,0,1
91.77,0,1
91.775,0,1
91.78,0,1
91.785,0,1
91.79,0,1
91.795,0,1
91.8,0,1
91.805,0,1
91.81,0,1
91.815,0,1
91.82,0,1
91.825,0,1
91.83,0,1
91.835,0,1
91.84,0,1
91.845,0,1
91.85,0,1
91.855,0,1
91.86,0,1
91.865,0,1
91.87,0,1
91.875,0,1
91.88,0,1
91.885,0,1
91.89,0,1
91.895,0,1
91.9,0,1
91.905,0,1
91.91,0,1
91.915,0,1
91.92,0,1
91.925,0,1
91.93,0,1
91.935,0,1
91.94,0,1
91.945,0,1
91.95,0,1
91.955,1,1
91.96,1,1
91.965,1,1
91.97,1,1
91.975,1,1
91.98,1,1
91.985,1,1
91.99,1,1
91.995,1,1
92,1,1
92.005,1,1
92.01,1,1
92.015,1,1
92.02,1,1
92.025,1,1
92.03,1,1
92.035,1,1
92.04,1,1
92.045,1,1
92.05,1,1
92.055,1,1
92.06,1,1
92.065,1,1
92.07,1,1
92.075,1,1
92.08,1,1
92.085,1,1
92.09,1,1
92.095,1,1
92.1,1,1
92.105,1,1
92.11,1,1
92.115,1,1
92.12,1,1
92.125,1,1
92.13,1,1
92.135,1,1
92.14,1,1
92.145,1,1
92.15,1,1
92.155,1,1
92.16,1,1
92.165,1,1
92.17,1,1
92.175,1,1
92.18,1,1
92.185,1,1
92.19,1,1
92.195,1,1
92.2,1,1
92.205,1,1
92.21,1,1
92.215,1,1
92.22,1,1
92.225,1,1
92.23,1,1
92.235,1,1
92.24,1,1
92.245,1,1
92.25,1,1
92.255,1,1
92.26,1,1
92.265,1,1
92.27,1,1
92.275,1,1
92.28,1,1
92.285,1,1
92.29,1,1
92.295,1,1
92.3,1,1
92.305,1,1
92.31,1,1
92.315,1,1
92.32,1,1
92.325,1,1
92.33,1,1
92.335,1,1
92.34,1,1
92.345,1,1
92.35,1,1
92.355,1,1
92.36,1,1
92.365,1,1
92.37,1,1
92.375,1,1
92.38,1,1
92.385,1,1
92.39,1,1
92.395,1,1
92.4,1,1
92.405,1,1
92.41,1,1
92.415,1,1
92.42,1,1
92.425,1,1
92.43,1,1
92.435,1,1
92.44,1,1
92.445,1,1
92.45,1,1
92.455,1,1
92.46,1,1
92.465,1,1
92.47,1,1
92.475,1,1
92.48,1,1
92.485,1,1
92.49,1,1
92.495,1,1
92.5,1,1
92.505,1,1
92.51,1,1
92.515,1,1
92.52,1,1
92.525,1,1
92.53,1,1
92.535,1,1
92.54,1,1
92.545,1,1
92.55,1,1
92.555,1,1
92.56,1,1
92.565,1,1
92.57,1,1
92.575,1,1
92.58,1,1
92.585,1,1
92.59,1,1
92.595,1,1
92.6,1,1
92.605,1,1
92.61,1,1
92.615,1,1
92.62,1,1
92.625,1,1
92.63,1,1
92.635,1,1
92.64,1,1
92.645,1,1
92.65,1,1
92.655,1,1
92.66,1,1
92.665,1,1
92.67,1,1
92.675,1,1
92.68,1,1
92.685,1,1
92.69,1,1
92.695,1,1
92.7,1,1
92.705,1,1
92.71,1,1
92.715,1,1
92.72,1,1
92.725,1,1
92.73,1,1
92.735,1,1
92.74,1,1
92.745,1,1
92.75,1,1
92.755,1,1
92.76,1,1
92.765,1,1
92.77,1,1
92.775,1,1
92.78,1,1
92.785,1,1
92.79,1,1
92.795,1,1
92.8,1,1
92.805,1,1
92.81,1,1
92.815,1,1
92.82,1,1
92.825,1,1
92.83,1,1
92.835,1,1
92.84,1,1
92.845,1,1
92.85,1,1
92.855,1,1
92.86,1,1
92.865,1,1
92.87,1,1
92.875,1,1
92.88,1,1
92.885,1,1
92.89,1,1
92.895,1,1
92.9,1,1
92.905,1,1
92.91,1,1
92.915,1,1
92.92,1,1
92.925,1,1
92.93,1,1
92.935,1,1
92.94,1,1
92.945,1,1
92.95,1,1
92.955,1,1
92.96,1,1
92.965,1,1
92.97,1,1
92.975,1,1
92.98,1,1
92.985,1,1
92.99,1,1
92.995,1,1
93,1,1
93.005,1,1
93.01,1,1
93.015,1,1
93.02,1,1
93.025,1,1
93.03,1,1
93.035,1,1
93.04,1,1
93.045,1,1
93.05,1,1
93.055,1,1
93.06,1,1
93.065,1,1
93.07,1,1
93.075,1,1
93.08,1,1
93.085,1,1
93.09,1,1
93.095,1,1
93.1,1,1
93.105,1,1
93.11,1,1
93.115,1,1
93.12,1,1
93.125,1,1
93.13,1,1
93.135,1,1
93.14,1,1
93.145,1,1
93.15,1,1
93.155,1,1
93.16,1,1
93.165,1,1
93.17,1,1
93.175,1,1
93.18,1,1
93.185,1,1
93.19,1,1
93.195,1,1
93.2,1,1
93.205,1,1
93.21,1,1
93.215,1,1
93.22,1,1
93.225,1,1
93.23,1,1
93.235,1,1
93.24,1,1
93.245,1,1
93.25,1,1
93.255,1,1
93.26,1,1
93.265,1,1
93.27,1,1
93.275,1,1
93.28,1,1
93.285,1,1
93.29,1,1
93.295,1,1
93.3,1,1
93.305,1,1
93.31,1,1
93.315,1,1
93.32,1,1
93.325,1,1
93.33,1,1
93.335,1,1
93.34,1,1
93.345,1,1
93.35,1,1
93.355,1,1
93.36,1,1
93.365,1,1
93.37,1,1
93.375,1,1
93.38,1,1
93.385,1,1
93.39,1,1
93.395,1,1
93.4,1,1
93.405,1,1
93.41,1,1
93.415,1,1
93.42,1,1
93.425,1,1
93.43,1,1
93.435,1,1
93.44,1,1
93.445,1,1
93.45,1,1
93.455,1,1
93.46,1,1
93.465,1,1
93.47,1,1
93.475,1,1
93.48,1,1
93.485,1,1
93.49,1,1
93.495,1,1
93.5,1,1
93.505,1,1
93.51,1,1
93.515,1,1
93.52,1,1
93.525,1,1
93.53,1,1
93.535,1,1
93.54,1,1
93.545,1,1
93.55,1,1
93.555,1,1
93.56,1,1
93.565,1,1
93.57,1,1
93.575,1,1
93.58,1,1
93.585,1,1
93.59,1,1
93.595,1,1
93.6,1,1
93.605,1,1
93.61,1,1
93.615,1,1
93.62,1,1
93.625,1,1
93.63,1,1
93.635,1,1
93.64,1,1
93.645,1,1
93.65,1,1
93.655,1,1
93.66,1,1
93.665,1,1
93.67,1,1
93.675,1,1
93.68,1,1
93.685,1,1
93.69,1,1
93.695,1,1
93.7,1,1
93.705,1,1
93.71,1,1
93.715,1,1
93.72,1,1
93.725,1,1
93.73,1,1
93.735,1,1
93.74,1,1
93.745,1,1
93.75,1,1
93.755,1,1
93.76,1,1
93.765,1,1
93.77,1,1
93.775,1,1
93.78,1,1
93.785,1,1
93.79,1,1
93.795,1,1
93.8,1,1
93.805,1,1
93.81,1,1
93.815,1,1
93.82,1,1
93.825,1,1
93.83,1,1
93.835,1,1
