time,left,right
99.495,1,0
99.5,1,0
99.505,1,0
99.51,1,0
99.515,1,0
99.52,1,0
99.525,1,0
99.53,1,0
99.535,1,0
99.54,1,0
99.545,1,0
99.55,1,0
99.555,1,0
99.56,1,0
99.565,1,0
99.57,1,0
99.575,1,0
99.58,1,0
99.585,1,0
99.59,1,0
99.595,1,0
99.6,1,0
99.605,1,0
99.61,1,0
99.615,1,0
99.62,1,0
99.625,1,0
99.63,1,0
99.635,1,0
99.64,1,0
99.645,1,0
99.65,1,0
99.655,1,0
99.66,1,0
99.665,1,0
99.67,1,0
99.675,1,0
99.68,1,0
99.685,1,0
99.69,1,1
99.695,1,1
99.7,1,1
99.705,1,1
99.71,1,1
99.715,1,1
99.72,1,1
99.725,1,1
99.73,1,1
99.735,1,1
99.74,1,1
99.745,1,1
99.75,1,1
99.755,1,1
99.76,1,1
99.765,1,1
99.77,1,1
99.775,1,1
99.78,1,1
99.785,1,1
99.79,1,1
99.795,1,1
99.8,1,1
99.805,1,1
99.81,1,1
99.815,1,1
99.82,1,1
99.825,1,1
99.83,1,1
99.835,1,1
99.84,1,1
99.845,1,1
99.85,1,1
99.855,1,1
99.86,1,1
99.865,1,1
99.87,1,1
99.875,1,1
99.88,1,1
99.885,1,1
99.89,1,1
99.895,1,1
99.9,1,1
99.905,1,1
99.91,1,1
99.915,1,1
99.92,1,1
99.925,1,1
99.93,1,1
99.935,1,1
99.94,1,1
99.945,1,1
99.95,1,1
99.955,1,1
99.96,1,1
99.965,1,1
99.97,1,1
99.975,1,1
99.98,1,1
99.985,1,1
99.99,1,1
99.995,1,1
100,1,1
100.005,1,1
100.01,1,1
100.015,1,1
100.02,1,1
100.025,1,1
100.03,1,1
100.035,1,1
100.04,1,1
100.045,1,1
100.05,1,1
100.055,1,1
100.06,1,1
100.065,1,1
100.07,1,1
100.075,1,1
100.08,1,1
100.085,1,1
100.09,1,1
100.095,1,1
100.1,1,1
100.105,1,1
100.11,1,1
100.115,1,1
100.12,1,1
100.125,1,1
100.13,1,1
100.135,1,1
100.14,1,1
100.145,1,1
100.15,1,1
100.155,1,1
100.16,1,1
100.165,1,1
100.17,1,1
100.175,1,1
100.18,1,1
100.185,1,1
100.19,1,1
100.195,1,1
100.2,1,1
100.205,1,1
100.21,1,1
100.215,1,1
100.22,1,1
100.225,1,1
100.23,1,1
100.235,1,1
100.24,1,1
100.245,1,1
100.25,1,1
100.255,1,1
100.26,1,1
100.265,1,1
100.27,1,1
100.275,1,1
100.28,1,1
100.285,1,1
100.29,1,1
100.295,1,1
100.3,1,1
100.305,1,1
100.31,1,1
100.315,1,1
100.32,1,1
100.325,1,1
100.33,1,1
100.335,1,1
100.34,1,1
100.345,1,1
100.35,1,1
100.355,1,1
100.36,1,1
100.365,1,1
100.37,1,1
100.375,1,1
100.38,1,1
100.385,1,1
100.39,1,1
100.395,1,1
100.4,1,1
100.405,1,1
100.41,1,1
100.415,1,1
100.42,1,1
100.425,1,1
100.43,1,1
100.435,1,1
100.44,1,1
100.445,1,1
100.45,1,1
100.455,1,1
100.46,1,1
100.465,1,1
100.47,1,1
100.475,1,1
100.48,1,1
100.485,1,1
100.49,1,1
100.495,1,1
100.5,1,1
100.505,1,1
100.51,1,1
100.515,1,1
100.52,1,1
100.525,1,1
100.53,1,1
100.535,1,1
100.54,1,1
100.545,1,1
100.55,1,1
100.555,1,1
100.56,1,1
100.565,1,1
100.57,1,1
100.575,1,1
100.58,1,1
100.585,1,1
100.59,1,1
100.595,1,1
100.6,1,1
100.605,1,1
100.61,1,1
100.615,1,1
100.62,1,1
100.625,1,1
100.63,1,1
100.635,1,1
100.64,1,1
100.645,1,1
100.65,1,1
100.655,1,1
100.66,1,1
100.665,1,1
100.67,1,1
100.675,1,1
100.68,1,1
100.685,1,1
100.69,1,1
100.695,1,1
100.7,1,1
100.705,1,1
100.71,1,1
100.715,1,1
100.72,1,1
100.725,1,1
100.73,1,1
100.735,1,1
100.74,1,1
100.745,1,1
100.75,1,1
100.755,1,1
100.76,1,1
100.765,1,1
100.77,1,1
100.775,1,1
100.78,1,1
100.785,1,1
100.79,1,1
100.795,1,1
100.8,1,1
100.805,1,1
100.81,1,1
100.815,1,1
100.82,1,1
100.825,1,1
100.83,1,1
100.835,1,1
100.84,1,1
100.845,1,1
100.85,1,1
100.855,1,1
100.86,1,1
100.865,1,1
100.87,1,1
100.875,1,1
100.88,1,1
100.885,1,1
100.89,1,1
100.895,1,1
100.9,1,1
100.905,1,1
100.91,1,1
100.915,1,1
100.92,1,1
100.925,1,1
100.93,1,1
100.935,1,1
100.94,1,1
100.945,1,1
100.95,1,1
100.955,1,1
100.96,1,1
100.965,1,1
100.97,1,1
100.975,1,1
100.98,1,1
100.985,1,1
100.99,1,1
100.995,1,1
101,1,1
101.005,1,1
101.01,1,1
101.015,1,1
101.02,1,1
101.025,1,1
101.03,1,1
101.035,1,1
101.04,1,1
101.045,1,1
101.05,1,1
101.055,1,1
101.06,1,1
101.065,1,1
101.07,1,1
101.075,1,1
101.08,1,1
101.085,1,1
101.09,1,1
101.095,1,1
101.1,1,1
101.105,1,1
101.11,1,1
101.115,1,1
101.12,1,1
101.125,1,1
