time,fp_l_force_x,fp_l_force_y,fp_l_force_z,fp_l_cop_x,fp_l_cop_y,fp_l_cop_z,fp_r_force_x,fp_r_force_y,fp_r_force_z,fp_r_cop_x,fp_r_cop_y,fp_r_cop_z
64.01,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.015,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.02,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.025,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.03,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.035,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.04,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.045,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.05,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.055,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.06,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.065,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.07,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.075,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.08,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.085,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.09,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.095,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.105,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.11,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.115,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.12,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.125,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.13,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.135,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.14,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.145,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.15,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.155,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
64.16,NaN,NaN,NaN,NaN,NaN,NaN,4.724394,20.84823,-5.537178,-5.379256,0.1767646,-2.044314
64.165,NaN,NaN,NaN,NaN,NaN,NaN,4.144176,28.46799,-0.5646966,-5.377465,0.176696,-2.047178
64.17,NaN,NaN,NaN,NaN,NaN,NaN,1.997055,36.09381,7.029338,-5.374475,0.176622,-2.050194
64.175,NaN,NaN,NaN,NaN,NaN,NaN,-1.643032,43.75541,16.16731,-5.370207,0.1765449,-2.05326
64.18,NaN,NaN,NaN,NaN,NaN,NaN,-6.287654,51.88013,25.30193,-5.364856,0.176471,-2.056114
64.185,NaN,NaN,NaN,NaN,NaN,NaN,-11.138,61.14964,32.84564,-5.358978,0.1764087,-2.05843
64.19,NaN,NaN,NaN,NaN,NaN,NaN,-15.30659,72.27563,37.59764,-5.353341,0.1763649,-2.059959
64.195,NaN,NaN,NaN,NaN,NaN,NaN,-18.08738,85.79518,39.01962,-5.34859,0.1763421,-2.060635
64.2,NaN,NaN,NaN,NaN,NaN,NaN,-19.17387,101.9616,37.28077,-5.345004,0.1763386,-2.060551
64.205,NaN,NaN,NaN,NaN,NaN,NaN,-18.73381,120.7486,33.08307,-5.342501,0.1763506,-2.059865
