time,hip_flexion_l_power,hip_adduction_l_power,hip_rotation_l_power,knee_angle_l_power,ankle_angle_l_power,subtalar_angle_l_power,hip_flexion_r_power,hip_adduction_r_power,hip_rotation_r_power,knee_angle_r_power,ankle_angle_r_power,subtalar_angle_r_power
71.795,0.0124495523829299,0,-0,0.0277858179660276,-0,0,0.0456361603688967,-0,0,0.021067371670773,0,0
71.8,0.0132914408562593,0,-0,0.0196762141642566,-0,0,0.0479719898049051,-0,0,0.0210278647787235,0,0
71.805,0.0143245116941134,0,-0,0.0117817318539515,-0,0,0.0503329805502231,-0,0,0.0212910514106677,0,0
71.81,0.0154529212584428,0,-0,0.00414917311376983,-0,0,0.0527032433340189,-0,0,0.0216405911007746,0,0
71.815,0.0163681959644375,0,-0,-0.00409976018865412,-0,0,0.0528452719193615,-0,0,0.0213592676219112,0,0
71.82,0.0173687049330476,0,-0,-0.0120804923981627,-0,0,0.0529839146328702,-0,0,0.0210421464355111,0,0
71.825,0.018456782911844,0,-0,-0.0196887474402442,-0,0,0.053194924681303,-0,0,0.0206852073222874,0,0
71.83,0.0190956016571799,0,-0,-0.0266422191860032,-0,0,0.0531975027874277,-0,0,0.0202056309522421,0,0
71.835,0.0185976256173969,0,-0,-0.0326837116781376,-0,0,0.0526594280705911,-0,-0,0.0195056926107117,0,0
71.84,0.018012794572203,0,-0,-0.0382665985194218,-0,0,0.0522268211543741,-0,-0,0.018703818071739,0,0
71.845,0.0173190884354479,0,-0,-0.0433992379106365,-0,0,0.0519003843971379,-0,-0,0.0177900942929579,0,0
71.85,0.0165810803567548,0,-0,-0.0481843263535165,-0,-0,0.0510799121578571,-0,-0,0.0169199974210289,0,0
71.855,0.0158111825638904,0,-0,-0.0526857675315781,-0,-0,0.0496104586765677,-0,-0,0.0161316895630833,0,0
71.86,0.0149104093419618,0,-0,-0.056906771091631,-0,-0,0.0481668552563352,-0,-0,0.0152379907252639,0,0
71.865,0.013880954182239,0,-0,-0.060958802066364,-0,-0,0.0467260843745629,-0,-0,0.0142436755987568,0,0
71.87,0.0137347742723158,0,-0,-0.0603852766601133,-0,-0,0.0472387726823637,-0,-0,0.0140501998938932,0,0
71.875,0.013725319184829,0,-0,-0.0590858994381996,-0,-0,0.0482858868293821,-0,-0,0.0139695980096357,0,0
71.88,0.0135958059850942,0,-0,-0.0582732316372929,-0,-0,0.0493795587157353,-0,-0,0.0137750292156601,0,0
71.885,0.0130939931362857,0,-0,-0.0603563165130935,-0,-0,0.0500709199381318,-0,-0,0.0132026597716817,-0,0
71.89,0.0115071178012257,0,-0,-0.0728121685418947,-0,-0,0.0489275204793896,-0,-0,0.0114941788643878,-0,0
71.895,0.00987876367533069,0,-0,-0.0861337511276177,-0,-0,0.0476723545142419,-0,-0,0.00979264149750156,-0,0
71.9,0.00824466077276199,0,-0,-0.100747597504202,-0,-0,0.0462881246037114,-0,-0,0.00813273229254311,-0,0
71.905,0.00677327132424321,0,-0,-0.112762163872754,-0,-0,0.0461011584073704,0,-0,0.00692256672011446,-0,0
71.91,0.00543451590481592,-0,-0,-0.122917477235786,-0,-0,0.0469038608817631,0,-0,0.00604496263309355,-0,0
71.915,0.00413533363546634,-0,-0,-0.134841957344393,-0,-0,0.0475792955939395,0,-0,0.00519025217908573,-0,0
71.92,0.00290128552501677,-0,-0,-0.148679935592397,-0,-0,0.0480965065048256,0,-0,0.00437815307544638,-0,0
