elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm,left_nn_command_nm,right_nn_command_nm
0.0027,0.0128,-0.1526,-0.2290,-0.1859,0.0000,-0.0226,0.5000,0.5000
0.0100,0.0128,-0.0305,-0.2290,-0.1859,0.0000,-0.0226,1.0000,1.0000
0.0200,0.0128,0.0916,-0.2290,0.0583,0.0000,-0.0226,1.5000,1.5000
0.0300,0.0128,-0.0305,-0.2290,0.0583,0.0000,-0.0226,2.0000,2.0000
0.0400,0.0073,-0.2747,-0.2290,0.1193,0.0000,-0.0226,2.5000,2.5000
0.0500,0.0073,-0.0305,-0.2290,0.1804,0.0000,-0.0226,3.0000,3.0000
0.0600,0.0073,0.1526,-0.2290,0.1804,0.0000,-0.0226,3.5000,3.5000
0.0700,0.0073,0.1526,-0.2290,0.1804,0.0000,-0.0226,3.7765,3.5612
0.0800,0.0128,0.2136,-0.2290,-0.0027,0.0000,-0.0226,3.7783,3.5604
0.0900,0.0128,0.0916,-0.2400,-0.4300,0.0000,-0.0226,3.7762,3.5573
0.1002,0.0128,-0.0916,-0.2400,-0.4300,0.0000,-0.0226,3.7750,3.5569
0.1100,0.0073,-0.1526,-0.2455,-0.4300,0.0000,-0.0226,3.7757,3.5584
0.1200,0.0073,-0.0305,-0.2510,-0.3079,0.0000,-0.0226,3.7793,3.5579
0.1300,0.0073,0.0305,-0.2565,-0.0638,0.0000,-0.0226,3.7812,3.5580
0.1400,0.0073,0.0305,-0.2565,0.0583,0.0000,-0.0226,3.7821,3.5580
0.1500,0.0128,0.2747,-0.2620,-0.0027,0.0000,-0.0226,3.7841,3.5552
0.1600,0.0183,0.7019,-0.2675,-0.1859,0.0000,-0.0226,3.7883,3.5533
0.1700,0.0347,0.8850,-0.2730,-0.4300,0.0000,-0.0226,3.7902,3.5513
0.1800,0.0457,0.7019,-0.2839,-0.4910,0.0000,-0.0226,3.7914,3.5492
0.1900,0.0512,0.3967,-0.2894,-0.4300,0.0000,-0.0226,3.7910,3.5488
0.2001,0.0512,-0.0305,-0.2949,-0.3690,0.0000,-0.0226,3.7884,3.5503
0.2102,0.0512,-0.0305,-0.3004,-0.2469,0.0000,-0.0226,3.7885,3.5515
0.2200,0.0512,0.0916,-0.3004,-0.0027,0.0000,-0.0226,3.7917,3.5527
0.2300,0.0512,0.2747,-0.3004,-0.1859,0.0000,-0.0226,3.7940,3.5501
0.2400,0.0567,-0.0916,-0.3004,-0.1859,0.0000,-0.0226,3.7915,3.5498
0.2501,0.0512,-0.3357,-0.3004,-0.1859,0.0000,-0.0226,3.7840,3.5524
0.2600,0.0512,-0.2136,-0.3059,0.1193,0.0000,-0.0226,3.7804,3.5584
0.2701,0.0457,-0.0916,-0.3059,-0.0027,0.0000,-0.0226,3.7769,3.5626
0.2809,0.0457,-0.0916,-0.3114,-0.1859,0.0000,-0.0226,3.7770,3.5630
0.2900,0.0512,0.0916,-0.3114,-0.3079,0.0000,-0.0226,3.7770,3.5606
0.3000,0.0512,-0.0305,-0.3224,-0.1248,0.0000,-0.0226,3.7775,3.5607
0.3102,0.0457,-0.1526,-0.3224,-0.1248,0.0000,-0.0226,3.7738,3.5628
0.3201,0.0402,-0.3967,-0.3224,-0.2469,0.0000,-0.0226,3.7732,3.5652
