elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm
0.0016,0.0406,0.3952,0.1785,-0.1471,0.0127,-0.0012
0.0100,0.0406,0.3952,0.1730,-0.1471,0.0127,-0.0012
0.0201,0.0461,0.0900,0.1675,-0.1471,-0.0343,0.0256
0.0300,0.0461,0.0900,0.1620,-0.1471,-0.0343,0.0256
0.0400,0.0461,0.0900,0.1620,-0.1471,-0.0343,0.0012
0.0500,0.0461,0.0900,0.1565,-0.1471,-0.0343,0.0012
0.0600,0.0461,0.0900,0.1565,-0.1471,0.0071,0.0256
0.0700,0.0461,-0.2151,0.1510,-0.1471,0.0071,0.0256
0.0800,0.0241,-0.6424,0.1455,-0.1471,-0.0033,0.0256
0.0900,0.0241,-0.6424,0.1455,-0.1471,-0.0033,0.0256
0.1004,0.0241,-0.6424,0.1346,-0.1471,-0.0033,0.0226
0.1100,0.0131,-0.1541,0.1291,-0.1471,-0.0033,0.0226
0.1200,0.0131,-0.1541,0.1291,-0.1471,-0.0080,0.0012
0.1300,0.0186,0.3342,0.1291,-0.1471,-0.0080,0.0012
0.1400,0.0241,0.1511,0.1291,-0.1471,-0.0343,-0.0012
0.1501,0.0241,0.1511,0.1181,-0.1471,-0.0343,-0.0012
0.1601,0.0241,0.1511,0.1126,-0.1471,0.0291,0.0226
0.1700,0.0241,0.1511,0.1126,-0.1471,0.0291,0.0226
0.1800,0.0241,0.1511,0.1071,-0.1471,0.0174,0.0012
0.1900,0.0351,0.2731,0.1016,-0.1471,0.0174,0.0012
0.2000,0.0406,0.0900,0.1016,-0.1471,0.0127,-0.0031
0.2100,0.0406,0.1511,0.1016,-0.1471,0.0127,-0.0031
0.2202,0.0406,0.1511,0.0961,-0.1471,-0.0033,0.0226
0.2300,0.0461,0.1511,0.0906,-0.1471,-0.0033,0.0226
0.2401,0.0461,0.1511,0.0906,-0.1471,0.0024,0.0012
0.2502,0.0461,0.1511,0.0851,-0.1471,0.0024,0.0012
0.2600,0.0461,0.0290,0.0851,-0.1471,0.0127,0.0256
0.2700,0.0516,0.2121,0.0851,-0.1471,0.0127,0.0256
0.2801,0.0516,0.5173,0.0796,-0.1471,-0.0033,-0.0244
0.2901,0.0626,0.6393,0.0741,-0.1471,-0.0033,-0.0244
0.3000,0.0626,0.6393,0.0741,-0.1471,-0.0033,0.0256
0.3100,0.0681,0.5173,0.0686,-0.1471,-0.0033,0.0256
0.3200,0.0736,0.3952,0.0631,-0.1471,-0.0188,-0.0244
0.3306,0.0790,0.1511,0.0631,-0.1471,-0.0188,-0.0244
0.3400,0.0790,0.0290,0.0631,-0.1471,-0.0141,0.0244
0.3501,0.0845,0.0290,0.0577,-0.1471,-0.0141,0.0244
0.3607,0.0845,0.0290,0.0577,-0.1471,-0.0188,0.0244
0.3702,0.0845,0.0290,0.0522,-0.1471,-0.0188,0.0244
0.3800,0.0900,0.2121,0.0522,-0.1471,-0.0188,0.0244
0.3900,0.0955,0.2731,0.0467,-0.1471,-0.0188,0.0244
0.4000,0.1010,0.0900,0.0467,-0.1471,-0.0141,-0.0256
0.4100,0.1010,0.0290,0.0467,-0.1471,-0.0141,-0.0256
0.4201,0.1010,0.0290,0.0467,-0.1471,-0.0024,0.0445
