time_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_cmd_torque_nm,right_cmd_torque_nm,left_actual_torque_nm,right_actual_torque_nm
0.0000,-3.1921,2.3239,-3.2643,9.9982,0.0063,-0.0063,-0.0009,0.0043
0.0100,-3.2141,1.7136,-3.2698,11.2799,0.0058,-0.0058,-0.0009,0.0043
0.0200,-3.2470,0.4929,-3.2643,12.7448,0.0044,-0.0044,-0.0009,0.0043
0.0300,-3.2800,1.7746,-3.2314,14.6979,0.0016,-0.0016,-0.0009,0.0043
0.0400,-3.3129,1.2253,-3.1710,18.0548,-0.0030,0.0030,-0.0174,-0.0073
0.0500,-3.3569,0.3098,-3.0721,20.4962,-0.0102,0.0102,-0.0174,-0.0073
0.0600,-3.4173,-0.3006,-2.9677,21.7169,-0.0198,0.0198,-0.0009,-0.0073
0.0700,-3.4722,0.1877,-2.8688,20.0079,-0.0306,0.0306,-0.0009,-0.0073
0.0800,-3.5217,0.4318,-2.8249,13.5382,-0.0405,0.0405,-0.0033,-0.0275
0.0900,-3.5711,0.6760,-2.8249,10.5475,-0.0486,0.0486,-0.0033,-0.0275
0.1000,-3.6151,0.9811,-2.7974,13.7213,-0.0561,0.0561,-0.0009,-0.0012
0.1100,-3.6480,1.8967,-2.7315,16.9562,-0.0639,0.0639,-0.0009,-0.0012
0.1200,-3.6700,2.9953,-2.6491,18.1769,-0.0722,0.0722,-0.0024,-0.0012
0.1300,-3.6920,3.1174,-2.5612,18.1158,-0.0809,0.0809,-0.0197,0.0043
0.1400,-3.7139,2.8732,-2.4843,17.4445,-0.0895,0.0895,-0.0197,0.0043
0.1500,-3.7359,2.3239,-2.4129,17.7496,-0.0980,0.0980,-0.0197,0.0043
0.1600,-3.7634,1.8967,-2.3195,19.8248,-0.1072,0.1072,-0.0212,-0.0012
0.1700,-3.8018,1.2253,-2.2151,21.5948,-0.1174,0.1174,-0.0212,-0.0012
0.1800,-3.8403,1.4084,-2.0943,22.1442,-0.1289,0.1289,-0.0827,0.0519
0.1900,-3.8623,3.1784,-1.9899,20.8624,-0.1402,0.1402,-0.0827,0.0519
0.2000,-3.8842,3.1174,-1.8965,18.9093,-0.1511,0.1511,-0.0390,0.0458
0.2100,-3.9007,2.6291,-1.8306,16.4679,-0.1607,0.1607,-0.0390,0.0458
0.2200,-3.9172,2.7512,-1.7977,13.1720,-0.1687,0.1687,-0.0931,0.0732
0.2300,-3.9282,3.1174,-1.7757,11.7682,-0.1749,0.1749,-0.0931,0.0732
0.2400,-3.9392,3.1174,-1.7647,11.4630,-0.1797,0.1797,-0.0851,0.0689
0.2500,-3.9556,3.2394,-1.7482,11.5240,-0.1839,0.1839,-0.0851,0.0689
0.2600,-3.9721,2.8732,-1.7317,12.0734,-0.1876,0.1876,-0.1274,0.0702
0.2700,-3.9996,1.4084,-1.7043,12.7448,-0.1917,0.1917,-0.1274,0.0702
0.2800,-4.0380,0.7980,-1.6713,13.1720,-0.1965,0.1965,-0.0851,0.1104
0.2900,-4.0710,1.2863,-1.6439,12.7448,-0.2015,0.2015,-0.0851,0.1104
0.3000,-4.1040,1.9577,-1.6219,12.5006,-0.2064,0.2064,-0.0851,0.1104
0.3100,-4.1204,3.0563,-1.5944,12.6837,-0.2109,0.2109,-0.0851,0.1104
0.3200,-4.1314,4.0939,-1.5615,13.0499,-0.2152,0.2152,-0.0851,0.1104
0.3300,-4.1369,4.0329,-1.5395,12.5616,-0.2189,0.2189,-0.1927,0.1562
0.3400,-4.1534,2.2018,-1.5175,12.0123,-0.2225,0.2225,-0.1654,0.1934
0.3500,-4.1864,1.5915,-1.4955,12.2565,-0.2264,0.2264,-0.1654,0.1934
0.3600,-4.2083,2.9953,-1.4681,12.6837,-0.2305,0.2305,-0.1927,0.1903
0.3700,-4.2248,3.5446,-1.4516,11.3409,-0.2342,0.2342,-0.1927,0.1903
0.3800,-4.2413,2.8732,-1.4461,10.4254,-0.2373,0.2373,-0.2068,0.2025
0.3900,-4.2633,2.9953,-1.4296,11.2799,-0.2405,0.2405,-0.2068,0.2025
0.4000,-4.2743,3.9108,-1.4077,11.5851,-0.2436,0.2436,-0.2505,0.2025
0.4100,-4.2852,3.7888,-1.3912,10.9747,-0.2464,0.2464,-0.2505,0.2025
0.4200,-4.2907,3.7277,-1.3802,10.6085,-0.2488,0.2488,-0.2505,0.2025
0.4300,-4.3017,3.5446,-1.3692,10.8527,-0.2510,0.2510,-0.2505,0.2025
0.4400,-4.3127,3.6667,-1.3582,10.9137,-0.2532,0.2532,-0.2280,0.2025
0.4500,-4.3182,3.9719,-1.3527,10.3644,-0.2549,0.2549,-0.2280,0.2025
0.4600,-4.3292,3.6667,-1.3527,9.9982,-0.2564,0.2564,-0.2637,0.2300
0.4700,-4.3457,3.0563,-1.3582,10.1202,-0.2577,0.2577,-0.2637,0.2300
0.4800,-4.3621,2.9953,-1.3582,10.4254,-0.2590,0.2590,-0.2637,0.2300
