elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm
0.0021,-0.3337,0.0507,-0.0999,0.2930,-0.0033,-0.0567
0.0100,-0.3337,0.1727,-0.0999,0.2930,-0.0033,-0.0567
0.0200,-0.3337,0.2338,-0.0999,0.3540,0.0235,0.0031
0.0304,-0.3337,0.2338,-0.0999,0.3540,-0.0080,0.0031
0.0400,-0.3337,0.1727,-0.0999,0.3540,-0.0033,0.0031
0.0500,-0.3392,0.0507,-0.0999,0.2930,-0.0033,0.0031
0.0600,-0.3392,0.0507,-0.0999,0.1709,-0.0080,-0.0244
0.0700,-0.3392,0.1727,-0.0999,0.0488,-0.0080,-0.0244
0.0806,-0.3392,0.2948,-0.0999,0.0488,-0.0080,0.0031
0.0905,-0.3337,0.6000,-0.0999,0.0488,-0.0080,0.0031
0.1000,-0.3282,0.6610,-0.0999,0.0488,-0.0033,0.0031
0.1102,-0.3227,0.4169,-0.0889,0.3540,-0.0033,0.0031
0.1201,-0.3172,0.9052,-0.0889,0.3540,-0.0080,-0.0165
0.1300,-0.3117,0.5389,-0.0944,-0.1953,-0.0080,-0.0165
0.1400,-0.3117,0.5389,-0.0889,0.9033,-0.0291,0.0244
0.1503,-0.3117,0.1727,-0.0834,0.5371,-0.0291,0.0244
0.1600,-0.3117,0.2948,-0.0834,0.2319,0.0071,-0.0317
0.1701,-0.3117,0.4169,-0.0834,0.2319,0.0071,-0.0317
0.1800,-0.3062,0.4169,-0.0834,0.5371,-0.0080,0.0305
0.1900,-0.3062,-0.0714,-0.0779,0.4761,-0.0080,0.0305
0.2000,-0.3062,0.2338,-0.0779,0.4761,-0.0508,0.0244
0.2100,-0.3062,0.2338,-0.0779,0.4150,-0.0508,0.0244
0.2200,-0.3062,0.2338,-0.0724,0.5371,-0.0291,0.0244
0.2300,-0.3007,0.4779,-0.0669,0.5981,-0.0291,0.0244
0.2400,-0.2952,0.4779,-0.0669,0.6592,-0.0235,0.0092
0.2500,-0.2952,0.3558,-0.0614,0.5981,-0.0235,0.0092
0.2603,-0.2952,0.4169,-0.0614,0.2930,-0.0244,0.0305
0.2700,-0.2897,0.6000,-0.0614,0.1709,-0.0244,0.0305
0.2800,-0.2897,0.6000,-0.0614,0.4150,-0.0080,0.0031
0.2901,-0.2897,0.6000,-0.0614,0.4150,-0.0080,0.0031
0.3002,-0.2897,0.2948,-0.0614,0.4150,-0.0141,0.0092
0.3100,-0.2897,0.2948,-0.0614,0.2930,-0.0141,0.0092
0.3200,-0.2842,0.6000,-0.0614,0.2319,-0.0188,0.0244
0.3300,-0.2788,0.7220,-0.0559,0.6592,-0.0188,0.0244
0.3401,-0.2733,0.6610,-0.0394,1.0254,-0.0141,0.0348
0.3500,-0.2733,0.6610,-0.0339,0.6592,-0.0141,0.0348
0.3600,-0.2678,0.3558,-0.0285,0.4150,-0.0141,0.0305
0.3701,-0.2678,0.2338,-0.0285,0.4150,-0.0141,0.0305
0.3802,-0.2678,0.2338,-0.0230,0.5981,-0.0080,0.0305
0.3901,-0.2678,0.2338,-0.0230,0.3540,-0.0080,0.0305
0.4000,-0.2678,0.2338,-0.0230,0.0488,-0.0291,0.0519
0.4100,-0.2733,0.1727,-0.0285,0.1099,-0.0291,0.0519
0.4200,-0.2733,0.1727,-0.0285,0.1099,-0.0291,0.0519
0.4300,-0.2678,0.6000,-0.0230,0.4150,-0.0291,0.0519
0.4401,-0.2568,0.6000,-0.0230,0.5981,-0.0508,0.0305
0.4501,-0.2568,0.5389,-0.0175,0.5981,-0.0508,0.0305
0.4600,-0.2568,0.2948,-0.0120,0.5981,-0.0141,0.0031
0.4701,-0.2513,0.4779,-0.0065,0.6592,-0.0141,0.0031
0.4802,-0.2513,0.4169,-0.0010,0.9644,-0.0508,0.0305
0.4901,-0.2513,0.4169,0.0100,0.9644,-0.0508,0.0305
0.5000,-0.2513,0.2948,0.0155,0.6592,-0.0508,0.0305
0.5101,-0.2458,0.5389,0.0155,0.5981,-0.0508,0.0305
0.5200,-0.2403,0.6000,0.0210,0.5371,-0.0080,0.0305
0.5317,-0.2403,0.6000,0.0210,0.5371,-0.0080,0.0305
0.5401,-0.2238,0.8441,0.0210,0.2319,-0.0080,0.0031
0.5501,-0.2183,0.8441,0.0210,0.1709,-0.0080,0.0031
0.5603,-0.2183,0.8441,0.0265,0.5981,-0.0080,0.0031
0.5700,-0.2073,0.8441,0.0265,0.5981,-0.0080,0.0031
0.5800,-0.2073,0.4169,0.0320,0.8423,-0.0390,0.0256
0.5900,-0.2128,-0.1324,0.0375,0.8423,-0.0390,0.0256
0.6000,-0.2183,-0.1935,0.0430,0.6592,-0.0291,0.0256
0.6100,-0.2238,-0.0104,0.0430,0.5981,-0.0291,0.0256
0.6200,-0.2238,0.1727,0.0430,0.5981,-0.0141,0.0256
0.6301,-0.2238,0.1727,0.0484,0.7812,-0.0141,0.0256
0.6400,-0.2238,0.1727,0.0594,0.7202,-0.0141,0.0256
0.6501,-0.2128,0.8441,0.0594,0.7202,-0.0080,0.0305
0.6600,-0.2018,1.0883,0.0649,0.9644,-0.0390,0.0256
0.6701,-0.1854,0.8441,0.0759,0.2319,-0.0390,0.0256
0.6800,-0.1799,0.6610,0.0759,0.2319,-0.0390,0.0256
0.6900,-0.1744,0.4169,0.0759,0.2319,-0.0508,0.0256
0.7006,-0.1744,0.4169,0.0649,0.4761,-0.0508,0.0256
0.7100,-0.1744,0.3558,0.0704,0.5981,-0.0141,0.0256
0.7203,-0.1744,0.3558,0.0704,0.5981,-0.0141,0.0256
0.7300,-0.1744,0.3558,0.0759,0.7812,-0.0141,0.0256
0.7400,-0.1744,0.3558,0.0759,0.7812,-0.0141,0.0256
