elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_command_torque_nm,right_command_torque_nm,left_actual_torque_nm,right_actual_torque_nm,feedback_gain,delay_s
0.0008,0.1137,0.4269,0.0621,0.2481,0.0000,0.0000,0.0165,-0.0165,5.0000,0.2500
0.0100,0.1192,0.3659,0.0621,0.2481,0.0000,0.0000,0.0024,-0.0427,5.0000,0.2500
0.0200,0.1192,0.3659,0.0621,0.0650,0.0000,0.0000,0.0024,0.0366,5.0000,0.2500
0.0300,0.1192,0.3049,0.0621,-0.1181,0.0000,0.0000,0.0024,-0.0214,5.0000,0.2500
0.0400,0.1192,0.3049,0.0346,-2.4985,0.0000,0.0000,0.0024,-0.0214,5.0000,0.2500
0.0500,0.1247,0.3049,0.0346,-2.4985,0.0000,0.0000,0.0024,0.0104,5.0000,0.2500
0.0600,0.1247,0.3659,0.0346,-2.4985,0.0000,0.0000,-0.0268,-0.0214,5.0000,0.2500
0.0700,0.1357,0.4269,-0.0807,-1.4609,0.0000,0.0000,-0.0118,0.0061,5.0000,0.2500
0.0800,0.1357,-0.0613,-0.0917,-1.0947,0.0000,0.0000,0.0024,0.0104,5.0000,0.2500
0.0900,0.1357,-0.0613,-0.0917,-1.0947,0.0000,0.0000,-0.0343,0.0043,5.0000,0.2500
0.1000,0.1357,-0.0613,-0.1027,-0.6674,0.0000,0.0000,-0.0118,-0.0214,5.0000,0.2500
0.1100,0.1302,-0.0613,-0.0972,0.7364,0.0000,0.0000,-0.0343,-0.0165,5.0000,0.2500
0.1200,0.1247,-0.0613,-0.0368,3.5440,0.0000,0.0000,0.0150,0.0061,5.0000,0.2500
0.1333,0.1247,-0.0613,-0.0368,3.5440,0.0000,0.0000,-0.0047,0.0061,5.0000,0.2500
0.1400,0.1192,-0.0613,0.0236,2.2623,0.0000,0.0000,0.0165,0.0104,5.0000,0.2500
0.1500,0.1192,-0.0613,0.0511,1.7130,0.0000,0.0000,0.0165,0.0104,5.0000,0.2500
0.1600,0.1192,-0.0613,0.0511,1.7130,0.0000,0.0000,-0.0470,0.0104,5.0000,0.2500
0.1700,0.1137,-0.0613,0.0676,1.1026,0.0000,0.0000,0.0165,-0.0165,5.0000,0.2500
0.1800,0.1137,-0.0613,0.0950,0.8585,0.0000,0.0000,-0.0400,0.0061,5.0000,0.2500
0.1900,0.1137,-0.0613,0.0950,0.8585,0.0000,0.0000,0.0024,-0.0165,5.0000,0.2500
0.2000,0.1082,-0.0613,0.0950,0.8585,0.0000,0.0000,-0.0696,-0.0256,5.0000,0.2500
0.2100,0.1082,-0.0613,0.1170,0.0650,0.0000,0.0000,0.0024,0.0104,5.0000,0.2500
0.2200,0.1027,-0.0613,0.1170,0.0650,0.0000,0.0000,-0.0197,0.0061,5.0000,0.2500
0.2300,0.1027,-0.0613,0.1170,0.0650,0.0000,0.0000,-0.0118,0.0549,5.0000,0.2500
0.2400,0.1027,-0.0613,0.1170,0.0650,0.0000,0.0000,-0.0047,0.0104,5.0000,0.2500
0.2500,0.1027,-0.0613,0.1225,0.1260,0.0000,0.0000,-0.0118,-0.0427,5.0000,0.2500
0.2600,0.0972,-0.0613,0.1225,0.1260,0.0045,-0.0045,0.0221,-0.0165,5.0000,0.2500
0.2700,0.0972,-0.0613,0.1225,0.1260,0.0046,-0.0046,0.0024,0.0104,5.0000,0.2500
0.2800,0.0917,-0.0613,0.1225,0.0040,0.0046,-0.0046,-0.0118,-0.0165,5.0000,0.2500
0.2900,0.0917,-0.0613,0.1225,-0.0571,0.0047,-0.0047,0.0024,0.0104,5.0000,0.2500
0.3000,0.0917,-0.0613,0.1225,-0.1181,0.0048,-0.0048,0.0221,-0.0214,5.0000,0.2500
0.3100,0.0917,-0.0613,0.1225,-0.1181,0.0051,-0.0051,0.0024,0.0104,5.0000,0.2500
0.3200,0.0862,-0.0613,0.1280,-0.0571,0.0062,-0.0062,0.0165,0.0104,5.0000,0.2500
0.3300,0.0862,-0.0613,0.1280,-0.1181,0.0067,-0.0067,-0.0188,0.0061,5.0000,0.2500
0.3400,0.0862,-0.0613,0.1225,-0.1181,0.0076,-0.0076,0.0024,0.0104,5.0000,0.2500
0.3500,0.0807,-0.0613,0.1225,-0.1791,0.0083,-0.0083,-0.0118,-0.0165,5.0000,0.2500
0.3600,0.0807,-0.0613,0.1225,-0.1181,0.0085,-0.0085,0.0165,-0.0214,5.0000,0.2500
0.3700,0.0807,-0.0613,0.1225,-0.1181,0.0091,-0.0091,-0.0118,-0.0214,5.0000,0.2500
0.3800,0.0807,-0.0613,0.1225,-0.1181,0.0093,-0.0093,0.0094,0.0275,5.0000,0.2500
0.3900,0.0807,-0.0613,0.1225,-0.1181,0.0093,-0.0093,-0.0033,-0.0165,5.0000,0.2500
0.4000,0.0753,-0.0613,0.1170,-0.1181,0.0091,-0.0091,0.0306,0.0061,5.0000,0.2500
