elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm
0.0013,0.3153,0.0168,0.1131,0.3922,-0.0165,-0.0043
0.0100,0.3153,0.0778,0.1131,0.2090,-0.0165,-0.0043
0.0200,0.3208,0.5051,0.1186,0.2090,-0.0165,-0.0043
0.0300,0.3263,0.3220,0.1186,0.2090,-0.0071,-0.0256
0.0400,0.3263,-0.0443,0.1241,0.3311,-0.0071,-0.0256
0.0501,0.3263,-0.0443,0.1241,0.2701,0.0141,0.0012
0.0600,0.3318,0.5051,0.1296,0.2090,0.0141,0.0012
0.0700,0.3373,0.3830,0.1296,0.2090,-0.0306,0.0061
0.0800,0.3373,0.0168,0.1296,0.1480,-0.0306,0.0061
0.0900,0.3318,0.0778,0.1296,0.0259,0.0414,-0.0256
0.1001,0.3318,0.2609,0.1296,0.1480,0.0414,-0.0256
0.1100,0.3318,0.2609,0.1296,0.0870,0.0047,-0.0195
0.1200,0.3318,-0.1663,0.1296,0.0870,0.0047,-0.0195
0.1300,0.3263,-0.0443,0.1296,0.1480,0.0047,-0.0195
0.1401,0.3263,-0.1663,0.1241,-0.0351,0.0047,-0.0195
0.1500,0.3153,-0.4715,0.1241,0.0259,0.0212,-0.0043
0.1600,0.3153,0.0168,0.1241,-0.0961,0.0212,-0.0043
0.1700,0.3153,0.0168,0.1241,-0.0961,0.0353,-0.0256
0.1800,0.3153,0.0168,0.1241,-0.0961,0.0353,-0.0256
0.1900,0.3208,0.3830,0.1131,-0.2792,0.0564,-0.0476
0.2000,0.3098,-1.3870,0.1076,-0.4013,0.0564,-0.0476
0.2100,0.2933,-1.5091,0.1076,-0.2792,-0.0150,0.0012
0.2201,0.2823,-0.8377,0.1021,-0.2182,-0.0150,0.0012
0.2304,0.2823,-0.2884,0.0966,-0.0961,-0.0150,0.0012
0.2402,0.2823,0.2609,0.0966,-0.0961,-0.0150,0.0012
0.2500,0.2823,0.0778,0.0966,-0.0961,0.0508,-0.0244
0.2600,0.2823,0.0778,0.0966,-0.0351,0.0508,-0.0244
0.2701,0.2823,0.0778,0.0966,-0.0961,-0.0009,-0.0043
0.2800,0.2933,0.5051,0.0966,-0.0961,-0.0009,-0.0043
0.2906,0.2933,0.4440,0.0966,0.0870,-0.0009,-0.0043
0.3000,0.2988,0.6271,0.0966,0.1480,-0.0009,-0.0043
0.3100,0.3043,0.2609,0.0966,0.0259,0.0141,0.0061
0.3200,0.2988,-0.1053,0.0911,-0.0961,0.0141,0.0061
0.3300,0.2988,-0.1053,0.0856,-0.2182,0.0141,-0.0092
0.3407,0.2988,-0.2884,0.0856,-0.2792,0.0141,-0.0092
0.3500,0.2878,-0.6546,0.0801,-0.1572,-0.0118,-0.0195
0.3600,0.2713,-1.2039,0.0801,0.0259,-0.0118,-0.0195
0.3700,0.2603,-1.2650,0.0801,0.1480,0.0306,-0.0476
0.3800,0.2603,-1.2650,0.0801,0.0870,0.0306,-0.0476
0.3900,0.2494,0.0168,0.0747,0.0259,0.0306,-0.0476
0.4002,0.2494,0.0168,0.0747,0.0259,0.0306,-0.0476
0.4100,0.2549,0.3220,0.0747,0.0259,0.0719,-0.0244
0.4200,0.2384,-0.4105,0.0692,-0.1572,0.0719,-0.0244
0.4303,0.2384,-0.0443,0.0637,-0.2182,-0.0009,-0.0043
