elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm
0.0037,0.2043,0.1230,0.4738,0.0659,0.0141,0.0122
0.0100,0.2043,0.1230,0.4793,0.3101,0.0141,0.0122
0.0201,0.2098,0.3061,0.4793,0.3101,0.0141,0.0122
0.0300,0.2098,0.3061,0.4793,0.3101,0.0141,0.0122
0.0401,0.2098,0.4282,0.4902,0.0049,0.0141,0.0122
0.0501,0.2098,0.4282,0.4902,0.0049,0.0141,-0.0092
0.0600,0.2207,0.4282,0.4957,0.0659,0.0141,-0.0092
0.0700,0.2262,0.4892,0.5287,0.3101,-0.0009,0.0122
0.0800,0.2372,0.6113,0.5342,0.2490,-0.0009,0.0122
0.0901,0.2427,0.3671,0.5342,0.2490,-0.0494,0.0348
0.1000,0.2427,0.3671,0.5397,0.1270,-0.0494,0.0348
0.1100,0.2427,0.0620,0.5397,0.1270,-0.0282,0.0073
0.1200,0.2427,0.1230,0.5452,0.0659,-0.0282,0.0073
0.1300,0.2482,0.3061,0.5452,-0.0562,-0.0282,0.0073
0.1400,0.2537,0.1840,0.5507,0.4321,-0.0282,0.0073
0.1500,0.2592,0.1230,0.5507,0.4321,-0.0282,0.0073
0.1603,0.2592,0.1230,0.5507,0.4321,-0.0282,0.0073
0.1701,0.2647,0.1230,0.5671,0.1880,-0.0282,0.0073
0.1800,0.2647,0.1230,0.5726,0.3101,-0.0282,0.0073
0.1901,0.2647,0.1230,0.5836,0.3711,-0.0127,-0.0092
0.2000,0.2757,0.2451,0.6001,0.3711,-0.0127,-0.0092
0.2100,0.2757,0.2451,0.6001,0.0049,-0.0127,-0.0092
0.2200,0.2757,0.2451,0.6001,0.0049,-0.0127,-0.0092
0.2300,0.2812,0.1230,0.6056,-0.0562,-0.0127,-0.0092
0.2400,0.2867,0.4892,0.6056,-0.0562,-0.0127,-0.0092
0.2500,0.2867,0.4892,0.6056,0.0659,-0.0071,0.0122
0.2600,0.2922,0.5502,0.6166,0.2490,-0.0071,0.0122
0.2700,0.3086,0.5502,0.6221,0.3711,-0.0071,0.0122
0.2800,0.3141,0.4282,0.6276,0.3711,0.0141,0.0397
0.2900,0.3196,0.6113,0.6331,0.6152,0.0141,0.0397
0.3001,0.3306,0.6723,0.6331,0.6152,-0.0188,-0.0092
0.3100,0.3361,0.3061,0.6386,0.6152,-0.0188,-0.0092
0.3200,0.3361,0.3061,0.6386,0.6152,-0.0188,-0.0092
0.3300,0.3361,0.3061,0.6495,0.5542,0.0353,0.0122
0.3400,0.3416,0.4892,0.6605,0.1880,0.0353,0.0122
0.3500,0.3416,0.4892,0.6605,0.1880,-0.0071,0.0122
0.3600,0.3526,0.3671,0.6660,0.2490,-0.0071,0.0122
0.3701,0.3691,0.4282,0.6660,0.2490,-0.0071,0.0122
0.3800,0.3691,0.4282,0.6660,0.2490,-0.0071,0.0122
0.3900,0.3691,0.4282,0.6825,0.4932,-0.0071,0.0122
0.4000,0.3800,0.3671,0.6990,0.3711,0.0141,-0.0092
0.4100,0.3855,0.2451,0.7045,0.3711,0.0141,-0.0092
0.4200,0.3910,0.1230,0.7100,0.2490,-0.0282,0.0122
0.4300,0.3910,0.0009,0.7100,0.2490,-0.0282,0.0122
0.4400,0.3965,0.0620,0.7155,0.1880,-0.0282,0.0122
0.4500,0.3965,0.1840,0.7210,0.1880,-0.0282,0.0122
0.4600,0.3965,0.1840,0.7264,0.0659,-0.0282,0.0122
0.4700,0.4020,0.1840,0.7264,-0.5444,-0.0282,0.0122
0.4800,0.4130,0.1840,0.7155,-1.2769,-0.0282,0.0122
0.4900,0.4130,0.1230,0.7100,0.1270,-0.0282,0.0122
0.5000,0.4185,0.2451,0.7210,0.9814,-0.0212,0.0610
0.5101,0.4185,0.2451,0.7210,0.9814,-0.0212,0.0610
0.5201,0.4185,0.2451,0.7210,0.9814,-0.0282,0.0183
0.5300,0.4185,-0.1212,0.7210,0.9814,-0.0282,0.0183
0.5400,0.4130,-0.2432,0.7484,-0.1172,-0.0282,0.0183
0.5500,0.4130,0.0009,0.7484,-0.1172,-0.0282,0.0183
0.5600,0.4185,0.2451,0.7429,-0.1782,-0.0282,0.0183
0.5705,0.4185,0.2451,0.7429,-0.1782,-0.0282,0.0183
0.5802,0.4185,0.2451,0.7429,-0.1782,-0.0710,-0.0092
0.5901,0.4240,0.0620,0.7374,-0.2393,-0.0710,-0.0092
0.6001,0.4240,0.0620,0.7374,-0.2393,-0.0282,0.0397
0.6100,0.4240,0.0620,0.7484,0.5542,-0.0282,0.0397
0.6200,0.4295,0.2451,0.7484,0.5542,-0.0282,0.0397
0.6300,0.4295,0.3061,0.7649,0.7373,-0.0282,0.0397
0.6400,0.4295,0.3061,0.7759,0.6152,-0.0282,0.0397
0.6500,0.4515,0.4282,0.7759,0.6152,-0.0282,0.0397
0.6600,0.4624,0.9164,0.7869,0.4932,-0.0282,0.0610
0.6700,0.4624,0.9164,0.7924,0.2490,-0.0710,0.0659
0.6800,0.4789,1.2827,0.7924,0.2490,-0.0710,0.0659
0.6900,0.5119,1.2216,0.7979,0.0049,-0.0710,0.0659
0.7000,0.5284,1.2216,0.7979,-0.0562,-0.0494,-0.0092
0.7100,0.5284,1.2216,0.7979,0.1880,-0.0494,-0.0092
0.7202,0.5558,1.0385,0.7979,0.1880,-0.0282,0.0397
0.7300,0.5668,1.0995,0.7979,0.3101,-0.0282,0.0397
0.7403,0.5668,1.0995,0.7979,-0.0562,-0.0212,0.0397
0.7500,0.5778,1.0385,0.7924,-0.0562,-0.0282,0.0397
0.7600,0.5888,0.1230,0.7869,-0.1782,-0.0282,0.0397
0.7701,0.5888,0.1230,0.7759,-0.5444,-0.0282,0.0397
0.7803,0.5888,-0.1212,0.7539,-0.3003,-0.0494,0.0122
0.7900,0.5888,-0.2432,0.7539,-0.3003,-0.0056,0.0348
0.8001,0.5833,-0.4263,0.7539,-0.3003,-0.0056,0.0348
0.8100,0.5833,-0.4263,0.7429,-0.2393,-0.0056,0.0348
0.8200,0.5723,-0.8536,0.7264,0.1880,-0.0343,-0.0092
0.8300,0.5723,-0.8536,0.7264,0.1880,-0.0343,-0.0092
0.8400,0.5668,-1.0977,0.7100,-0.9717,-0.0343,-0.0092
0.8500,0.5778,0.4892,0.7100,-0.9717,-0.0343,-0.0092
0.8601,0.5833,-0.4874,0.6935,-1.2769,-0.0343,-0.0092
0.8704,0.5833,-0.4874,0.6825,-0.7886,-0.0343,-0.0092
0.8800,0.5833,-0.4874,0.6715,-0.4224,-0.0343,-0.0092
0.8900,0.5668,-1.0367,0.6660,-0.7886,-0.0343,-0.0092
0.9000,0.5503,-1.0977,0.6495,-0.5444,-0.0494,0.0122
0.9101,0.5393,-1.2808,0.6495,-0.3613,-0.0494,0.0122
0.9201,0.5284,-0.9756,0.6495,-0.3613,-0.0555,0.0397
0.9303,0.5284,-0.9756,0.6495,-0.3613,-0.0555,0.0397
0.9403,0.5284,-0.9756,0.6495,-0.3613,-0.0494,0.0122
0.9500,0.5174,-1.0977,0.6495,-0.3613,-0.0494,0.0397
0.9600,0.5064,-1.2808,0.6495,-0.0562,-0.0494,0.0397
0.9700,0.4954,-1.0367,0.6495,-0.0562,-0.0494,0.0397
0.9803,0.4899,-0.6705,0.6495,-0.1172,-0.0212,0.0397
0.9906,0.4789,-0.9756,0.6331,-1.2158,-0.0710,0.0610
1.0000,0.4789,-0.9756,0.6331,-1.2158,-0.0710,0.0610
1.0100,0.4789,-0.9756,0.6166,-1.2158,-0.0710,0.0610
1.0201,0.4789,-0.9756,0.6056,-1.1548,-0.0710,0.0610
1.0305,0.4515,-0.6094,0.5946,-0.7886,0.0009,0.0122
