elapsed_s,left_position_rad,right_position_rad,left_command_torque_nm,right_command_torque_nm,left_actual_torque_nm,right_actual_torque_nm
0.0007,-0.2883884,0.8617137,0.0000,0.0000,-0.0127,-0.0012
0.0100,-0.2883884,0.8617137,0.0000,0.0000,0.0291,-0.0012
0.0200,-0.2880049,0.8617137,0.0000,0.0000,0.0071,-0.0000
0.0300,-0.2876214,0.8613302,0.0000,0.0000,-0.0306,0.0305
0.0400,-0.2868544,0.8609467,0.0000,0.0000,0.0080,-0.0092
0.0500,-0.2860874,0.8605632,0.0000,0.0000,0.0047,-0.0104
0.0600,-0.2845534,0.8590293,0.0000,0.0000,-0.0033,0.0043
0.0700,-0.2837864,0.8567283,0.0000,0.0000,-0.0212,-0.0134
0.0800,-0.2826360,0.8544273,0.0000,0.0000,-0.0024,-0.0153
0.0900,-0.2807185,0.8528934,0.0000,0.0000,0.0071,0.0134
0.1000,-0.2799515,0.8505924,0.0000,0.0000,0.0080,0.0427
0.1100,-0.2795680,0.8494419,0.0000,0.0000,0.0080,0.0153
0.1200,-0.2795680,0.8475244,0.0000,0.0000,-0.0268,-0.0061
0.1300,-0.2788010,0.8467574,0.0000,0.0000,-0.0047,0.0153
0.1400,-0.2768835,0.8463739,0.0000,0.0000,0.0235,-0.0567
0.1500,-0.2753496,0.8452234,0.0000,0.0000,0.0174,0.0153
0.1600,-0.2730486,0.8421555,0.0000,0.0000,0.0564,0.0134
0.1700,-0.2715146,0.8410050,0.0000,0.0000,0.0390,-0.0012
0.1800,-0.2711311,0.8402380,0.0000,0.0000,0.0024,0.0122
0.1900,-0.2711311,0.8390875,0.0000,0.0000,-0.0174,0.0104
0.2000,-0.2711311,0.8367866,0.0000,0.0000,-0.0343,0.0043
0.2100,-0.2711311,0.8352526,0.0000,0.0000,0.0212,0.0031
0.2200,-0.2711311,0.8329516,0.0000,0.0000,0.0033,0.0104
0.2300,-0.2711311,0.8337186,0.0000,0.0000,0.0197,0.0031
0.2400,-0.2707476,0.8337186,0.0000,0.0000,-0.0165,0.0092
0.2500,-0.2707476,0.8333351,-0.0011,0.0011,0.0033,0.0287
0.2600,-0.2699806,0.8337186,-0.0011,0.0011,0.0212,-0.0061
0.2700,-0.2692136,0.8333351,-0.0012,0.0012,0.0047,0.0012
0.2800,-0.2680632,0.8337186,-0.0013,0.0013,0.0188,-0.0165
0.2900,-0.2672962,0.8333351,-0.0015,0.0015,0.0188,-0.0165
0.3000,-0.2669127,0.8337186,-0.0017,0.0017,-0.0353,0.0104
0.3100,-0.2661457,0.8337186,-0.0020,0.0020,0.0165,-0.0061
0.3200,-0.2649952,0.8337186,-0.0018,0.0018,0.0291,0.0104
0.3300,-0.2646117,0.8337186,-0.0014,0.0014,0.0244,-0.0165
0.3400,-0.2646117,0.8333351,-0.0011,0.0011,-0.0071,-0.0165
0.3500,-0.2642282,0.8333351,-0.0005,0.0005,0.0141,0.0104
0.3600,-0.2646117,0.8333351,0.0004,-0.0004,0.0033,-0.0061
0.3700,-0.2642282,0.8337186,0.0017,-0.0017,-0.0484,-0.0092
0.3800,-0.2646117,0.8337186,0.0029,-0.0029,0.0197,0.0012
0.3900,-0.2646117,0.8337186,0.0036,-0.0036,0.0033,0.0031
0.4000,-0.2646117,0.8333351,0.0043,-0.0043,-0.0071,-0.0165
