elapsed_s,left_position_rad,right_position_rad,left_command_torque_nm,right_command_torque_nm,left_actual_torque_nm,right_actual_torque_nm
0.0006,-0.0149563,0.5399613,0.0000,0.0000,-0.0103,-0.0397
0.0100,-0.0149563,0.5395778,0.0000,0.0000,0.0197,0.0336
0.0200,-0.0149563,0.5399613,0.0000,0.0000,-0.0165,-0.0122
0.0300,-0.0149563,0.5399613,0.0000,0.0000,0.0197,-0.0214
0.0400,-0.0153398,0.5399613,0.0000,0.0000,0.0094,0.0061
0.0500,-0.0153398,0.5395778,0.0000,0.0000,0.0047,0.0061
0.0600,-0.0153398,0.5395778,0.0000,0.0000,-0.0103,0.0061
0.0700,-0.0153398,0.5399613,0.0000,0.0000,0.0517,0.0537
0.0800,-0.0149563,0.5399613,0.0000,0.0000,0.0197,0.0061
0.0900,-0.0153398,0.5395778,0.0000,0.0000,0.0094,-0.0122
0.1000,-0.0153398,0.5399613,0.0000,0.0000,0.0094,-0.0214
0.1100,-0.0153398,0.5399613,0.0000,0.0000,-0.0423,-0.0031
0.1200,-0.0149563,0.5395778,0.0000,0.0000,0.0047,-0.0122
0.1300,-0.0149563,0.5395778,0.0000,0.0000,0.0197,-0.0122
0.1400,-0.0149563,0.5399613,0.0000,0.0000,0.0259,0.0061
0.1500,-0.0149563,0.5395778,0.0000,0.0000,0.0047,0.0256
0.1600,-0.0149563,0.5399613,0.0000,0.0000,0.0047,-0.0012
0.1700,-0.0153398,0.5399613,0.0000,0.0000,0.0094,-0.0031
0.1800,-0.0153398,0.5399613,0.0000,0.0000,0.0047,0.0134
0.1900,-0.0153398,0.5395778,0.0000,0.0000,0.0047,-0.0214
0.2000,-0.0153398,0.5395778,0.0000,0.0000,0.0259,0.0256
0.2100,-0.0153398,0.5395778,0.0000,0.0000,-0.0165,0.0061
0.2200,-0.0153398,0.5399613,0.0000,0.0000,-0.0165,0.0336
0.2300,-0.0153398,0.5399613,0.0000,0.0000,0.0047,0.0256
0.2400,-0.0153398,0.5395778,0.0000,0.0000,-0.0165,0.0061
0.2500,-0.0153398,0.5395778,0.0124,-0.0124,-0.0423,-0.0122
0.2600,-0.0153398,0.5395778,0.0125,-0.0125,0.0047,-0.0476
0.2700,-0.0153398,0.5395778,0.0125,-0.0125,0.0197,-0.0214
0.2800,-0.0153398,0.5395778,0.0125,-0.0125,-0.0165,-0.0214
0.2900,-0.0153398,0.5395778,0.0126,-0.0126,0.0306,0.0256
0.3000,-0.0153398,0.5391943,0.0128,-0.0128,-0.0071,-0.0397
0.3100,-0.0153398,0.5391943,0.0130,-0.0130,0.0259,-0.0134
0.3200,-0.0153398,0.5391943,0.0130,-0.0130,-0.0009,-0.0012
0.3300,-0.0153398,0.5391943,0.0130,-0.0130,0.0259,-0.0195
0.3400,-0.0153398,0.5391943,0.0132,-0.0132,0.0259,-0.0000
0.3500,-0.0153398,0.5391943,0.0132,-0.0132,-0.0376,-0.0409
0.3600,-0.0153398,0.5388108,0.0133,-0.0133,0.0259,-0.0195
0.3700,-0.0153398,0.5388108,0.0133,-0.0133,-0.0494,-0.0153
0.3800,-0.0153398,0.5388108,0.0134,-0.0134,-0.0165,-0.0256
0.3900,-0.0153398,0.5388108,0.0133,-0.0133,-0.0071,-0.0153
0.4000,-0.0153398,0.5384273,0.0134,-0.0134,-0.0009,0.0061
0.4100,-0.0153398,0.5380438,0.0134,-0.0134,-0.0376,0.0061
0.4200,-0.0153398,0.5376603,0.0134,-0.0134,0.0306,0.0043
0.4300,-0.0153398,0.5368933,0.0135,-0.0135,-0.0009,-0.0195
0.4400,-0.0153398,0.5357428,0.0136,-0.0136,0.0141,-0.0214
0.4500,-0.0153398,0.5357428,0.0136,-0.0136,0.0141,-0.0214
0.4600,-0.0149563,0.5349758,0.0139,-0.0139,0.0461,-0.0214
0.4700,-0.0153398,0.5345923,0.0139,-0.0139,0.0461,-0.0214
0.4800,-0.0153398,0.5349758,0.0139,-0.0139,0.0197,0.0043
0.4900,-0.0153398,0.5349758,0.0139,-0.0139,0.0197,0.0043
