elapsed_s,left_position_rad,right_position_rad,left_command_torque_nm,right_command_torque_nm,left_actual_torque_nm,right_actual_torque_nm
0.0007,0.7163690,0.6047720,0.0000,0.0000,0.0047,0.0031
0.0100,0.7159855,0.6047720,0.0000,0.0000,0.0047,0.0244
0.0200,0.7163690,0.6047720,0.0000,0.0000,-0.0009,0.0226
0.0300,0.7163690,0.6047720,0.0000,0.0000,0.0047,0.0104
0.0400,0.7163690,0.6047720,0.0000,0.0000,0.0047,-0.0244
0.0500,0.7163690,0.6047720,0.0000,0.0000,-0.0174,-0.0427
0.0600,0.7159855,0.6047720,0.0000,0.0000,-0.0174,0.0104
0.0700,0.7163690,0.6047720,0.0000,0.0000,0.0141,0.0031
0.0800,0.7159855,0.6047720,0.0000,0.0000,-0.0118,0.0031
0.0900,0.7159855,0.6047720,0.0000,0.0000,0.0094,0.0165
0.1000,0.7159855,0.6047720,0.0000,0.0000,-0.0009,-0.0244
0.1100,0.7163690,0.6047720,0.0000,0.0000,-0.0174,0.0104
0.1200,0.7159855,0.6047720,0.0000,0.0000,0.0197,0.0104
0.1300,0.7163690,0.6047720,0.0000,0.0000,-0.0315,0.0031
0.1400,0.7163690,0.6047720,0.0000,0.0000,0.0047,0.0305
0.1500,0.7163690,0.6047720,0.0000,0.0000,-0.0118,-0.0031
0.1600,0.7163690,0.6047720,0.0000,0.0000,-0.0268,-0.0165
0.1700,0.7163690,0.6047720,0.0000,0.0000,0.0197,0.0226
0.1800,0.7159855,0.6047720,0.0000,0.0000,0.0094,0.0031
0.1900,0.7159855,0.6047720,0.0000,0.0000,-0.0009,0.0031
0.2000,0.7163690,0.6047720,0.0000,0.0000,-0.0009,0.0165
0.2100,0.7159855,0.6047720,0.0000,0.0000,-0.0118,0.0165
0.2200,0.7163690,0.6047720,0.0000,0.0000,0.0047,0.0031
0.2300,0.7163690,0.6047720,0.0000,0.0000,-0.0056,-0.0226
0.2400,0.7159855,0.6047720,0.0000,0.0000,-0.0009,0.0104
0.2500,0.7163690,0.6047720,-0.0013,0.0013,0.0047,0.0104
0.2600,0.7163690,0.6051554,-0.0012,0.0012,-0.0009,0.0031
0.2700,0.7159855,0.6047720,-0.0012,0.0012,0.0244,-0.0165
0.2800,0.7159855,0.6047720,-0.0012,0.0012,-0.0009,0.0226
0.2900,0.7159855,0.6047720,-0.0012,0.0012,-0.0315,0.0031
0.3000,0.7163690,0.6047720,-0.0012,0.0012,-0.0009,0.0104
0.3100,0.7159855,0.6047720,-0.0011,0.0011,-0.0212,0.0031
0.3200,0.7163690,0.6047720,-0.0011,0.0011,0.0197,0.0244
