elapsed_s,left_position_rad,right_position_rad,left_command_torque_nm,right_command_torque_nm,left_actual_torque_nm,right_actual_torque_nm
0.0007,0.0759320,0.4379515,0.0000,0.0000,-0.0047,0.0031
0.0100,0.0759320,0.4383350,0.0000,0.0000,-0.0127,-0.0073
0.0200,0.0755486,0.4383350,0.0000,0.0000,0.0235,0.0195
0.0300,0.0759320,0.4379515,0.0000,0.0000,0.0024,0.0195
0.0400,0.0755486,0.4383350,0.0000,0.0000,-0.0188,-0.0012
0.0500,0.0755486,0.4383350,0.0000,0.0000,-0.0127,0.0031
0.0600,0.0755486,0.4379515,0.0000,0.0000,0.0024,-0.0073
0.0700,0.0759320,0.4379515,0.0000,0.0000,0.0024,-0.0122
0.0800,0.0755486,0.4379515,0.0000,0.0000,0.0235,0.0153
0.0900,0.0755486,0.4379515,0.0000,0.0000,0.0094,-0.0092
0.1000,0.0759320,0.4379515,0.0000,0.0000,0.0235,0.0031
0.1100,0.0755486,0.4379515,0.0000,0.0000,-0.0127,0.0031
0.1200,0.0755486,0.4379515,0.0000,0.0000,0.0165,-0.0092
0.1300,0.0755486,0.4383350,0.0000,0.0000,0.0531,0.0031
0.1400,0.0755486,0.4383350,0.0000,0.0000,0.0024,-0.0122
0.1500,0.0755486,0.4383350,0.0000,0.0000,-0.0127,-0.0244
0.1600,0.0755486,0.4383350,0.0000,0.0000,0.0165,0.0476
0.1700,0.0755486,0.4383350,0.0000,0.0000,-0.0188,0.0031
0.1800,0.0755486,0.4379515,0.0000,0.0000,-0.0127,0.0195
0.1900,0.0755486,0.4383350,0.0000,0.0000,0.0024,-0.0000
0.2000,0.0759320,0.4383350,0.0000,0.0000,0.0024,-0.0092
0.2100,0.0755486,0.4379515,0.0000,0.0000,-0.0127,0.0031
0.2200,0.0755486,0.4379515,0.0000,0.0000,0.0291,0.0153
0.2300,0.0759320,0.4383350,0.0000,0.0000,0.0024,-0.0122
0.2400,0.0755486,0.4383350,0.0000,0.0000,0.0024,-0.0092
0.2500,0.0755486,0.4379515,0.0000,0.0000,-0.0047,0.0031
0.2600,0.0759320,0.4379515,0.0015,-0.0015,0.0024,-0.0244
0.2700,0.0755486,0.4383350,0.0015,-0.0015,0.0174,0.0031
0.2800,0.0755486,0.4379515,0.0015,-0.0015,0.0376,-0.0287
0.2900,0.0755486,0.4383350,0.0015,-0.0015,-0.0127,-0.0122
0.3000,0.0759320,0.4379515,0.0015,-0.0015,0.0024,0.0031
0.3100,0.0755486,0.4379515,0.0016,-0.0016,0.0174,0.0195
0.3200,0.0759320,0.4379515,0.0016,-0.0016,-0.0188,0.0031
0.3300,0.0759320,0.4379515,0.0017,-0.0017,0.0235,-0.0476
0.3400,0.0759320,0.4379515,0.0018,-0.0018,0.0024,0.0317
0.3500,0.0759320,0.4379515,0.0018,-0.0018,-0.0127,-0.0244
0.3600,0.0759320,0.4379515,0.0019,-0.0019,0.0024,0.0031
0.3700,0.0759320,0.4379515,0.0020,-0.0020,-0.0188,0.0153
0.3800,0.0759320,0.4379515,0.0020,-0.0020,-0.0127,-0.0134
0.3900,0.0759320,0.4379515,0.0020,-0.0020,-0.0188,-0.0073
0.4000,0.0759320,0.4379515,0.0019,-0.0019,0.0024,0.0317
0.4100,0.0759320,0.4379515,0.0019,-0.0019,0.0024,0.0317
0.4200,0.0759320,0.4379515,0.0019,-0.0019,0.0376,0.0031
0.4300,0.0759320,0.4379515,0.0020,-0.0020,0.0024,-0.0244
0.4400,0.0759320,0.4379515,0.0020,-0.0020,-0.0400,-0.0409
0.4500,0.0759320,0.4379515,0.0019,-0.0019,-0.0484,-0.0073
0.4600,0.0759320,0.4379515,0.0019,-0.0019,0.0024,0.0092
0.4700,0.0759320,0.4379515,0.0020,-0.0020,0.0235,0.0214
0.4800,0.0759320,0.4379515,0.0019,-0.0019,0.0174,-0.0409
0.4900,0.0759320,0.4379515,0.0019,-0.0019,-0.0188,0.0031
0.5000,0.0759320,0.4379515,0.0020,-0.0020,0.0024,0.0031
0.5100,0.0759320,0.4379515,0.0020,-0.0020,0.0094,0.0104
0.5200,0.0759320,0.4379515,0.0019,-0.0019,0.0080,0.0214
0.5300,0.0755486,0.4379515,0.0020,-0.0020,0.0024,-0.0073
0.5400,0.0759320,0.4379515,0.0020,-0.0020,0.0174,-0.0134
0.5500,0.0759320,0.4379515,0.0020,-0.0020,-0.0188,0.0031
0.5600,0.0755486,0.4379515,0.0021,-0.0021,0.0024,0.0153
0.5700,0.0755486,0.4379515,0.0020,-0.0020,-0.0127,-0.0244
0.5800,0.0755486,0.4379515,0.0020,-0.0020,0.0024,-0.0031
0.5900,0.0755486,0.4379515,0.0020,-0.0020,-0.0400,0.0153
0.6000,0.0755486,0.4379515,0.0020,-0.0020,-0.0400,0.0031
0.6100,0.0755486,0.4379515,0.0020,-0.0020,0.0094,0.0134
0.6200,0.0755486,0.4379515,0.0019,-0.0019,0.0024,0.0153
0.6300,0.0755486,0.4379515,0.0019,-0.0019,0.0235,-0.0244
0.6400,0.0755486,0.4379515,0.0019,-0.0019,0.0024,-0.0031
0.6500,0.0755486,0.4379515,0.0019,-0.0019,0.0165,0.0214
0.6600,0.0755486,0.4379515,0.0019,-0.0019,-0.0127,-0.0073
0.6700,0.0755486,0.4379515,0.0019,-0.0019,0.0024,0.0031
0.6800,0.0755486,0.4375680,0.0019,-0.0019,-0.0188,-0.0073
0.6900,0.0755486,0.4375680,0.0019,-0.0019,-0.0047,-0.0244
0.7000,0.0755486,0.4379515,0.0018,-0.0018,0.0024,-0.0244
0.7100,0.0755486,0.4379515,0.0018,-0.0018,0.0235,-0.0134
0.7200,0.0755486,0.4379515,0.0018,-0.0018,0.0165,0.0031
0.7300,0.0755486,0.4379515,0.0018,-0.0018,0.0024,-0.0134
0.7400,0.0755486,0.4375680,0.0018,-0.0018,-0.0056,0.0031
0.7500,0.0755486,0.4379515,0.0018,-0.0018,0.0024,-0.0031
0.7600,0.0755486,0.4379515,0.0018,-0.0018,0.0024,-0.0244
0.7700,0.0755486,0.4379515,0.0018,-0.0018,0.0235,-0.0244
0.7800,0.0755486,0.4375680,0.0019,-0.0019,0.0024,-0.0073
0.7900,0.0755486,0.4375680,0.0019,-0.0019,-0.0127,-0.0073
0.8000,0.0755486,0.4379515,0.0018,-0.0018,-0.0056,0.0043
0.8100,0.0755486,0.4375680,0.0019,-0.0019,0.0094,0.0031
0.8200,0.0755486,0.4375680,0.0020,-0.0020,0.0235,0.0031
0.8300,0.0755486,0.4379515,0.0021,-0.0021,0.0024,-0.0031
0.8400,0.0755486,0.4375680,0.0022,-0.0022,0.0024,0.0134
0.8500,0.0755486,0.4375680,0.0022,-0.0022,0.0094,0.0031
0.8600,0.0755486,0.4379515,0.0023,-0.0023,0.0235,-0.0073
0.8700,0.0755486,0.4379515,0.0024,-0.0024,0.0024,-0.0244
0.8800,0.0755486,0.4379515,0.0024,-0.0024,0.0376,0.0031
0.8900,0.0755486,0.4379515,0.0025,-0.0025,-0.0047,-0.0244
0.9000,0.0755486,0.4375680,0.0025,-0.0025,-0.0268,0.0031
0.9100,0.0755486,0.4379515,0.0026,-0.0026,0.0024,-0.0305
0.9200,0.0755486,0.4379515,0.0026,-0.0026,0.0024,0.0134
0.9300,0.0755486,0.4375680,0.0028,-0.0028,-0.0127,-0.0244
0.9400,0.0755486,0.4375680,0.0029,-0.0029,0.0024,-0.0720
0.9500,0.0755486,0.4379515,0.0029,-0.0029,0.0024,0.0317
0.9600,0.0755486,0.4379515,0.0030,-0.0030,0.0024,0.0043
0.9700,0.0755486,0.4375680,0.0030,-0.0030,0.0024,0.0134
0.9800,0.0755486,0.4379515,0.0030,-0.0030,0.0024,-0.0073
0.9900,0.0755486,0.4375680,0.0031,-0.0031,0.0094,0.0134
1.0000,0.0755486,0.4379515,0.0032,-0.0032,0.0024,0.0031
1.0100,0.0755486,0.4379515,0.0032,-0.0032,0.0094,0.0043
1.0200,0.0755486,0.4379515,0.0032,-0.0032,0.0376,0.0134
1.0300,0.0751651,0.4379515,0.0033,-0.0033,0.0094,0.0317
1.0400,0.0751651,0.4375680,0.0034,-0.0034,0.0024,0.0031
1.0500,0.0755486,0.4375680,0.0034,-0.0034,0.0165,-0.0244
1.0600,0.0751651,0.4375680,0.0035,-0.0035,-0.0056,0.0104
1.0700,0.0751651,0.4375680,0.0036,-0.0036,0.0094,-0.0134
1.0800,0.0755486,0.4375680,0.0036,-0.0036,0.0235,-0.0134
1.0900,0.0751651,0.4375680,0.0037,-0.0037,-0.0197,-0.0073
1.1000,0.0751651,0.4375680,0.0038,-0.0038,-0.0118,0.0043
1.1100,0.0751651,0.4379515,0.0038,-0.0038,0.0165,-0.0134
1.1200,0.0751651,0.4379515,0.0038,-0.0038,0.0024,-0.0134
1.1300,0.0751651,0.4379515,0.0038,-0.0038,-0.0033,0.0153
1.1400,0.0751651,0.4375680,0.0038,-0.0038,0.0165,0.0092
1.1500,0.0751651,0.4375680,0.0038,-0.0038,0.0103,-0.0409
1.1600,0.0751651,0.4375680,0.0038,-0.0038,0.0367,-0.0409
1.1725,0.0751651,0.4375680,0.0038,-0.0038,0.0024,-0.0409
1.1800,0.0751651,0.4379515,0.0039,-0.0039,0.0306,-0.0073
1.1900,0.0751651,0.4379515,0.0040,-0.0040,0.0024,-0.0244
1.2000,0.0755486,0.4379515,0.0040,-0.0040,-0.0197,0.0031
1.2100,0.0751651,0.4379515,0.0039,-0.0039,0.0024,-0.0348
1.2200,0.0751651,0.4375680,0.0040,-0.0040,-0.0118,-0.0134
1.2300,0.0751651,0.4375680,0.0040,-0.0040,0.0235,-0.0244
1.2400,0.0751651,0.4375680,0.0041,-0.0041,-0.0118,0.0031
1.2500,0.0751651,0.4375680,0.0040,-0.0040,-0.0118,0.0031
1.2600,0.0751651,0.4375680,0.0040,-0.0040,0.0235,0.0092
1.2700,0.0751651,0.4375680,0.0040,-0.0040,0.0024,-0.0244
1.2800,0.0751651,0.4375680,0.0041,-0.0041,-0.0118,0.0031
1.2900,0.0751651,0.4375680,0.0042,-0.0042,0.0165,-0.0073
1.3000,0.0751651,0.4379515,0.0043,-0.0043,-0.0197,-0.0244
1.3100,0.0751651,0.4379515,0.0044,-0.0044,0.0024,-0.0134
1.3200,0.0751651,0.4375680,0.0046,-0.0046,0.0024,0.0104
1.3300,0.0751651,0.4375680,0.0046,-0.0046,-0.0259,0.0043
1.3400,0.0751651,0.4375680,0.0048,-0.0048,0.0024,0.0134
1.3500,0.0755486,0.4375680,0.0049,-0.0049,-0.0118,0.0043
1.3600,0.0751651,0.4375680,0.0049,-0.0049,0.0024,-0.0244
1.3700,0.0755486,0.4375680,0.0050,-0.0050,-0.0118,-0.0031
1.3800,0.0751651,0.4375680,0.0050,-0.0050,-0.0118,0.0031
1.3900,0.0751651,0.4379515,0.0051,-0.0051,0.0024,-0.0073
1.4000,0.0755486,0.4379515,0.0052,-0.0052,-0.0188,-0.0061
1.4100,0.0751651,0.4375680,0.0053,-0.0053,0.0024,-0.0134
1.4200,0.0755486,0.4375680,0.0054,-0.0054,-0.0197,-0.0409
1.4300,0.0751651,0.4379515,0.0054,-0.0054,0.0235,0.0031
1.4400,0.0755486,0.4375680,0.0054,-0.0054,-0.0118,0.0043
1.4500,0.0755486,0.4375680,0.0053,-0.0053,0.0024,0.0043
1.4600,0.0755486,0.4375680,0.0053,-0.0053,0.0024,-0.0134
1.4700,0.0755486,0.4375680,0.0054,-0.0054,-0.0056,-0.0031
1.4800,0.0751651,0.4375680,0.0055,-0.0055,-0.0033,-0.0073
1.4900,0.0751651,0.4375680,0.0056,-0.0056,-0.0197,-0.0409
1.5000,0.0755486,0.4375680,0.0057,-0.0057,0.0024,0.0214
1.5100,0.0751651,0.4375680,0.0058,-0.0058,0.0291,-0.0244
1.5200,0.0755486,0.4375680,0.0059,-0.0059,0.0235,-0.0134
1.5300,0.0755486,0.4375680,0.0060,-0.0060,0.0024,0.0043
1.5400,0.0751651,0.4375680,0.0060,-0.0060,0.0517,0.0043
1.5500,0.0755486,0.4375680,0.0060,-0.0060,0.0024,-0.0244
1.5600,0.0755486,0.4375680,0.0060,-0.0060,0.0235,-0.0244
1.5700,0.0755486,0.4375680,0.0060,-0.0060,0.0024,-0.0061
1.5800,0.0751651,0.4375680,0.0061,-0.0061,0.0367,-0.0244
1.5900,0.0755486,0.4375680,0.0062,-0.0062,0.0024,0.0043
1.6000,0.0751651,0.4375680,0.0061,-0.0061,-0.0259,0.0043
1.6100,0.0755486,0.4375680,0.0062,-0.0062,0.0235,0.0287
