elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm
0.0013,-0.0872,0.9897,0.1594,1.2302,0.0080,0.0073
0.0100,-0.0762,1.4780,0.1648,1.1081,0.0080,0.0073
0.0200,-0.0597,1.9662,0.1758,1.2302,-0.0071,-0.0134
0.0300,-0.0432,2.0883,0.1868,1.5353,-0.0071,-0.0134
0.0400,-0.0048,1.7221,0.1868,1.5353,-0.0447,0.0104
0.0504,-0.0048,1.7221,0.2033,1.7795,-0.0447,0.0104
0.0600,0.0227,1.4169,0.2363,1.4743,-0.0329,0.1074
0.0700,0.0337,1.3559,0.2363,1.4743,-0.0329,0.1074
0.0800,0.0337,1.3559,0.2527,0.7419,0.0080,-0.0134
0.0901,0.0502,1.4169,0.2527,0.6808,0.0080,-0.0134
0.1002,0.0776,1.5390,0.2582,0.9250,0.0047,0.0104
0.1101,0.0886,1.4780,0.2582,0.9250,0.0047,0.0104
0.1201,0.0996,1.1118,0.2582,0.9250,-0.0329,-0.0153
0.1300,0.0996,0.8066,0.2802,1.4133,-0.0329,-0.0153
0.1400,0.1051,0.6235,0.2967,1.7795,-0.0024,0.0104
0.1500,0.1051,0.6235,0.3187,1.2302,-0.0024,0.0104
0.1600,0.1106,0.9286,0.3242,0.7419,0.0080,0.0122
0.1700,0.1106,0.9286,0.3296,0.4367,0.0080,0.0122
0.1800,0.1161,0.8676,0.3296,0.4367,0.0080,0.0122
0.1900,0.1161,0.4404,0.3351,0.4367,0.0080,0.0122
0.2000,0.1106,0.3183,0.3351,0.4367,-0.0174,0.0598
0.2101,0.1106,0.6235,0.3406,0.8640,-0.0174,0.0598
0.2200,0.1106,0.6235,0.3791,1.2912,-0.0118,0.0598
0.2300,0.1161,0.9897,0.3901,0.9860,-0.0118,0.0598
0.2400,0.1326,1.1728,0.3901,0.9860,-0.0118,0.0598
0.2500,0.1380,1.0507,0.3956,0.7419,-0.0118,0.0598
0.2600,0.1435,0.9286,0.4065,0.8029,-0.0118,0.0598
0.2700,0.1435,0.8676,0.4340,1.3522,-0.0118,0.0598
0.2800,0.1490,0.7455,0.4560,1.5964,-0.0484,0.0598
0.2900,0.1490,0.7455,0.4560,1.5964,-0.0484,0.0598
0.3003,0.1490,0.5014,0.4944,1.6574,0.0141,0.0043
0.3100,0.1435,0.1352,0.5109,1.1691,0.0141,0.0043
0.3200,0.1435,0.3183,0.5109,1.1691,0.0141,0.0043
0.3301,0.1435,0.5014,0.5109,1.1691,0.0141,0.0043
