elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm
0.0013,2.3692,-2.6514,0.2295,1.2970,0.0244,0.0256
0.0100,2.3857,-1.6138,0.2185,-2.7313,-0.0484,-0.0256
0.0201,2.4406,2.1704,0.1966,-2.6093,-0.0484,-0.0256
0.0304,2.4956,1.4380,0.2076,0.7477,-0.0047,0.0165
0.0400,2.5450,1.5601,0.2076,0.7477,-0.0047,0.0165
0.0500,2.5890,0.2783,0.2240,-0.1678,0.0024,0.0183
0.0600,2.6384,0.7666,0.2240,-0.5341,0.0024,0.0183
0.0700,2.6823,-0.3320,0.2240,-0.5341,0.1951,-0.2440
0.0800,2.6988,-3.5059,0.1636,-3.5248,0.1951,-0.2440
0.0900,2.6988,-2.5903,0.1636,-3.5248,0.2933,-0.2745
0.1000,2.6988,-2.5903,0.1636,-3.5248,0.2933,-0.2745
0.1100,2.7043,-6.4355,0.1197,-6.6376,0.2933,-0.2745
0.1200,2.6988,-2.5293,0.1032,-0.0458,0.2933,-0.2745
0.1300,2.7043,-1.6748,0.1746,9.2316,0.2754,-0.2098
0.1400,2.7043,-1.6748,0.2295,2.0905,0.2754,-0.2098
0.1500,2.7153,-3.6279,0.1636,-10.3607,0.2862,-0.2794
0.1601,2.7153,-3.6279,0.1087,-5.9052,0.2862,-0.2794
0.1700,2.6823,-0.8813,0.1307,2.5787,0.2660,-0.2824
0.1800,2.6933,-2.2241,0.1581,1.4191,0.2660,-0.2824
0.1900,2.6823,-4.2993,0.1526,-1.8768,0.3135,-0.3038
0.2000,2.6659,-3.4448,0.1307,-3.2806,0.3135,-0.3038
0.2100,2.6714,-1.2476,0.1087,-2.1210,0.3182,-0.3056
0.2200,2.6714,-1.2476,0.1142,-1.3885,0.3182,-0.3056
0.2300,2.6933,-1.1865,0.1142,-1.3885,0.3088,-0.3776
0.2400,2.6933,-1.1865,0.0867,-3.7689,0.3088,-0.3776
0.2500,2.6933,-1.1865,0.0867,-3.7689,0.3088,-0.3776
0.2600,2.6988,-3.2617,0.0537,-1.1444,0.3088,-0.3776
0.2704,2.7098,-1.4917,0.0373,-2.8534,0.3135,-0.3221
0.2800,2.7263,-3.4448,-0.0067,-5.2338,0.3135,-0.3221
0.2900,2.7208,-3.0176,-0.0451,-1.9379,0.3182,-0.3300
0.3001,2.7208,-2.6514,-0.0451,-1.9379,0.3182,-0.3300
0.3100,2.7428,-0.6982,-0.0726,-3.7079,0.3017,-0.3404
0.3200,2.7483,-2.9565,-0.1110,-4.7455,0.3017,-0.3404
0.3300,2.7538,-2.2241,-0.1440,-3.4027,0.3384,-0.3300
