elapsed_s,left_angle_x_deg,left_angular_velocity_x_dps,right_angle_x_deg,right_angular_velocity_x_dps,left_actual_torque_nm,right_actual_torque_nm
0.0012,0.4309,0.3067,0.5375,0.4654,-0.0141,0.0104
0.0101,0.4474,0.6729,0.5430,0.3433,-0.0141,0.0104
0.0200,0.4529,0.5508,0.5430,0.3433,-0.0141,0.0104
0.0300,0.4749,0.7339,0.5430,0.3433,0.0071,0.0012
0.0400,0.4749,0.7339,0.5540,0.4044,0.0071,0.0012
0.0500,0.4804,0.5508,0.5595,0.3433,0.0118,-0.0244
0.0600,0.4859,0.3677,0.5815,0.4044,0.0118,-0.0244
0.0700,0.4914,0.2457,0.5924,0.5264,-0.0197,0.0378
0.0806,0.4914,0.2457,0.5979,0.4044,-0.0197,0.0378
0.0903,0.4914,0.1846,0.6089,0.4654,-0.0141,0.0012
0.1000,0.4969,0.4288,0.6089,0.4654,-0.0141,0.0012
0.1100,0.4969,0.4288,0.6254,0.4044,-0.0353,0.0378
0.1204,0.5024,0.3677,0.6364,0.3433,-0.0353,0.0378
0.1303,0.5024,0.1846,0.6419,0.1602,-0.0141,0.0012
0.1400,0.5078,0.3067,0.6474,0.0381,-0.0141,0.0012
0.1500,0.5078,0.4288,0.6474,0.0381,0.0071,0.0104
0.1600,0.5133,0.1236,0.6529,-0.0839,0.0071,0.0104
0.1700,0.5188,0.2457,0.6529,-0.3281,-0.0080,-0.0793
0.1800,0.5188,0.2457,0.6529,-0.5112,-0.0080,-0.0793
0.1903,0.5188,0.1236,0.6474,-0.8774,-0.0141,0.0031
0.2000,0.5243,0.0626,0.6364,-1.2436,-0.0141,0.0031
0.2100,0.5243,-0.0595,0.6254,-1.6708,-0.0564,0.0104
0.2204,0.5298,0.1236,0.6034,-1.8539,-0.0564,0.0104
0.2300,0.5353,0.3067,0.5869,-2.1591,0.0071,0.0378
0.2400,0.5463,-0.1816,0.5540,-2.8305,0.0071,0.0378
0.2501,0.5463,-0.1816,0.5320,-1.9760,-0.0141,0.0104
0.2600,0.5408,-0.4868,0.5320,-1.9760,-0.0141,0.0104
0.2701,0.5408,-0.4868,0.5210,-0.9995,-0.0141,0.0031
0.2800,0.5408,-0.1816,0.5100,-0.8774,-0.0141,0.0031
0.2900,0.5408,-0.2426,0.5100,-0.3891,-0.0141,0.0031
0.3000,0.5408,-0.3036,0.5155,-0.1450,-0.0141,0.0031
0.3100,0.5353,-0.1816,0.5155,-0.1450,0.0009,0.0378
0.3202,0.5353,-0.1816,0.5155,-0.1450,0.0009,0.0378
0.3304,0.5353,-0.1816,0.5375,0.0992,0.0009,-0.0244
0.3400,0.5353,-0.1816,0.5430,-0.0229,0.0009,-0.0244
0.3501,0.5243,-0.5478,0.5430,-0.0229,-0.0353,0.0012
0.3600,0.5188,-0.4257,0.5485,-0.0839,-0.0353,0.0012
0.3700,0.5188,-0.3036,0.5540,0.0381,0.0071,-0.0092
0.3800,0.5133,-0.2426,0.5595,0.2823,0.0071,-0.0092
0.3900,0.5133,-0.1205,0.5595,0.0381,0.0071,-0.0092
0.4000,0.5133,-0.3647,0.5650,0.0381,0.0071,-0.0092
0.4100,0.5078,-0.4257,0.5705,0.2823,0.0071,-0.0092
0.4200,0.5078,-0.3036,0.5760,0.2823,0.0071,-0.0092
0.4300,0.5024,-0.3036,0.5760,0.2823,-0.0353,0.0287
0.4400,0.5024,-0.2426,0.5869,0.0992,-0.0353,0.0287
0.4500,0.5024,-0.1205,0.5869,0.2213,-0.0564,0.0104
0.4600,0.5024,-0.1205,0.5924,0.0381,-0.0564,0.0104
0.4700,0.4969,-0.2426,0.5924,-0.2060,-0.0141,-0.0165
0.4800,0.4969,-0.2426,0.5924,-0.2060,-0.0141,-0.0165
0.4900,0.4969,-0.2426,0.5924,-0.2060,-0.0291,0.0287
0.5000,0.4969,-0.2426,0.5924,-0.2060,-0.0291,0.0287
0.5104,0.4859,-0.3036,0.5924,-0.5112,-0.0141,0.0012
0.5200,0.4859,-0.3036,0.5924,-0.2060,-0.0141,0.0012
0.5300,0.4859,-0.3036,0.5979,-0.1450,0.0009,0.0012
0.5400,0.4804,-0.3036,0.6034,-0.1450,0.0009,0.0012
0.5500,0.4804,-0.5478,0.6089,-0.1450,0.0009,0.0012
0.5600,0.4749,-0.5478,0.6089,-0.2060,0.0009,0.0012
0.5700,0.4749,-0.4257,0.6089,-0.2060,-0.0141,0.0031
0.5800,0.4694,-0.4868,0.6089,-0.2670,-0.0141,0.0031
0.5900,0.4584,-0.7919,0.6034,-0.5722,0.0056,0.0104
0.6001,0.4584,-0.7919,0.5979,-0.9384,0.0056,0.0104
0.6100,0.4529,-0.7919,0.5869,-0.9995,0.0221,0.0012
0.6200,0.4474,-0.6699,0.5815,-0.6943,0.0221,0.0012
0.6300,0.4474,-0.5478,0.5815,-0.6943,0.0056,-0.0256
0.6400,0.4419,-0.6088,0.5815,-0.6943,0.0056,-0.0256
0.6502,0.4364,-0.7309,0.5815,-0.4501,0.0103,0.0104
0.6600,0.4254,-0.8530,0.5815,-0.5722,0.0103,0.0104
0.6705,0.4254,-0.8530,0.5760,-0.6332,0.0221,-0.0256
0.6800,0.4145,-0.7919,0.5760,-0.4501,0.0221,-0.0256
0.6900,0.4090,-0.8530,0.5760,-0.6943,-0.0353,-0.0165
0.7000,0.3980,-0.6699,0.5650,-0.9384,-0.0353,-0.0165
0.7100,0.3925,-0.5478,0.5595,-0.8163,0.0056,0.0012
0.7200,0.3870,-0.5478,0.5595,-0.8163,0.0056,0.0012
0.7300,0.3815,-0.6699,0.5540,-0.5722,0.0056,0.0287
0.7400,0.3815,-0.6699,0.5485,-0.6332,0.0056,0.0287
0.7500,0.3760,-0.6699,0.5430,-0.3891,0.0071,0.0031
0.7600,0.3705,-0.4868,0.5430,-0.2060,0.0071,0.0031
0.7700,0.3705,-0.2426,0.5430,-0.2060,-0.0094,0.0012
0.7800,0.3705,-0.1816,0.5430,-0.2060,-0.0094,0.0012
0.7900,0.3705,-0.2426,0.5485,-0.2060,0.0009,0.0183
0.8000,0.3650,-0.2426,0.5430,-0.3281,0.0009,0.0183
